term,ES,NES,fdr,Gene %,Genes,description
DGIdb_Drug_Targets_2024__ENMD 2076,0.5141445935390102,1.1238837928364338,0.8053637321191761,17.09%,RET;FGFR3;PDGFRA;LCK,DGIdb_Drug_Targets_2024__ENMD 2076
DGIdb_Drug_Targets_2024__OXALIPLATIN,0.5191352739731468,1.120887433240779,0.8059396816225617,29.56%,ATP7A;CD274;PIN1;KRAS;MTHFR;FGFR2;PIK3CA,DGIdb_Drug_Targets_2024__OXALIPLATIN
DGIdb_Drug_Targets_2024__NERATINIB,-0.5779142182934736,-1.120393762361397,0.9703036183817392,0.55%,EGFR,DGIdb_Drug_Targets_2024__NERATINIB
DGIdb_Drug_Targets_2024__DIGITOXIN,0.6525853562269304,1.1200787440823554,0.8038706142627703,26.06%,ATP1B1;IDH1,DGIdb_Drug_Targets_2024__DIGITOXIN
DGIdb_Drug_Targets_2024__MK2206,-0.5280430661112506,-1.119884923302926,0.9647390563654872,7.59%,AKT2;AKT3;KIT,DGIdb_Drug_Targets_2024__MK2206
DGIdb_Drug_Targets_2024__CAPIVASERTIB,-0.5852205574439756,-1.1176022280966111,0.9580658805087666,13.73%,AKT2;AKT3;MTOR,DGIdb_Drug_Targets_2024__CAPIVASERTIB
DGIdb_Drug_Targets_2024__DIPYRIDAMOLE,0.5530846865868431,1.1160531826853182,0.803289787357922,13.27%,PDE2A;ADA,DGIdb_Drug_Targets_2024__DIPYRIDAMOLE
DGIdb_Drug_Targets_2024__PKI 587,-0.5023794539587786,-1.1150919370588217,0.9584791344333926,17.41%,PIK3C2A;CRTC2;MTOR;CRTC1,DGIdb_Drug_Targets_2024__PKI 587
DGIdb_Drug_Targets_2024__SARACATINIB,-0.5863005181633767,-1.1139010355452874,0.9551064814716964,10.95%,EML4;DDR2,DGIdb_Drug_Targets_2024__SARACATINIB
DGIdb_Drug_Targets_2024__TAMOXIFEN,0.4905542413402538,1.1118853483664457,0.8082607232989857,4.63%,RRAS2;NF1;ATXN2,DGIdb_Drug_Targets_2024__TAMOXIFEN
DGIdb_Drug_Targets_2024__THEOPHYLLINE,0.6347423734280967,1.1046308160504763,0.8099541733542153,8.43%,MPO,DGIdb_Drug_Targets_2024__THEOPHYLLINE
DGIdb_Drug_Targets_2024__CYCLOSPORINE,0.4727952609923536,1.101522713282835,0.8086260875962367,26.17%,ATXN2;ITGB2;ABCB1;TPMT;FCGR3B;IMPDH2;VCAM1;RPS19;ITGAL;ATIC;MTHFR;PPIA;FCGR3A,DGIdb_Drug_Targets_2024__CYCLOSPORINE
DGIdb_Drug_Targets_2024__VENETOCLAX,-0.5330341498021326,-1.0995647470444754,0.960721965277396,7.59%,NPM1;KIT,DGIdb_Drug_Targets_2024__VENETOCLAX
DGIdb_Drug_Targets_2024__IUPHAR.LIGAND:52,0.6017666266595902,1.094435578979168,0.8138072942932925,37.08%,ALDH2;A1BG;ALDH1A1;A2M;ABCD1,DGIdb_Drug_Targets_2024__IUPHAR.LIGAND:52
DGIdb_Drug_Targets_2024__IUPHAR.LIGAND:56,0.6017666266595902,1.094435578979168,0.8138072942932925,37.08%,ALDH2;A1BG;ALDH1A1;A2M;ABCD1,DGIdb_Drug_Targets_2024__IUPHAR.LIGAND:56
DGIdb_Drug_Targets_2024__GDC 0973,0.5664284715571796,1.0942549535665549,0.8126931511065507,21.42%,NF1;MAP2K5;MAP2K2;KRAS,DGIdb_Drug_Targets_2024__GDC 0973
DGIdb_Drug_Targets_2024__AZD6244,0.6317470447354466,1.0938794087050634,0.8112549179133953,14.57%,MAP2K5;MAP2K2,DGIdb_Drug_Targets_2024__AZD6244
DGIdb_Drug_Targets_2024__XL147,-0.5044370638543005,-1.0934481575121235,0.9586617444501176,1.30%,PIK3C2A,DGIdb_Drug_Targets_2024__XL147
DGIdb_Drug_Targets_2024__RITONAVIR,0.6128389711796771,1.0872940977849546,0.812104768156985,35.70%,ABCB1;APOE;TOMM40;APOC3,DGIdb_Drug_Targets_2024__RITONAVIR
DGIdb_Drug_Targets_2024__CLOMIPRAMINE,-0.4746794038515874,-1.085701999246068,0.9593387351381292,8.13%,RPTOR;FCHSD1;HLA-A,DGIdb_Drug_Targets_2024__CLOMIPRAMINE
DGIdb_Drug_Targets_2024__VATALANIB,-0.4934395356257214,-1.0835600662372369,0.9629851765124806,7.59%,EGFR;KIT,DGIdb_Drug_Targets_2024__VATALANIB
DGIdb_Drug_Targets_2024__AMITRIPTYLINE,-0.5123183206762663,-1.082047240947106,0.956780038632192,4.83%,RPTOR;FCHSD1,DGIdb_Drug_Targets_2024__AMITRIPTYLINE
DGIdb_Drug_Targets_2024__LAMIVUDINE,0.5282183985051342,1.0780522603950509,0.8262933307684333,24.63%,MMP1;PGK1;CMPK1;NME1;ABCC4,DGIdb_Drug_Targets_2024__LAMIVUDINE
DGIdb_Drug_Targets_2024__THALIDOMIDE,0.4959471851306948,1.0735980726319745,0.8292238566123858,26.81%,GSTT1;ITGB2;FCGR3B;VWF;ATP7A;XRCC5;FCGR3A;FGFR2,DGIdb_Drug_Targets_2024__THALIDOMIDE
DGIdb_Drug_Targets_2024__PF 06263507,0.5646772616799461,1.0635551512335606,0.8410067741677177,4.28%,TUBB6,DGIdb_Drug_Targets_2024__PF 06263507
DGIdb_Drug_Targets_2024__TRASTUZUMAB,-0.4676924412460476,-1.060856904965681,0.9706280287250704,6.37%,EGFR;AKT2,DGIdb_Drug_Targets_2024__TRASTUZUMAB
