Protein_Group	Genes	AURKA_dox+_vs_IgG_dox+_logFC	AURKA_dox+_vs_IgG_dox+_pval	Removed?	Contaminant?
Q14781	CBX2	3.78567184918436	2.3976747066514398e-11	No	No
Q14814	MEF2D	1.94704947888857	0.0010264594265052	No	No
Q14865	ARID5B	2.33029611667948	0.0082161456719024	No	No
Q14934	NFATC4	2.86495140684728	2.939925156021e-10	No	No
Q14978	NOLC1	2.06639763320727	8.83824825353613e-07	No	No
Q14CB8	ARHGAP19	5.09789149753166	1.34111520624982e-07	No	No
Q15022	SUZ12	2.40816619319207	0.0011341882544149	No	No
Q15024	EXOSC7	1.79489947704255	2.7792425422225e-05	No	No
Q15050	RRS1	3.19608171199321	1.16254745534291e-07	No	No
Q15061	WDR43	2.27293929857273	6.1523978350045e-08	No	No
Q15269	PWP2	2.31861528639458	2.08019745526018e-06	No	No
Q15287	RNPS1	1.96468139884969	4.75992093177067e-05	No	No
Q15361	TTF1	3.23741825004799	0.0003431632623129	No	No
Q15393	SF3B3	3.8208820723918	8.60235517522478e-13	No	No
Q15397	PUM3	3.23874497960157	0.0005879805118373	No	No
Q15427	SF3B4	4.14912199605292	2.57759271968319e-13	No	No
Q15428	SF3A2	2.85912334030441	9.90728292375595e-08	No	No
Q15434	RBMS2	3.06499981118982	7.84757302425985e-06	No	No
Q15459	SF3A1	2.44727440006856	4.52862485479674e-06	No	No
Q15532	SS18	3.71676150444527	0.0028987949895994	No	No
Q15554	TERF2	3.78122107318869	1.6906565604095e-08	No	No
Q15696	ZRSR2	4.09929167200746	2.59599602797197e-06	No	No
Q15796	SMAD2	2.66710622020607	1.1207264045769199e-11	No	No
Q15906	VPS72	2.36533601150574	0.0001602258172607	No	No
Q16514	TAF12	1.87465521584387	0.0001239363528199	No	No
Q16540	MRPL23	2.65905984556898	4.31427385331301e-10	No	No
Q16543	CDC37	2.25469846737417	1.45101521351868e-10	No	No
Q16560	SNRNP35	3.23544095098332	3.24981288762842e-13	No	No
Q17RS7	GEN1	2.18259054631063	6.70384561737114e-06	No	No
Q1ED39	KNOP1	2.49856557307651	2.01842377015559e-06	No	No
Q2M296	MTHFSD	2.57100132888846	1.54347860027733e-06	No	No
Q2NL82	TSR1	3.14792466813623	0.0014753661373943	No	No
Q2TAL8	QRICH1	6.42182471616091	4.2582389242754504e-19	No	No
Q2TB10	ZNF800	3.18605778579933	2.88231452505148e-08	No	No
Q2V2M9	FHOD3	2.88083126681359	2.49389926494049e-07	No	No
Q32NC0	C18orf21	1.76124415435115	4.98462737606621e-05	No	No
Q49A26	GLYR1	2.37433789575548	9.243664344509871e-09	No	No
Q4G0F5	VPS26B	3.0199463780421	6.9077622043873304e-09	No	No
Q4G0J3	LARP7	4.06586911265118	1.37776222159684e-07	No	No
Q4U2R6	MRPL51	3.60165794096073	6.22805687487263e-10	No	No
Q504Q3	PAN2	1.96870800213733	0.0028979535911855	No	No
Q52LR7	EPC2	2.63726883841681	3.62717847607105e-05	No	No
Q53ET0	CRTC2	3.15881699204497	0.005791395932667	No	No
Q53F19	NCBP3	3.48083471004363	1.01535036043873e-05	No	No
Q53GL0	PLEKHO1	2.71843734598447	2.27655961967797e-05	No	No
Q53GS9	USP39	1.99651251480546	0.0011385065534084	No	No
Q53HL2	CDCA8	3.46102433781613	3.8679660757193e-07	No	No
Q562F6	SGO2	3.8641082758088	9.49024128428697e-07	No	No
Q5BJH7	YIF1B	3.32724623292424	0.0002263857115059	No	No
Q5C9Z4	NOM1	1.77323095216407	4.59305670056031e-05	No	No
Q5H9R7	PPP6R3	3.62710311398244	1.16990433378437e-13	No	No
Q5H9U9	DDX60L	3.54016848895843	0.0002030965649599	No	No
Q5HYI7	MTX3	3.62064636870148	0.0057040984921443	No	No
Q5JSZ5	PRRC2B	3.53776800776026	2.18168941653058e-16	No	No
Q5JTD0	TJAP1	2.6462903731046	0.0002904617861895	No	No
Q5JTH9	RRP12	2.67379984452948	1.42438983094453e-07	No	No
Q5PRF9	SAMD4B	4.70833212186895	2.01992227215168e-10	No	No
Q5QJE6	DNTTIP2	3.90244779049872	8.363511515209791e-09	No	No
Q5RKV6	EXOSC6	1.93877336294813	7.02967244885564e-07	No	No
Q5SSJ5	HP1BP3	2.24559473283944	5.03761037595607e-07	No	No
Q5SYE7	NHSL1	4.16880438182224	5.10424470228235e-09	No	No
Q5T0B9	ZNF362	2.9318710618748	0.0030347914483641	No	No
Q5T1M5	FKBP15	1.81571322151158	2.37900153305016e-06	No	No
Q5T280	SPOUT1	2.99266659532096	1.68493728246089e-07	No	No
Q5T2E6	ARMH3	2.04963928350598	0.0055556457115599	No	No
Q5T3I0	GPATCH4	3.83209733056652	5.24539381413985e-07	No	No
Q5T5Y3	CAMSAP1	3.78892981023722	7.67936721624859e-09	No	No
Q5T653	MRPL2	3.18273853646141	2.27777756539537e-11	No	No
Q5T6F2	UBAP2	2.003742873531	2.69422640106751e-08	No	No
Q5T6S3	PHF19	4.03687726991565	2.5705404223857703e-14	No	No
Q5TAQ9	DCAF8	1.93987858051531	0.0063936743658628	No	No
Q5TAT6	COL13A1	5.21400091474422	3.15797694281232e-09	No	No
Q5TC82	RC3H1	2.54826504956628	0.0001181434804032	No	No
Q5TCZ1	SH3PXD2A	4.22393684672152	5.62179818846893e-08	No	No
Q5TEC6	H3-7	2.60283522522104	0.0007120990094925	No	No
Q5TGY3	AHDC1	2.37256628449725	0.0002878896733342	No	No
Q5VUA4	ZNF318	3.01292176102191	0.0018692253866781	No	No
Q5VWQ0	RSBN1	3.58272293054431	1.57390713764641e-07	No	No
Q5VYS8	TUT7	3.41683874511374	3.88130412978336e-05	No	No
Q5W0B1	OBI1	2.461353957039	4.69131877861192e-12	No	No
Q64LD2	WDR25	3.0982287499902	2.1893284855403103e-09	No	No
Q659A1	ICE2	3.33011030919014	4.58765618678366e-07	No	No
Q68CP9	ARID2	3.27254254810167	2.8422994199054303e-15	No	No
Q68D10	SPTY2D1	3.2953034980004	1.8238683493448201e-10	No	No
Q693B1	KCTD11	3.22326270491992	7.3052776460737904e-09	No	No
Q69YH5	CDCA2	1.76006785105155	0.00042698485286	No	No
Q6DKI1	RPL7L1	2.35137703613647	4.3951825848238e-06	No	No
Q6EKJ0	GTF2IRD2B	3.83512273631263	5.76551069933367e-06	No	No
Q6I9Y2	THOC7	1.99433320288501	0.0017164662262297	No	No
Q6IQ16	SPOPL	6.38867537911344	1.44040567460355e-13	No	No
Q6IQ22	RAB12	3.26409519526237	0.0046622229596548	No	No
Q6KC79	NIPBL	2.19320518725577	0.0004501576190762	No	No
Q6KCM7	SLC25A25	3.02528144892169	1.71254132772868e-05	No	No
Q6N043	ZNF280D	1.96106601713856	3.65301354944175e-06	No	No
Q6NW34	NEPRO	2.5728658500422	1.32296854456218e-05	No	No
Q6NX49	ZNF544	3.60209993062656	5.23156795017602e-10	No	No
Q6NZ67	MZT2B	3.11187955009833	2.42556217346368e-08	No	No
Q6P087	RPUSD3	3.3663917578626	3.96230576236066e-15	No	No
Q6P0N0	MIS18BP1	2.64434304730826	0.0009491523445021	No	No
