Protein_Group	Genes	SAX_62001_M3_vs_SAX_62001_B_logFC	SAX_62001_M3_vs_SAX_62001_B_pval	Removed?	Contaminant?
P48643	CCT5	-1.26633967781703	0.00336442637653	No	No
P48723	HSPA13	-3.64841841325973	0.0020557332376483	No	No
P48739	PITPNB	-4.08907155289727	1.60902829933446e-08	No	No
P49354	FNTA	-1.83039414216431	0.0016271522769169	No	No
P49589	CARS1	-1.70360969141294	0.0022264836156697	No	No
P49748	ACADVL	-1.60580479327825	0.0077725577916414	No	No
P49767	VEGFC	-1.42594204500488	0.0060923193363826	No	No
P49770	EIF2B2	-1.83246827461416	0.0060329489629707	No	No
P49821	NDUFV1	-5.76491303572566	1.93285048351195e-17	No	No
P50148	GNAQ	-2.85369167012209	7.71498403846162e-07	No	No
P50213	IDH3A	-5.1533563516293	3.5647377045694e-14	No	No
P50402	EMD	-1.28613954076002	0.0070437455406076	No	No
P50453	SERPINB9	-2.43820887421128	4.11844045154738e-05	No	No
P50552	VASP	-1.5518180585642	0.0040786787569655	No	No
P50851	LRBA	-1.67965344323319	0.0003693648839866	No	No
P51153	RAB13	-1.74801448990821	0.0048561614985323	No	No
P51970	NDUFA8	-6.94360555535034	4.16192554630331e-21	No	No
P52306	RAP1GDS1	-4.32964949664903	8.339225779240241e-10	No	No
P52788	SMS	-3.60051467953991	2.63587099183754e-08	No	No
P53396	ACLY	-1.87194459865285	0.0063316768283611	No	No
P53611	RABGGTB	-1.37577683332653	0.0020152614351028	No	No
P53814	SMTN	-4.50416720902043	3.40552304514978e-12	No	No
P53990	IST1	-1.69075066633191	0.0018131081799301	No	No
P54105	CLNS1A	-1.52687685346453	0.0067528093294318	No	No
P55209	NAP1L1	-1.69438243989456	0.0013856940459601	No	No
P55212	CASP6	-4.90315876396592	8.261815326960671e-17	No	No
P55263	ADK	-3.46386761268646	1.79313322902222e-09	No	No
P55286	CDH8	-2.4764643063958	0.001267965590956	No	No
P55809	OXCT1	-6.30815155643032	2.84833235201242e-19	No	No
P56192	MARS1	-2.23710072598745	0.0067838043231385	No	No
P56202	CTSW	-2.52323982556275	5.96117258893701e-05	No	No
P57075	UBASH3A	-5.62334738108056	6.471868138787751e-15	No	No
P57737	CORO7	-2.07588056907978	0.0030741699009322	No	No
P59998	ARPC4	-1.17088050197512	0.0048047024913108	No	No
P60891	PRPS1	-1.18160686054141	0.0081248467259851	No	No
P61812	TGFB2	-2.11609357581287	0.0007621099958397	No	No
P61952	GNG11	-2.36123441711772	3.72874566354665e-06	No	No
P62191	PSMC1	-1.38860530503017	0.0038270853201037	No	No
P62316	SNRPD2	-2.79202690945006	0.0008229173697856	No	No
P62333	PSMC6	-1.60639493488354	0.0015564379919816	No	No
P62841	RPS15	-2.23092697956737	8.7860283885603e-05	No	No
P62873	GNB1	-4.8676106346643	2.52691331519111e-14	No	No
P63010	AP2B1	-2.10460739132224	2.32101740132504e-05	No	No
P63316	TNNC1	-2.86809060094969	1.25835598518073e-09	No	No
P68366	TUBA4A	-1.88574537229127	1.19138439072532e-05	No	No
P78537	BLOC1S1	-1.6239568245866	0.0040461199573824	No	No
P80511	S100A12	-1.47474863663797	0.0080097686486221	No	No
P98194	ATP2C1	-4.76471947959703	3.43296268162446e-16	No	No
Q00013	MPP1	-2.98661539646518	2.64118782922617e-09	No	No
Q00169	PITPNA	-2.00346046090344	0.0001474333515807	No	No
Q00577	PURA	-1.32878244331833	0.001275256264534	No	No
Q00796	SORD	-1.67749833240597	0.0017127790133595	No	No
Q01130	SRSF2	-3.44392170233829	2.18791011121399e-09	No	No
Q01433	AMPD2	-1.85043273035383	0.0005823930022876	No	No
Q01518	CAP1	-1.59994245701846	0.0009304461257834	No	No
Q01813	PFKP	-1.69743023859506	0.0001836544381833	No	No
Q02094	RHAG	-1.53095761713303	0.0015943167414193	No	No
Q02108	GUCY1A1	-4.88652326229708	1.79019859968542e-12	No	No
