Protein_Group	Genes	RANKL1_vs_EmptyVector_logFC	RANKL1_vs_EmptyVector_pval	Removed?	Contaminant?
P55085	F2RL1	1.42302311019573	0.0030349941414169	No	No
P55196	AFDN	2.01276880328171	5.31123424606056e-07	No	No
P55899	FCGRT	2.12527488141784	0.0016207559995939	No	No
P56199	ITGA1	3.41722878600648	1.55831395486181e-07	No	No
P56747	CLDN6	2.23221641858262	5.00407425712729e-06	No	No
P57058	HUNK	2.51386468697233	5.33113569719822e-05	No	No
P57087	JAM2	4.54024495404134	4.98721748539767e-08	No	No
P57679	EVC	2.86968580274995	0.0064472098367817	No	No
P58335	ANTXR2	3.56342570195649	6.442673171092771e-09	No	No
P60880	SNAP25	2.24732056728739	1.53298233942495e-05	No	No
P61073	CXCR4	1.46114484173297	0.0004928960274614	No	No
P61764	STXBP1	1.53230882459053	6.13503265433058e-07	No	No
P62068	USP46	1.92168749896778	2.78067410174569e-05	No	No
P63027	VAMP2	2.45029285108031	8.37686973775187e-07	No	No
P78310	CXADR	2.84640201175906	1.8233594474723e-07	No	No
P78314	SH3BP2	2.1001763621996	1.55875567854671e-06	No	No
P78324	SIRPA	4.18561696239745	0.0001903560881943	No	No
P78348	ASIC1	2.62831746987119	3.61068869992158e-07	No	No
P78368	CSNK1G2	1.8622078650146	4.29054773046352e-06	No	No
P78536	ADAM17	1.55831300945323	1.87783377413458e-05	No	No
P78537	BLOC1S1	1.54383101470738	0.0009833845216266	No	No
P78552	IL13RA1	2.36820326392357	3.90994290413878e-06	No	No
P79522	PRR3	2.0190997369833	0.0065575117592059	No	No
P80723	BASP1	2.96971003997668	3.34393043516803e-05	No	No
P85299	PRR5	2.62280276093557	1.68066077377879e-05	No	No
P98082	DAB2	1.56937847992985	5.16160386056615e-05	No	No
P98153	DGCR2	1.50342510696512	6.44110573648773e-06	No	No
P98164	LRP2	2.45401155693101	8.00570712794552e-07	No	No
P98172	EFNB1	3.3261141864181	8.62878343559414e-08	No	No
P98174	FGD1	1.38721446416856	0.000197875890495	No	No
P98196	ATP11A	1.76067061812302	5.54300083134734e-06	No	No
P98198	ATP8B2	2.47587682143502	3.55100242252152e-06	No	No
Q00587	CDC42EP1	2.42334230579745	1.03774516432406e-07	No	No
Q01082	SPTBN1	1.97394376381293	2.11684961373282e-06	No	No
Q01650	SLC7A5	2.05432817954361	3.42602571073032e-07	No	No
Q01814	ATP2B2	1.31564904122862	0.0002737818397148	No	No
Q01970	PLCB3	2.26710158321967	3.27477689233885e-06	No	No
Q01973	ROR1	2.7472622404628	1.00852408045309e-06	No	No
Q01974	ROR2	2.73992667901939	4.6518142210544e-07	No	No
Q02156	PRKCE	1.58113122432413	0.0004050464426491	No	No
Q02487	DSC2	2.47189368600075	8.92034941109977e-06	No	No
Q02952	AKAP12	1.4821356124486	1.56499897204532e-05	No	No
Q03113	GNA12	2.23221806962206	2.15278159727087e-07	No	No
Q03135	CAV1	1.6927774951751	0.000279494663551	No	No
Q04656	ATP7A	2.50619184674677	5.36695239957391e-07	No	No
Q04671	OCA2	1.69208284643317	0.0001172615864318	No	No
Q04721	NOTCH2	2.32865569085234	1.58574984126332e-06	No	No
Q06481	APLP2	1.84439372062915	2.409982712666e-06	No	No
Q07617	SPAG1	2.07757096772565	4.30255762450187e-07	No	No
Q07912	TNK2	1.91160018454695	5.68964616507316e-06	No	No
Q07954	LRP1	1.72276871287463	1.41243828105333e-06	No	No
Q08174	PCDH1	3.39274063759553	0.0001651345916794	No	No
Q08334	IL10RB	2.38911954911104	0.0002044150767994	No	No
Q08345	DDR1	3.46822621418963	1.77736584712054e-05	No	No
Q08357	SLC20A2	1.91162835531478	7.19957555414922e-06	No	No
Q08378	GOLGA3	1.33484252167515	0.0005464005425647	No	No
Q08722	CD47	6.21911304748305	4.8759141898449e-10	No	No
