Protein_Group	Genes	SAX_22001_M1_vs_RAW_22001_M1_logFC	SAX_22001_M1_vs_RAW_22001_M1_pval	Removed?	Contaminant?
Q86WR7	PROSER2	7.43362690713564	1.64693570863815e-13	No	No
Q86WV6	STING1	4.05215249655144	0.0001052592371504	No	No
Q86XX4	FRAS1	7.35560866404453	9.1332741261152e-08	No	No
Q86Y39	NDUFA11	6.1780430800848	2.70642957370672e-06	No	No
Q86Y82	STX12	6.86155989778107	1.19015233964593e-10	No	No
Q86YB7	ECHDC2	9.06147368842107	3.17981992503561e-12	No	No
Q86YL5	TDRP	6.38722605872258	2.8422074134061603e-09	No	No
Q86YS7	C2CD5	2.85486660757363	0.0035446566588934	No	No
Q86YV0	RASAL3	3.11747727243299	0.0061197202263703	No	No
Q86YW5	TREML1	9.29603806954269	4.87594893216126e-13	No	No
Q8IUI8	CRLF3	7.93000016232453	5.004293061523491e-09	No	No
Q8IUK5	PLXDC1	13.4439086624634	6.433807288429859e-22	No	No
Q8IUK8	CBLN2	10.6036951326252	6.21231079092968e-17	No	No
Q8IUR0	TRAPPC5	6.230152246826	8.1383657494322e-09	No	No
Q8IUX7	AEBP1	9.28174170658088	2.47689179308634e-13	No	No
Q8IVB4	SLC9A9	7.13002978283725	1.24633697150319e-07	No	No
Q8IVT5	KSR1	5.51999302477175	4.73155611567509e-05	No	No
Q8IWA5	SLC44A2	8.95271812466377	1.14215096865597e-08	No	No
Q8IWB7	WDFY1	5.42388689499556	2.27512408847336e-06	No	No
Q8IWE2	FAM114A1	7.97688185304575	2.15817631186018e-10	No	No
Q8IWJ2	GCC2	10.0509636045535	3.63964705286338e-08	No	No
Q8IWK6	ADGRA3	3.86188740831946	0.000582793517415	No	No
Q8IWT0	ZBTB8OS	4.8351686697996	1.13247593903511e-06	No	No
Q8IXI1	RHOT2	4.88385468262155	7.57959283555533e-05	No	No
Q8IXI2	RHOT1	3.02962139330093	0.0014396760043702	No	No
Q8IXJ6	SIRT2	5.62307126792755	4.35344981296775e-06	No	No
Q8IY17	PNPLA6	3.07670479022625	0.0082952379208354	No	No
Q8IY22	CMIP	8.30304728295578	1.87143164099213e-14	No	No
Q8IY33	MICALL2	3.120364042347	0.0029848228023763	No	No
Q8IYD1	GSPT2	6.66910166847292	6.22380292516694e-11	No	No
Q8IYI6	EXOC8	5.67117584422551	1.19237869599948e-06	No	No
Q8IYU8	MICU2	6.03176022474797	7.81747081182183e-10	No	No
Q8IZ07	ANKRD13A	6.57724190116578	6.37791403384429e-10	No	No
Q8IZ83	ALDH16A1	4.60105388543958	0.0036485430416776	No	No
Q8IZA0	KIAA0319L	3.21365391010373	0.0042766126614864	No	No
Q8IZP0	ABI1	9.11589347202392	7.50919098346925e-12	No	No
Q8IZP7	HS6ST3	8.21998590635344	1.32440240832131e-12	No	No
Q8IZP9	ADGRG2	6.79872665516027	1.09865599335335e-08	No	No
Q8N0U8	VKORC1L1	4.07744782286648	9.14773591779206e-05	No	No
Q8N128	FAM177A1	9.54758016354302	2.57006753665496e-14	No	No
Q8N129	CNPY4	5.10727757427266	3.69841488120898e-06	No	No
Q8N163	CCAR2	6.27837856648786	2.8943637744952e-09	No	No
Q8N1G4	LRRC47	5.95787371788925	5.77172991057094e-07	No	No
Q8N1Q1	CA13	3.1643798142745	0.001184581403518	No	No
Q8N2G8	GHDC	4.26316237166277	4.18019386831768e-05	No	No
Q8N2Q7	NLGN1	9.30039888134611	1.21839749040401e-11	No	No
Q8N2S1	LTBP4	5.62005571923763	3.64332575127753e-05	No	No
Q8N307	MUC20	7.74797135996907	3.88011268217922e-08	No	No
Q8N392	ARHGAP18	7.56051475389156	8.769995248690932e-09	No	No
Q8N3D4	EHBP1L1	6.86579195663683	5.84168678167312e-10	No	No
Q8N3J6	CADM2	2.73080477403985	0.0065762265251249	No	No
Q8N3T1	GALNT15	8.07254145155235	5.5242201621275896e-12	No	No
Q8N3T6	TMEM132C	4.91080676957763	6.71704541584461e-06	No	No
Q8N436	CPXM2	5.19022305993443	1.52291585791752e-07	No	No
Q8N474	SFRP1	3.0583611567187	0.0050086612107878	No	No
Q8N490	PNKD	6.70623550571858	2.8487068990551104e-09	No	No
Q8N4C8	MINK1	6.81741830416513	1.4831298705104e-09	No	No
Q8N4L2	PIP4P2	6.16811100070074	1.72014260742462e-08	No	No
Q8N4Q1	CHCHD4	3.2269836126006	0.0024481839474667	No	No
Q8N4V1	MMGT1	5.02597581204513	1.54841622377415e-06	No	No
Q8N573	OXR1	5.0448747804502	1.26546016141608e-06	No	No
Q8N5C1	CALHM5	6.73831506329796	2.82301677236086e-06	No	No
Q8N5C8	TAB3	3.60217795140285	0.0003670989947025	No	No
Q8N5I2	ARRDC1	4.76249831726538	4.7315171824381e-06	No	No
Q8N5J2	MINDY1	5.58462888337005	8.6439110667336e-06	No	No
Q8N5K1	CISD2	8.38498043865543	2.63809512474449e-10	No	No
Q8N5M9	JAGN1	4.54167128793674	1.83798055319544e-05	No	No
Q8N5R6	CCDC33	4.93047029028362	3.16355440237633e-06	No	No
Q8N699	MYCT1	8.93862024814151	2.30597193875572e-10	No	No
Q8N6C5	IGSF1	3.75500108986651	0.002956319629248	No	No
Q8N6L1	KRTCAP2	4.55903620538847	7.18240668528219e-06	No	No
Q8N6T3	ARFGAP1	5.25028975339475	5.02510248944839e-06	No	No
Q8N766	EMC1	4.18408490564288	0.0013607623159491	No	No
Q8N7A1	KLHDC1	7.12689016872418	5.93877645983037e-16	No	No
Q8N9U0	TC2N	5.05044081986519	8.13798744043127e-08	No	No
Q8NB25	FAM184A	3.26130418554921	0.0001238297215963	No	No
Q8NBF2	NHLRC2	8.17651429317047	4.31478892290811e-09	No	No
Q8NBI5	SLC43A3	6.80000292433474	3.97541859157367e-11	No	No
