Protein_Group	Genes	SAX_72001_B_vs_RAW_72001_B_logFC	SAX_72001_B_vs_RAW_72001_B_pval	Removed?	Contaminant?
Q9H3N1	TMX1	5.17883050642668	6.32519315006435e-08	No	No
Q9H3U1	UNC45A	5.90108350574648	4.61141755164933e-06	No	No
Q9H479	FN3K	5.6256091332983	9.41676860856965e-07	No	No
Q9H939	PSTPIP2	5.86387928761289	9.71928344921872e-07	No	No
Q9NQ75	CASS4	8.10651033113067	2.21076568141548e-10	No	No
Q9NRW1	RAB6B	5.53897347214595	3.01007725185477e-06	No	No
Q9NS28	RGS18	5.38977397785198	4.4882868978318e-09	No	No
Q9NVJ2	ARL8B	5.02679734929817	3.15008481675816e-06	No	No
Q9NX76	CMTM6	4.75816837874376	6.51904659993015e-05	No	No
Q9NYL9	TMOD3	7.267896169857	7.283972093861211e-14	No	No
Q9NYQ6	CELSR1	5.08620517711756	0.000209486333742	No	No
Q9NZQ3	NCKIPSD	5.22443808441503	8.01718092697715e-08	No	No
Q9P0L0	VAPA	7.70181489948898	8.30310715127646e-12	No	No
Q9UBP4	DKK3	7.31639792196348	8.46598859613729e-07	No	No
Q9UDT6	CLIP2	6.5237800101453	2.89046157229866e-08	No	No
Q9UEY8	ADD3	4.89822501864829	0.0001189617791306	No	No
Q9UFN0	NIPSNAP3A	6.69218715229822	3.69558178466198e-12	No	No
Q9UHB6	LIMA1	5.24007829463935	3.15699279421985e-07	No	No
Q9UHY1	NRBP1	5.24093621083526	8.46836768281503e-05	No	No
Q9UIA9	XPO7	4.97836567118461	5.21371603340991e-06	No	No
Q9UID3	VPS51	4.7436075135219	2.52586963055063e-05	No	No
Q9UIJ7	AK3	5.57970083378915	2.34566862031626e-08	No	No
Q9UKE5	TNIK	5.40680133474728	1.67204455622303e-07	No	No
Q9UKM7	MAN1B1	4.69884177262814	5.23384278565249e-07	No	No
Q9ULH1	ASAP1	5.43620583415307	1.71631669072646e-06	No	No
Q9UNF0	PACSIN2	6.8249569971956	4.3677664137512694e-12	No	No
Q9UNM6	PSMD13	4.68476839595627	0.0002786754631548	No	No
Q9UPN3	MACF1	6.71960881517516	2.19163137307144e-08	No	No
Q9Y2A7	NCKAP1	6.56020480045769	8.00006525000481e-10	No	No
Q9Y2Q0	ATP8A1	5.36254809920978	4.424472285856281e-09	No	No
Q9Y2Q3	GSTK1	6.18519189468552	1.1312573235539802e-09	No	No
Q9Y2X7	GIT1	4.61031134163052	0.0001127204998217	No	No
Q9Y394	DHRS7	4.75749590908752	6.33127459040666e-07	No	No
Q9Y3F4	STRAP	6.2588133799403	9.0372161030218e-09	No	No
Q9Y3Q8	TSC22D4	5.31040808274694	2.26289376023626e-09	No	No
Q9Y4D1	DAAM1	5.59317155667019	1.66301163906789e-05	No	No
Q9Y4I1	MYO5A	5.287655758475	1.69507971417371e-07	No	No
Q9Y5K6	CD2AP	5.34192454140989	4.08517789952563e-08	No	No
Q9Y5S2	CDC42BPB	5.50586210425785	7.10775748913549e-08	No	No
Q9Y5X1	SNX9	4.66595620740234	3.23949661543138e-06	No	No
Q9Y608	LRRFIP2	5.79709009285096	3.02252179165516e-06	No	No
Q9Y678	COPG1	4.84946588914364	1.86229702512256e-06	No	No
Q9Y6F6	IRAG1	6.16076102868412	1.7602756143595701e-09	No	No
Q9Y6G9	DYNC1LI1	5.42912761118542	8.46993403142968e-06	No	No
Q9Y6N5	SQOR	4.60799692714089	0.0008104086497507	No	No
A0A075B6I0	IGLV8-61	-6.02710281120835	1.49219606021117e-06	No	No
A0A075B6I9	IGLV7-46	-6.81041321205409	2.39772294847667e-08	No	No
A0A075B6J1	IGLV5-37	-9.29636525200592	1.3319942944411498e-11	No	No
A0A075B6J2	IGLV2-33	-7.06077306564165	3.920421507197691e-09	No	No
A0A075B6J9	IGLV2-18	-6.15296691845629	3.48897873762842e-06	No	No
A0A075B6K2	IGLV3-12	-7.68381441151109	1.6118054171108597e-11	No	No
A0A075B6K4	IGLV3-10	-4.61523743153935	1.82530141548331e-06	No	No
A0A075B6K6	IGLV4-3	-6.0012082082917	3.38994323199551e-05	No	No
A0A075B6Q5	IGHV3-64	-10.0671657080023	3.93637837694436e-11	No	No
A0A075B6R2	IGHV4-4	-7.97347288774422	1.00278947260461e-10	No	No
A0A075B6S2	IGKV2D-29	-5.44812191849838	1.21905479373195e-06	No	No
A0A075B6S6	IGKV2D-30	-4.83228695468483	3.14499935812959e-06	No	No
A0A075B6W8	TRAJ17	-11.9224901705117	5.34251258850019e-12	No	No
A0A075B7B6	IGHV4OR15-8	-10.1470378224546	1.20121311627063e-10	No	No
A0A075B7B8	IGHV3OR16-12	-9.92630794091613	1.79030782585421e-11	No	No
A0A075B7D0	IGHV1OR15-1	-7.56973902164568	0.0007427999062472	No	No
A0A075B7D4	IGKV1OR2-108	-9.99380817094624	9.30253599259042e-11	No	No
A0A075B7E8	IGHV3OR16-13	-6.73055610522871	4.23960749926237e-07	No	No
A0A087WSX0	IGLV5-45	-8.29207872210138	3.00993190189424e-07	No	No
A0A087WSZ0	IGKV1D-8	-5.97890018501212	9.91561699962986e-08	No	No
A0A087WYE8	IGHV1OR21-1	-4.9790476949443	0.0047148351715897	No	No
A0A0A0MS14	IGHV1-45	-6.99398999763587	1.1499598067608e-10	No	No
A0A0A0MT36	IGKV6D-21	-7.09492104040504	8.38746636021034e-09	No	No
A0A0A0MT69	IGKJ4	-10.1002320674092	9.37894046439395e-08	No	No
A0A0A0MT89	IGKJ1	-7.75211204007146	4.42699747896119e-09	No	No
A0A0A0MT96	IGKJ3	-12.1005856856673	4.71662065801897e-13	No	No
A0A0A0MTA3	IGKJ5	-11.7466989332452	2.03473682017463e-10	No	No
A0A0B4J1U3	IGLV1-36	-7.82577193203928	1.59617020801129e-08	No	No
A0A0B4J1U7	IGHV6-1	-6.37968242893228	1.09654306710453e-06	No	No
A0A0B4J1V0	IGHV3-15	-5.59176996171297	4.650009862266e-10	No	No
A0A0B4J1V2	IGHV2-26	-6.72413229855768	7.24652736283367e-07	No	No
A0A0B4J1V6	IGHV3-73	-9.4132840037996	2.0315722830561e-08	No	No
A0A0B4J1X5	IGHV3-74	-6.08286827060882	1.11861486845104e-08	No	No
A0A0B4J1X8	IGHV3-43	-7.31894302792646	1.76789836200493e-10	No	No
A0A0B4J1Y8	IGLV9-49	-6.87910130270477	1.32917157748062e-10	No	No
A0A0B4J1Y9	IGHV3-72	-8.96698183132952	5.46760561953687e-10	No	No
A0A0B4J2H0	IGHV1-69D	-5.39595757732434	2.94595775322443e-12	No	No
A0A0C4DH24	IGKV6-21	-8.68801972332119	1.85015144658226e-08	No	No
