Protein_Group	Genes	pLVX_EV_Tr_vs_pLVX_EV_logFC	pLVX_EV_Tr_vs_pLVX_EV_pval	Removed?	Contaminant?
Q9H2Y7	ZNF106	-1.08107772707217	9.58241716330618e-13	No	No
Q9H3R5	CENPH	-1.09760940525618	1.4226204903173e-12	No	No
Q9H4H8	FAM83D	-1.92959393372431	8.69578310250327e-10	No	No
Q9H8V3	ECT2	-1.70503063622066	2.34817993674397e-16	No	No
Q9H967	WDR76	-2.24691533665964	3.69941245606155e-11	No	No
Q9H9A7	RMI1	-1.51887261493617	1.88722217506057e-17	No	No
Q9HAW4	CLSPN	-1.11428445190163	7.46073835615928e-05	No	No
Q9HBM1	SPC25	-2.31346975359005	1.69688572721581e-09	No	No
Q9NPD8	UBE2T	-2.08830111477829	2.1011580973676501e-10	No	No
Q9NQS7	INCENP	-2.43798237591225	5.50133916541258e-15	No	No
Q9NQW6	ANLN	-1.93362715730583	6.8635491351923905e-09	No	No
Q9NRM6	IL17RB	-1.33727705224274	0.0041551666048865	No	No
Q9NRZ9	HELLS	-2.09917633394992	7.066435141219e-12	No	No
