Protein_Group	Genes	PTEN_sg_#3_vs_LCv2_EV_Blast_logFC	PTEN_sg_#3_vs_LCv2_EV_Blast_pval	Removed?	Contaminant?
Q8N443	RIBC1	-1.02702684199205	4.62396161816577e-07	No	No
Q8N720	ZNF655	-2.19546757657107	0.000198051976438	No	No
Q8N9H8	EXD3	-1.0851906309981	0.0007666020786196	No	No
Q8NBV8	SYT8	-1.28140521518479	5.56580011445079e-07	No	No
Q8NCC5	SLC37A3	-1.27000500008999	2.15126858695867e-05	No	No
Q8NDW8	TTC21A	-1.0621410149186	0.0001373398498331	No	No
Q8TAC2	JOSD2	-1.53615027302157	7.02863809409551e-20	No	No
Q8TB45	DEPTOR	-1.10307212351951	8.72582134209271e-14	No	No
Q8TCU6	PREX1	-1.16804761037867	2.73395663671533e-15	No	No
Q8TE85	GRHL3	-1.33283856805149	0.0015845151520533	No	No
Q8WV24	PHLDA1	-1.23534190592585	3.00814568069726e-06	No	No
Q8WWZ3	EDARADD	-1.33085379185896	1.12806312135294e-06	No	No
Q8WYK2	JDP2	-1.82215178868871	3.89025226877612e-06	No	No
Q92729	PTPRU	-1.43577901840587	5.24240770884609e-09	No	No
Q92777	SYN2	-2.38309098290078	4.00677408311833e-08	No	No
Q93062	RBPMS	-1.16516612784373	5.31259383541096e-20	No	No
Q969W9	PMEPA1	-1.16888631666028	8.89297953508447e-07	No	No
Q96A58	RERG	-1.6192850154214	1.24093826372014e-13	No	No
Q96AN5	TMEM143	-1.02978235193134	3.47392022293373e-05	No	No
Q96D70	R3HDM4	-1.12385482568639	6.9572082224359e-05	No	No
Q96EG1	ARSG	-1.16897853461087	4.22413037306714e-09	No	No
Q96GT9	XAGE2	-2.12247059525384	1.14469298165624e-06	No	No
Q96L94	SNX22	-1.09727122702192	1.03892873078793e-06	No	No
Q96PD5	PGLYRP2	-2.41871914947384	1.80118774647864e-15	No	No
Q99424	ACOX2	-1.1281511832535	3.83606954521844e-06	No	No
Q99618	CDCA3	-1.04443186439708	3.10887530158362e-05	No	No
Q9BRC7	PLCD4	-1.15508344829379	6.007905760888851e-14	No	No
Q9BS92	NIPSNAP3B	-1.17745919420943	2.86140772223651e-05	No	No
Q9BT76	UPK3B	-1.53224361635978	5.83156469777341e-06	No	No
Q9BV90	SNRNP25	-1.91916713254378	1.10742405654316e-05	No	No
Q9BXI9	C1QTNF6	-1.5911178333165	4.06199102915282e-09	No	No
Q9BXM9	FSD1L	-1.37877868457796	1.98160072942576e-08	No	No
Q9BY84	DUSP16	-1.3494176009022	4.516131944054861e-09	No	No
Q9BZF2	OSBPL7	-1.05099365303653	2.9739205165122e-06	No	No
Q9C026	TRIM9	-1.60833517358706	1.18881847449143e-09	No	No
Q9H0Q0	CYRIA	-1.62992827704984	5.41440213748868e-09	No	No
Q9H1K4	SLC25A18	-1.12274874443646	2.09705999634668e-25	No	No
Q9H3G5	CPVL	-2.60062635733579	2.02379376240643e-47	No	No
Q9H3M7	TXNIP	-1.1596027824975	3.84924026613999e-07	No	No
Q9H3S1	SEMA4A	-1.47217828245583	2.74411112486674e-07	No	No
Q9H939	PSTPIP2	-1.0574800430188	3.6215620785162903e-31	No	No
Q9HCK5	AGO4	-1.26744598190385	5.504174428344e-05	No	No
Q9NQV5	PRDM11	-1.03520596833003	1.07713405255785e-12	No	No
Q9NRZ5	AGPAT4	-1.61761938241737	1.627299213326e-07	No	No
Q9NSY2	STARD5	-1.31727077392318	1.13432899689553e-23	No	No
Q9NZU0	FLRT3	-1.97865058495696	1.02623957200115e-10	No	No
Q9P212	PLCE1	-1.0799687850712	0.0004470772158296	No	No
Q9UII2	ATP5IF1	-1.08096026690401	4.84731520993669e-07	No	No
Q9UJV3	MID2	-2.09527857377032	1.97316200119129e-05	No	No
Q9UL12	SARDH	-1.22328468366333	4.7472332331354796e-11	No	No
Q9ULM0	PLEKHH1	-1.1931704833208	7.49405255882e-10	No	No
Q9UNL4	ING4	-1.77719956675188	4.8678125292171005e-22	No	No
Q9Y2D5	AKAP2	-2.05529587493663	5.45348493005258e-16	No	No
Q9Y2E6	DTX4	-1.36301278422156	2.91235492625184e-06	No	No
Q9Y566	SHANK1	-3.14779043759776	1.8019779738256402e-15	No	No
Q9Y572	RIPK3	-2.34723992297092	8.59871191986079e-12	No	No
Q9Y5F2	PCDHB11	-2.2456291329928	6.45630562129126e-11	No	No
Q9Y5X0	SNX10	-1.06876716101793	0.0028260206606543	No	No
Q9Y651	SOX21	-1.32928070912183	3.83018937422159e-05	No	No
Q9Y6N8	CDH10	-1.40613458620871	0.0006481669752471	No	No
