Protein_Group	Genes	T47D_ResB_vs_T47D_logFC	T47D_ResB_vs_T47D_pval	Removed?	Contaminant?
P11137	MAP2	-1.28445884122089	4.7115949436206795e-12	No	No
P11362	FGFR1	-1.45433582091569	0.000256787985972	No	No
P11498	PC	-1.21121212413101	3.15718232687366e-49	No	No
P12429	ANXA3	-1.92015818474888	1.34929549021405e-19	No	No
P14061	HSD17B1	-2.15903054031612	4.09447830685598e-07	No	No
P15514	AREG	-1.03887120625443	1.72249167373708e-05	No	No
P15559	NQO1	-1.58551905649484	1.00115491133492e-43	No	No
P16070	CD44	-1.41888467833697	3.02455758748435e-20	No	No
P16083	NQO2	-1.77336645219282	2.2178160192295602e-14	No	No
P21397	MAOA	-1.75889258159881	0.0006015006582626	No	No
P25445	FAS	-1.43186506722912	4.461454968491599e-19	No	No
P30047	GCHFR	-1.62312073329413	5.0216403901648594e-11	No	No
P30281	CCND3	-1.34623047602473	2.82892615258629e-12	No	No
P30988	CALCR	-1.55789448177863	2.8048453180902098e-11	No	No
P31641	SLC6A6	-1.30787462432852	1.1551807752445e-17	No	No
P35408	PTGER4	-2.27772245435787	3.46508961259644e-14	No	No
P36897	TGFBR1	-1.41357131660326	9.2464450977652e-27	No	No
P38936	CDKN1A	-1.03263757781367	8.3265570867518e-09	No	No
P41247	PNPLA4	-2.47970391818914	2.96735520849083e-25	No	No
P43121	MCAM	-1.82765829339977	8.04612345281837e-18	No	No
P43155	CRAT	-1.06323848513148	3.59550181465207e-41	No	No
P43251	BTD	-1.29471232518897	3.65229512502422e-15	No	No
P43353	ALDH3B1	-2.27843341259391	7.67256089784396e-39	No	No
P43405	SYK	-1.05471034497393	1.72523238548015e-16	No	No
P47895	ALDH1A3	-1.57876271093034	5.60546014015061e-07	No	No
P49326	FMO5	-1.94002272996063	3.1738771669450704e-25	No	No
P49662	CASP4	-1.98038817364396	1.21231666254106e-21	No	No
P50148	GNAQ	-1.22862365838087	3.05609402380092e-10	No	No
P50225	SULT1A1	-1.54934756473124	4.95252739402154e-34	No	No
P52799	EFNB2	-1.25133874307392	6.4300281942947e-05	No	No
P53365	ARFIP2	-1.24721533710667	3.23571838894538e-40	No	No
P55040	GEM	-1.91771643333521	3.11508818671096e-07	No	No
P55899	FCGRT	-1.30121659612057	2.03969629203063e-18	No	No
P57729	RAB38	-1.10242151220721	8.874683877103639e-11	No	No
P60903	S100A10	-1.00530953111315	4.15209112709924e-16	No	No
P61812	TGFB2	-1.61642548622756	0.0017031269670383	No	No
P86452	ZBED6	-1.0288224133588	0.0005368732017032	No	No
P98082	DAB2	-1.91266001397779	2.1179897723248897e-11	No	No
Q00765	REEP5	-1.15856049688455	3.17268074674698e-06	No	No
Q01826	SATB1	-1.38085512110987	6.00283623746821e-16	No	No
Q02413	DSG1	-1.44829061408202	0.0040681290290326	No	No
Q03001	DST	-1.46537336912471	4.18048267485785e-33	No	No
Q03112	MECOM	-1.49900142649159	3.69893589719222e-08	No	No
Q05682	CALD1	-1.60243004941264	2.22582963904359e-10	No	No
Q08AF3	SLFN5	-1.18122411978368	1.7433498317055799e-28	No	No
Q12840	KIF5A	-1.08485878959494	0.0001556942207905	No	No
Q12841	FSTL1	-1.17229439953922	4.23726856319437e-05	No	No
Q13057	COASY	-1.29021415652426	3.1353942605279298e-30	No	No
Q13636	RAB31	-1.83081492191174	2.15201133435419e-19	No	No
Q13950	RUNX2	-1.05228992497544	2.44413172777005e-09	No	No
Q15004	PCLAF	-1.13057727928371	0.0028207132657809	No	No
Q15052	ARHGEF6	-1.78744166362373	3.15887673320106e-25	No	No
Q15506	SPA17	-1.31306473853492	3.1868042619807297e-13	No	No
Q16719	KYNU	-1.18896449623167	7.0373562462053e-25	No	No
Q16762	TST	-1.25116499292488	5.21044853996613e-37	No	No
Q16773	KYAT1	-1.73021330403887	1.19189824302276e-18	No	No
Q16831	UPP1	-1.0207885928793	2.18446406721804e-12	No	No
Q1W6H9	FAM110C	-1.03310016108556	3.2942675959032504e-09	No	No
Q24JP5	TMEM132A	-1.21824652479113	1.2677008018055401e-31	No	No
Q2TAC2	CCDC57	-1.17576977986856	0.0049225685059655	No	No
Q3BBV2	NBPF8	-2.31582645975758	5.10490299901848e-20	No	No
Q3KQV9	UAP1L1	-1.02436519780022	7.04518923649471e-36	No	No
Q3KQZ1	SLC25A35	-1.17021302262587	7.21199039926335e-26	No	No
Q3SY77	UGT3A2	-4.3044730148357	7.92246843897778e-26	No	No
Q49A88	CCDC14	-1.38332818380247	2.16012079605464e-16	No	No
Q49AH0	CDNF	-1.0797220552076	0.0027278961844987	No	No
Q53GA4	PHLDA2	-1.0498968469187	2.23645081403169e-05	No	No
