Protein_Group	Genes	pLVX_mCDK6_OE_Tr_vs_pLVX_mCDK6_OE_logFC	pLVX_mCDK6_OE_Tr_vs_pLVX_mCDK6_OE_pval	Removed?	Contaminant?
Q9H5U6	ZCCHC4	-1.02990951490227	1.34822502857533e-07	No	No
Q9H816	DCLRE1B	-1.51957002446482	2.77068296185613e-06	No	No
Q9H8V3	ECT2	-1.3923509610055	1.1401291867181799e-12	No	No
Q9H967	WDR76	-1.55380498831248	9.79266963986566e-07	No	No
Q9H9A7	RMI1	-1.3097896936262	1.48358979475071e-14	No	No
Q9HAW0	BRF2	-1.04682090260417	0.0011496282760616	No	No
Q9HBM1	SPC25	-1.50982749468146	2.80565170628307e-05	No	No
Q9NP50	SINHCAF	-1.04047832478384	0.0018872321389315	No	No
Q9NPD8	UBE2T	-1.44845805048314	2.71353267199188e-06	No	No
Q9NQ66	PLCB1	-1.13691504609555	2.75534952610696e-10	No	No
Q9NQS7	INCENP	-1.72206740680337	1.70490019486688e-09	No	No
Q9NQW6	ANLN	-1.32903314410433	2.64712163408689e-05	No	No
Q9NRZ9	HELLS	-1.43116788552692	4.75852437986126e-07	No	No
Q9NS87	KIF15	-1.22615158683328	3.48712362416276e-08	No	No
Q9NS91	RAD18	-1.19713383231462	8.734243160708309e-18	No	No
Q9NSD5	SLC6A13	-1.53190407448411	1.32092872014437e-05	No	No
Q9NTJ3	SMC4	-1.08645717641384	6.78249484592799e-22	No	No
Q9NUC0	SERTAD4	-1.36790099776412	1.4176169392617102e-09	No	No
Q9NVI1	FANCI	-1.49601323214921	2.9389739596640204e-09	No	No
Q9NYP3	DONSON	-1.25117586669624	0.0014893705095718	No	No
Q9NYZ3	GTSE1	-1.34423442345745	0.0002901359533739	No	No
Q9NZJ0	DTL	-1.09987764334134	4.57040214436718e-06	No	No
Q9P2W1	PSMC3IP	-1.82141626988286	3.3299609153120204e-09	No	No
Q9UH17	APOBEC3B	-1.25957955471619	6.48421860189768e-10	No	No
Q9UKT4	FBXO5	-1.7698501290151	2.30599002816907e-11	No	No
Q9ULE3	DENND2A	-1.08310840192302	0.0004834577619566	No	No
Q9ULR5	PAIP2B	-1.22906508009114	0.0001716567719116	No	No
Q9ULW0	TPX2	-1.62871914051803	8.84885569517815e-07	No	No
Q9UNS1	TIMELESS	-1.17222768843527	2.6015509406355104e-15	No	No
Q9UQR0	SCML2	-1.09115151990857	1.32619737403415e-21	No	No
Q9Y242	TCF19	-2.1717568843269	1.74957532303931e-10	No	No
Q9Y247	FAM50B	-1.00928165609729	0.0033870107408787	No	No
Q9Y253	POLH	-1.01633907463075	9.78030628425954e-05	No	No
Q9Y2Y6	TMEM98	-1.46237380735925	2.55812168483026e-06	No	No
Q9Y448	KNSTRN	-1.53364311962643	2.32526618204645e-07	No	No
Q9Y5E3	PCDHB6	-1.00120507974128	0.0091788229787305	No	No
Q9Y5T4	DNAJC15	-1.16373801243105	3.0632772553764702e-09	No	No
Q9Y5U5	TNFRSF18	-2.96343496757996	4.86789789915638e-12	No	No
Q9Y620	RAD54B	-1.01221829549584	1.35361633955585e-06	No	No
Q9Y6A5	TACC3	-1.2355297377249	8.66084409783671e-06	No	No
