Protein_Group	Genes	T47D_ResA_p26_vs_T47D_logFC	T47D_ResA_p26_vs_T47D_pval	Removed?	Contaminant?
P78357	CNTNAP1	-1.01667231947347	4.3632745064066e-09	No	No
P81605	DCD	-1.15063549058812	0.00805710236977	No	No
P84157	MXRA7	-1.12424576061695	3.0718408453917204e-15	No	No
P86452	ZBED6	-1.14205515741107	0.0001385565629807	No	No
P98082	DAB2	-2.13599577507668	3.5574057910418397e-13	No	No
Q00887	PSG9	-1.02561667940911	0.0003905177658213	No	No
Q00973	B4GALNT1	-1.80788600039455	0.000134476792375	No	No
Q02318	CYP27A1	-1.32228033132952	9.20029737172181e-05	No	No
Q03001	DST	-1.32776281390301	2.59283265402524e-30	No	No
Q03112	MECOM	-1.43968335314393	1.02433659680763e-07	No	No
Q05682	CALD1	-2.5614085936747	8.96182343469648e-19	No	No
Q08AF3	SLFN5	-1.05787995359074	1.45033827349009e-25	No	No
Q0IIM8	TBC1D8B	-1.07237829833279	2.5761988628187703e-09	No	No
Q13057	COASY	-1.16087892536994	2.35923430037017e-27	No	No
Q13636	RAB31	-2.35498407371536	1.91237956284972e-25	No	No
Q13950	RUNX2	-1.06467976738062	1.7290695378147302e-09	No	No
Q14511	NEDD9	-1.09838181274822	0.0071947524011202	No	No
Q15052	ARHGEF6	-1.61908405876549	9.37735535226604e-23	No	No
Q15847	ADIRF	-1.05422879597118	0.0001256956902992	No	No
Q16549	PCSK7	-1.20167011568489	6.59335315695433e-05	No	No
Q16719	KYNU	-1.23441478417677	7.63755804456855e-26	No	No
Q16762	TST	-1.00500644594153	1.15700230852029e-30	No	No
Q16773	KYAT1	-1.33246045765752	1.51655659076052e-13	No	No
Q16831	UPP1	-1.12095469855706	5.61256000814435e-14	No	No
Q16842	ST3GAL2	-1.31160706010896	0.0001092581672157	No	No
Q1RMZ1	BMT2	-1.18886167513087	0.0007074375590575	No	No
Q2TAP0	GOLGA7B	-1.70117572841192	8.16403753831131e-07	No	No
Q3BBV2	NBPF8	-2.13062229016143	3.4691834048814797e-18	No	No
Q4V339	CBWD6	-1.07594027775185	0.003687287754454	No	No
Q58DX5	NAALADL2	-1.48194055470902	7.28256694142647e-18	No	No
Q5BVD1	TTMP	-1.64873136488416	7.68463995709604e-05	No	No
Q5I0X7	TTC32	-1.08831675672233	0.0002441066006599	No	No
Q5JSP0	FGD3	-1.60236379182756	6.0427625918687405e-09	No	No
Q5JTW2	CEP78	-1.02058045603492	5.20593443591849e-13	No	No
Q5JTZ5	C9orf152	-1.36805338108875	2.07374364528881e-13	No	No
Q5JVS0	HABP4	-1.18342433665239	1.46310756014463e-17	No	No
Q5SRE7	PHYHD1	-4.14532851532766	5.60124500088949e-21	No	No
Q5T011	SZT2	-1.27571617128892	3.22796856496005e-28	No	No
Q5T2W1	PDZK1	-3.26660640586933	7.26830330211576e-48	No	No
Q5T481	RBM20	-2.17143430655032	1.11411100168258e-15	No	No
Q5T686	AVPI1	-3.20236972193998	2.40407152074644e-08	No	No
Q5T6V5	C9orf64	-1.12466996907008	4.4572901093992705e-25	No	No
Q5T750	XP32	-2.58946143752809	1.60302664417979e-05	No	No
Q5T7W7	TSTD2	-1.24278924453676	2.29697425803225e-06	No	No
Q60I27	ALS2CL	-1.08499677109531	4.97870448727146e-10	No	No
Q68CL5	TPGS2	-1.37505453992926	0.0002302950678352	No	No
Q68CZ2	TNS3	-1.02059424359315	6.85535070623059e-11	No	No
Q6NT16	SLC18B1	-1.22164919711435	2.0629449577365698e-11	No	No
Q6NT55	CYP4F22	-1.84010183087262	4.14002796894513e-06	No	No
Q6NV74	CRACDL	-1.21555059534419	4.63351334826372e-27	No	No
Q6NZI2	CAVIN1	-1.35292938390266	9.64929227328712e-06	No	No
Q6P179	ERAP2	-1.0223414378343	5.72215063140144e-13	No	No
Q6P4A8	PLBD1	-1.60112605244201	3.12790536758286e-16	No	No
Q6UVK1	CSPG4	-1.37577758168145	7.95627648384348e-06	No	No
Q6UWE0	LRSAM1	-1.00918686159861	8.37182889129855e-32	No	No
Q6UWH4	GASK1B	-1.16416819236441	1.80566269307479e-05	No	No
Q6UWJ1	TMCO3	-1.0146498058737	2.66641100227946e-05	No	No
Q6UX71	PLXDC2	-2.30089137590014	1.17855384623919e-25	No	No
Q6ZNL6	FGD5	-2.39166036433665	1.73269486253955e-07	No	No
Q6ZS11	RINL	-1.78352994476115	1.47386799966596e-05	No	No
Q6ZTW0	TPGS1	-1.03703130600164	1.13111170537487e-06	No	No
Q6ZUT6	CCDC9B	-1.01592399721114	4.00374594985279e-05	No	No
Q6ZW13	C16orf86	-1.86045176016888	0.0003320910758331	No	No
Q6ZWL3	CYP4V2	-1.65246457908828	4.72395892662099e-08	No	No
Q709C8	VPS13C	-1.06561591120172	2.9200771491556298e-43	No	No
Q70J99	UNC13D	-1.42567247791362	3.48180530195317e-45	No	No
Q7KYR7	BTN2A1	-1.13721190491356	0.0001256289079991	No	No
Q7Z3Q1	SLC46A3	-1.3957325849736	5.664250607723451e-09	No	No
Q7Z402	TMC7	-1.70533796962754	2.46825504438471e-06	No	No
Q7Z7K6	CENPV	-1.24665445261007	7.96965777070111e-07	No	No
Q7Z7L1	SLFN11	-1.18813430818832	1.67714897510877e-14	No	No
Q86VG3	IFTAP	-1.31642807050385	1.81172421095783e-08	No	No
Q86VZ6	JAZF1	-4.30132628330317	1.30179589249593e-12	No	No
Q86WV6	STING1	-1.26735509251401	0.0001734439058711	No	No
Q86YQ8	CPNE8	-1.29240121524239	5.6810442435253094e-12	No	No
Q8IU85	CAMK1D	-1.12197435237909	3.53414698466704e-07	No	No
Q8IUX4	APOBEC3F	-1.25628849256328	3.4496339252452e-09	No	No
Q8IVI9	NOSTRIN	-1.4207114786197	9.750698672593309e-12	No	No
Q8IWU6	SULF1	-1.91818270713772	3.765713404654e-06	No	No
Q8IXL7	MSRB3	-1.25155584907495	2.7936894966386003e-18	No	No
Q8N142	ADSS1	-1.4449701903129	2.3940446031266202e-17	No	No
Q8N1Q1	CA13	-1.25840579173577	3.75089699647465e-07	No	No
Q8N4M1	SLC44A3	-1.23592724420922	4.54306466738272e-06	No	No
Q8N957	ANKFN1	-1.07479199700785	0.0003334593254999	No	No
Q8NA03	FSIP1	-3.58005379583917	6.52802152566264e-19	No	No
Q8NB16	MLKL	-1.5064052476024	1.15395516886427e-35	No	No
Q8NBI5	SLC43A3	-1.12171480948022	3.07346373582527e-06	No	No
Q8NDN9	RCBTB1	-2.23877519112503	1.36728098907017e-14	No	No
Q8NE00	TMEM104	-1.27694425873785	3.10721311033695e-05	No	No
Q8NHX9	TPCN2	-1.08974712614603	5.89560011882764e-13	No	No
Q8TAD7	OCC1	-1.00218368863888	2.52871788934397e-07	No	No
Q8TCD5	NT5C	-1.01685002923105	4.58343408564541e-13	No	No
Q8TD19	NEK9	-1.08222279249556	1.55596333925957e-44	No	No
Q8TDZ2	MICAL1	-1.97590535988424	1.292231936186e-25	No	No
Q8TEC5	SH3RF2	-1.20611690253109	9.91636994593299e-07	No	No
Q8WV41	SNX33	-1.09463493656484	1.93889996494564e-29	No	No
Q8WVB3	HEXD	-1.42448975085313	8.54798317012254e-10	No	No
Q8WVC6	DCAKD	-1.77610913074164	2.22458491298742e-43	No	No
