Protein_Group	Genes	T47D_ResC_vs_T47D_logFC	T47D_ResC_vs_T47D_pval	Removed?	Contaminant?
Q5XKK7	FAM219B	-1.438973736099	4.71263716865804e-17	No	No
Q68CL5	TPGS2	-1.24779435868396	0.0007602154913106	No	No
Q68CP4	HGSNAT	-1.05197864856465	3.92166285780745e-16	No	No
Q68D91	MBLAC2	-1.22663862015022	5.34864876748958e-35	No	No
Q6ICC9	RTL6	-1.1828086712742	0.0033183741995039	No	No
Q6ICL3	TANGO2	-1.05152655674137	1.47465834358394e-05	No	No
Q6IQ21	ZNF770	-1.1150097030192	1.7477554627373e-10	No	No
Q6NT16	SLC18B1	-1.42373274963944	6.27347347304805e-14	No	No
Q6NT55	CYP4F22	-1.54198762899354	8.40868883788452e-05	No	No
Q6NT76	HMBOX1	-2.06247031124189	0.000125365695788	No	No
Q6NTF9	RHBDD2	-1.02575331589314	5.194589725836301e-16	No	No
Q6NV74	CRACDL	-1.16825894311982	5.10944059311043e-26	No	No
Q6NZI2	CAVIN1	-1.16310215148006	0.0001119348850511	No	No
Q6P179	ERAP2	-1.24828756061513	1.17212709052973e-16	No	No
Q6P4A8	PLBD1	-2.15531887179063	8.23873585582875e-23	No	No
Q6PCB6	ABHD17C	-1.23737498769681	7.52152441468694e-15	No	No
Q6UVK1	CSPG4	-2.04844106806388	4.48671390671229e-10	No	No
Q6UVW9	CLEC2A	-1.88443946280666	2.35691136305275e-08	No	No
Q6UWH4	GASK1B	-1.3538608933894	9.85972017324098e-07	No	No
Q6UX71	PLXDC2	-2.26074046909188	3.3461383848820803e-25	No	No
Q6ZNL6	FGD5	-2.68401025975947	8.87298355861432e-09	No	No
Q6ZTZ1	MSANTD1	-2.93004127434846	3.50472159384127e-06	No	No
Q6ZWL3	CYP4V2	-1.55557930742197	2.08602061751832e-07	No	No
Q70J99	UNC13D	-1.27274019104916	1.21167259618296e-41	No	No
Q7KYR7	BTN2A1	-2.06485202377826	1.7990893534193701e-10	No	No
Q7Z3Q1	SLC46A3	-1.00416265050172	1.06781295074486e-05	No	No
Q7Z7L1	SLFN11	-1.20333265191179	9.795145634533411e-15	No	No
Q86SR1	GALNT10	-1.28093473853619	1.82314334237794e-23	No	No
Q86TG7	PEG10	-1.27465023174552	1.35825716849323e-05	No	No
Q86WV6	STING1	-1.80491560438989	2.84317394365228e-07	No	No
Q8IUX4	APOBEC3F	-1.14132928874593	4.71189506426995e-08	No	No
Q8IWP9	CCDC28A	-1.15353938325711	0.0001154856915692	No	No
Q8IWU6	SULF1	-1.51935432187928	0.0001752619219949	No	No
Q8IXL7	MSRB3	-1.26326061495233	1.76320098287505e-18	No	No
Q8IXU6	SLC35F2	-1.40519306020992	3.03112689245534e-12	No	No
Q8IZ13	ZBED8	-1.80831265696253	2.75318260321797e-07	No	No
Q8N142	ADSS1	-1.1023018499699	2.3488876108955398e-12	No	No
Q8N2G8	GHDC	-1.07757551407517	1.71857654231498e-25	No	No
Q8N3I7	BBS5	-1.07413614844726	0.0032054523079472	No	No
Q8N3V7	SYNPO	-1.18704176066901	0.0001970139728829	No	No
Q8N3Y7	SDR16C5	-1.39045530670912	1.2280058957810501e-23	No	No
Q8N8U2	CDYL2	-1.08461445524388	2.13224245263581e-05	No	No
Q8N957	ANKFN1	-1.35467214877746	9.72583571162405e-06	No	No
Q8NA03	FSIP1	-1.59864220664633	1.37536767712634e-06	No	No
Q8NA23	WDR31	-1.06166202496818	0.00012593854776	No	No
Q8NB16	MLKL	-1.14867129450055	5.42684045994582e-28	No	No
Q8NBI5	SLC43A3	-1.14764065164614	1.93979012148221e-06	No	No
