Protein_Group	Genes	PTEN_sg_#3_Tr_vs_PTEN_sg_#3_logFC	PTEN_sg_#3_Tr_vs_PTEN_sg_#3_pval	Removed?	Contaminant?
Q15004	PCLAF	-1.66007976168709	0.0001155533685149	No	No
Q15742	NAB2	-1.11379405600546	8.57932396789903e-14	No	No
Q16385	SSX2B	-2.04848122837238	4.26929992348517e-13	No	No
Q2I0M4	LRRC26	-1.11633574585492	0.0013847276510425	No	No
Q49AH0	CDNF	-1.67979742440475	4.58027017488921e-05	No	No
Q502X0	MORN2	-1.30500018159249	0.0025879916698478	No	No
Q53FA7	TP53I3	-1.06839869902437	2.9024129162896197e-18	No	No
Q56A73	SPIN4	-1.15803567792479	8.14431703280683e-12	No	No
Q5JPI9	EEF1AKMT2	-1.15086819251229	7.63035095665866e-12	No	No
Q5XXA6	ANO1	-1.24981951528541	4.18412721390273e-05	No	No
Q6PL18	ATAD2	-1.0735279642472	4.39521819820369e-15	No	No
Q6UXT9	ABHD15	-1.45377850821238	0.0027372130187698	No	No
Q6ZN17	LIN28B	-1.60580596781062	0.0002898722925768	No	No
Q7L590	MCM10	-1.14905591822837	0.0003267243174963	No	No
Q86XI6	PPP1R3B	-1.13313494687495	0.0001625456109868	No	No
Q86XK3	SFR1	-1.50868285991829	9.76645168430021e-08	No	No
Q8IU68	TMC8	-1.6768287801762	3.73520484039163e-06	No	No
Q8IYN6	UBALD2	-1.47187728332756	0.005514372366878	No	No
Q8IYW5	RNF168	-1.4524273367208	1.5670478545826402e-09	No	No
Q8IZ13	ZBED8	-1.04275766040784	0.004742131985068	No	No
Q8TAT5	NEIL3	-1.21787587674319	1.31288660411104e-05	No	No
Q8TB68	PRR7	-1.44356741134652	0.0001010716543232	No	No
Q92837	FRAT1	-1.19668143624435	0.0016652263597542	No	No
Q96BR9	ZBTB8A	-1.39820030159368	5.6469096907352e-08	No	No
Q96DC7	TMCO6	-1.04345673194672	5.24849266831046e-08	No	No
Q96FC9	DDX11	-1.20292193834872	6.2079005092568e-05	No	No
Q96FF9	CDCA5	-1.08011305381962	0.0025467415892813	No	No
Q96FX8	PERP	-1.19714786397625	0.0027783500734124	No	No
Q96GN5	CDCA7L	-1.13834492313501	8.21038611355093e-07	No	No
