,parent,parentTerm,term,ES,NES,fdr,Gene %,Genes,description
107,GO:0043405,regulation of MAP kinase activity,GO:0043405,0.4687456253934567,1.3745885586024464,0.704015006908456,4.98%,KSR1;SPRY2;DIRAS1;APOE;TRIB3;MAP2K5;TLR4;KIT;SPRY4;VEGFA;PDGFA,GO_Biological_Process_2023__Regulation Of MAP Kinase Activity (GO:0043405)
108,GO:0050684,regulation of mRNA processing,GO:0050684,0.5309110131512091,1.37935917323866,0.7041810293567005,35.80%,JMJD6;RBM20;CDK11A;METTL16;LARP7;SRPK1;CDK9;CDK11B;RBM23;SRPK2;QKI;ZFP36L1;SLTM;SRRM1;RBM39;IWS1;SUPT6H;CWC22,GO_Biological_Process_2023__Regulation Of mRNA Processing (GO:0050684)
109,GO:0001508,action potential,GO:0001508,0.6443894718090568,1.3276906188700306,0.7069667437682002,2.35%,KCNJ2;ANK3,GO_Biological_Process_2023__Action Potential (GO:0001508)
110,GO:0032986,protein-DNA complex disassembly,GO:0032986,0.5858557169165567,1.3298073765239893,0.707301460834005,6.77%,MYC;HMGA1,GO_Biological_Process_2023__protein-DNA Complex Disassembly (GO:0032986)
111,GO:2000026,regulation of multicellular organismal development,GO:2000026,0.4885959631858655,1.382454753202218,0.7107480022487137,9.93%,GATA3;KAT6B;INO80E;YEATS2,GO_Biological_Process_2023__Regulation Of Multicellular Organismal Development (GO:2000026)
112,GO:0051781,positive regulation of cell division,GO:0051781,0.5426005008953413,1.3304056335920311,0.7109586774648333,6.81%,PRKCE;FGFR2;NKX3-1;CSPP1,GO_Biological_Process_2023__Positive Regulation Of Cell Division (GO:0051781)
113,GO:0010518,positive regulation of phospholipase activity,GO:0010518,0.5885578870003969,1.3173207854433189,0.7182705213422527,2.03%,FGFR2;KIT,GO_Biological_Process_2023__Positive Regulation Of Phospholipase Activity (GO:0010518)
114,GO:1902455,negative regulation of stem cell population maintenance,GO:1902455,0.5565231153937731,1.3152942096278435,0.7199091711620322,26.80%,ING2;ING1;SINHCAF;BRMS1L;SAP30L;BRMS1;SIN3A;SUDS3;ARID4B;LOXL2,GO_Biological_Process_2023__Negative Regulation Of Stem Cell Population Maintenance (GO:1902455)
115,GO:0006490,oligosaccharide-lipid intermediate biosynthetic process,GO:0006490,0.6053775978931295,1.30134765355782,0.7232675156725401,31.96%,ALG3;SRD5A3;DPAGT1;ALG14;ALG9;MPDU1;ALG11;PDCD6;ALG8,GO_Biological_Process_2023__Oligosaccharide-Lipid Intermediate Biosynthetic Process (GO:0006490)
116,GO:0060070,canonical Wnt signaling pathway,GO:0060070,0.4961614894867664,1.307368282740072,0.7258910191949591,8.67%,GATA3;WNT7B;SFRP4;WNT5B;WNT5A;FZD3;CDH3;TCF7L2;FZD7,GO_Biological_Process_2023__Canonical Wnt Signaling Pathway (GO:0060070)
