Protein_Group	Genes	T47D_B_Non Treated_vs_T47D _Non Treated_logFC	T47D_B_Non Treated_vs_T47D _Non Treated_pval	Removed?	Contaminant?
O75056	SDC3	-1.05188108860234	0.004628657560158	No	No
O75462	CRLF1	-1.01751767721958	0.0037510706016988	No	No
O75503	CLN5	-1.11995234798066	1.2538080898805701e-15	No	No
O95069	KCNK2	-1.16161614798285	7.60903161722438e-18	No	No
O95255	ABCC6	-1.72396453491998	1.9096836705734502e-17	No	No
O95274	LYPD3	-1.29537632301875	7.654245689152e-10	No	No
O95466	FMNL1	-1.11067582549994	0.0037116386174951	No	No
O95479	H6PD	-1.14598093382814	7.26977536237947e-29	No	No
O95751	LDOC1	-1.81674405522026	6.90842669976191e-05	No	No
O95834	EML2	-1.3063563270082	1.7961442732369598e-22	No	No
P00966	ASS1	-1.04288861093512	8.62992299207814e-33	No	No
P03971	AMH	-1.05391860677647	0.0019471861982381	No	No
P04083	ANXA1	-1.38181869084724	1.46524657958129e-19	No	No
P05091	ALDH2	-1.65812996129186	2.59329904755103e-29	No	No
P05164	MPO	-1.53218724892079	0.0001782860216599	No	No
P06276	BCHE	-2.43940400551591	3.39753360222121e-08	No	No
P08582	MELTF	-1.3035324358035	1.89978514304522e-05	No	No
P0C869	PLA2G4B	-1.01403633191612	3.38854755427471e-07	No	No
P0DMM9;P0DMN0	SULT1A3;SULT1A4	-1.26802032493314	2.3270646311248e-07	No	No
P0DPF2	NBPF20	-2.40615083877992	1.17485939766979e-09	No	No
P10600	TGFB3	-1.15973497067199	9.19758003670146e-27	No	No
P10909	CLU	-1.16890896135214	1.39564193981516e-27	No	No
P11498	PC	-1.23332924017954	2.1149061811706996e-37	No	No
P12429	ANXA3	-1.59413818366837	5.297540575876651e-25	No	No
P14061	HSD17B1	-1.01010919041236	3.74805704446737e-05	No	No
P15514	AREG	-1.18255555726249	0.0045169975917045	No	No
P15559	NQO1	-1.64903554419013	1.2751145510995202e-31	No	No
P16070	CD44	-1.49382460030676	5.28485829261085e-14	No	No
P16083	NQO2	-1.90068963160002	4.56500514686199e-12	No	No
P21397	MAOA	-1.75522742028378	0.0053269497427678	No	No
P25445	FAS	-1.21887071365467	1.99755054140768e-26	No	No
P26992	CNTFR	-1.541907475228	0.0001378583915607	No	No
P30047	GCHFR	-1.7156571191697	2.81967475594837e-17	No	No
P30281	CCND3	-1.1799725336032	6.995011675526729e-16	No	No
P31641	SLC6A6	-1.43098365105844	3.2800649185559e-17	No	No
P34949	MPI	-1.03911080458322	4.2869845167461e-22	No	No
P35408	PTGER4	-2.09856336147484	6.7929583320625305e-09	No	No
P36269	GGT5	-1.57222637215711	3.66453563269042e-06	No	No
P36897	TGFBR1	-1.37859744696111	4.37146286615694e-23	No	No
P38936	CDKN1A	-1.01944422372725	1.2629200294518e-07	No	No
P41247	PNPLA4	-2.13911162893233	1.8213566238260102e-21	No	No
P42680	TEC	-1.07566649364912	0.0001479942797879	No	No
P43121	MCAM	-1.47652981058547	3.1118869684886903e-15	No	No
P43155	CRAT	-1.08415117286835	3.02033467339777e-31	No	No
P43251	BTD	-1.14635149191411	4.88320276164727e-17	No	No
P43353	ALDH3B1	-2.08009511601079	3.98796972048543e-34	No	No
P43405	SYK	-1.15678926873589	1.17909707616671e-19	No	No
P45844	ABCG1	-1.1989517042222	0.0002848767957847	No	No
P47895	ALDH1A3	-1.24066636751113	5.04258110927516e-09	No	No
