Protein_Group	Genes	cMyc_OE_5_Non Treated_vs_T47D _Non Treated_logFC	cMyc_OE_5_Non Treated_vs_T47D _Non Treated_pval	Removed?	Contaminant?
P78364	PHC1	-1.48346198258696	0.0002034051757264	No	No
P78559	MAP1A	-2.6425841565716	8.18028899184053e-34	No	No
P80217	IFI35	-1.27062575393316	5.49468555580349e-23	No	No
P84157	MXRA7	-1.40237150103675	5.1476774227770205e-15	No	No
Q00534	CDK6	-1.87023009292531	2.14878243246685e-17	No	No
Q00887	PSG9	-1.03890223335004	0.0001961235195223	No	No
Q00978	IRF9	-1.88901265672156	1.4602476487031902e-15	No	No
Q01628	IFITM3	-2.65386795161325	1.52309818136789e-16	No	No
Q01629	IFITM2	-1.45368416365742	2.20631873354625e-08	No	No
Q02318	CYP27A1	-3.06205283651242	3.61446690795058e-13	No	No
Q07002	CDK18	-1.21714045871508	2.8900037200756704e-20	No	No
Q07654	TFF3	-3.89497565794932	3.16357364837484e-30	No	No
Q07954	LRP1	-2.20164891028761	5.79233289845966e-37	No	No
Q08380	LGALS3BP	-3.29137575132341	1.23433565167708e-42	No	No
Q08426	EHHADH	-1.08569431145783	3.9185595233544396e-33	No	No
Q08495	DMTN	-1.48473979521425	8.37208693225183e-09	No	No
Q08AF3	SLFN5	-2.51736498158463	1.51685333366052e-41	No	No
Q10587	TEF	-1.1016418257696	0.0002853607016462	No	No
Q12805	EFEMP1	-1.87391155768195	1.13324753301095e-29	No	No
Q12841	FSTL1	-1.74773709866111	8.1615281579143205e-19	No	No
Q12983	BNIP3	-1.42719972786993	1.9900002625891598e-12	No	No
Q13287	NMI	-1.19986211911817	1.26726914297974e-20	No	No
Q13325	IFIT5	-1.23949468641401	4.7468040876444704e-20	No	No
Q13393	PLD1	-1.27595567172525	2.13848752882497e-28	No	No
Q13423	NNT	-1.61737756634077	2.88505212523087e-37	No	No
Q13509	TUBB3	-1.20357685297923	9.003762288356391e-17	No	No
Q13576	IQGAP2	-1.40963373732015	2.8012925806678503e-10	No	No
Q13636	RAB31	-1.23266627727322	8.845155602970891e-09	No	No
Q13938	CAPS	-2.10227165714339	2.89202113520555e-10	No	No
Q14142	TRIM14	-2.07120563482977	2.28243736724598e-14	No	No
Q14192	FHL2	-1.66326158717946	1.47517537087707e-31	No	No
Q14195	DPYSL3	-1.13742613511421	2.86674287919267e-13	No	No
Q14749	GNMT	-1.58640705708839	1.01784207904618e-20	No	No
Q14934	NFATC4	-1.62932712864682	7.72031417278146e-14	No	No
Q14956	GPNMB	-2.63078741810767	3.29509525521256e-16	No	No
Q14D04	VEPH1	-1.48039089295819	1.30510558574106e-32	No	No
Q15434	RBMS2	-1.02308590557878	1.3429635078907301e-21	No	No
Q15506	SPA17	-1.0584122809354	3.13068550888263e-11	No	No
Q16553	LY6E	-1.35517922353391	1.38449928857475e-08	No	No
Q16555	DPYSL2	-1.56568108630895	8.35663996088367e-30	No	No
Q16678	CYP1B1	-2.08047313926755	1.66452821033228e-20	No	No
Q18PE1	DOK7	-2.659204080235	2.7721209072353603e-19	No	No
Q2T9K0	TMEM44	-1.43584366376437	0.0033311041269787	No	No
Q2Y0W8	SLC4A8	-2.16165574078713	0.0001754551963692	No	No
Q30154	HLA-DRB5	-2.20222553372335	1.81613741907197e-10	No	No
Q4G0X4	KCTD21	-1.26101569045955	4.7776288538957e-14	No	No
Q4LDG9	DNAL1	-1.32222055065987	2.2872374509231897e-16	No	No
Q5H9M0	PWWP3B	-2.12234871015658	2.24166445526665e-06	No	No
Q5JTD7	LRRC73	-1.32893469912344	0.0010427838049282	No	No
Q5MNZ9	WIPI1	-2.05268950749453	4.36263976159471e-36	No	No
Q5MY95	ENTPD8	-2.77763081364689	1.43735013492649e-11	No	No
Q5SZD1	C6orf141	-1.32461752394797	0.0001114643287106	No	No
Q5T2W1	PDZK1	-2.09715579364909	8.70406638884876e-37	No	No
Q5U649	C12orf60	-1.34855542768821	0.0018296211027232	No	No
Q5VUG0	SFMBT2	-1.22291332451058	1.32521337418862e-06	No	No
Q5VWC8	HACD4	-1.63122747177984	1.70588887424117e-10	No	No
Q5VYY1	ANKRD22	-1.25270024872649	5.60724002559137e-20	No	No
Q68CL5	TPGS2	-1.35776856379518	0.0074384339882428	No	No
Q6F5E8	CARMIL2	-2.17406636143364	2.3233099589590302e-14	No	No
Q6NT55	CYP4F22	-1.3971976464752	0.0016647646403008	No	No
Q6NZI2	CAVIN1	-1.62701445452638	5.30261896290418e-10	No	No
Q6P5Z2	PKN3	-1.15712900928389	9.45944725139293e-12	No	No
Q6PCE3	PGM2L1	-1.94028873674107	2.15486837249829e-17	No	No
Q6T4P5	PLPPR3	-1.59855920949667	5.784566137553391e-10	No	No
Q6UX71	PLXDC2	-1.64573156327415	3.4222911126305605e-15	No	No
Q6UXD7	SLC49A3	-1.53119378224566	1.48378275302202e-10	No	No
Q6UXK5	LRRN1	-1.11722503579849	0.0001626560849461	No	No
Q6YHK3	CD109	-1.6278867874337	1.0133369905321701e-09	No	No
Q6ZNC8	MBOAT1	-1.05064693490452	3.67576035768813e-16	No	No
Q6ZNL6	FGD5	-1.91456982536365	3.77983338047651e-13	No	No
Q6ZS11	RINL	-2.37029681214166	5.17192272256089e-06	No	No
Q71U36	TUBA1A	-1.33247332631835	9.03662895147538e-05	No	No
Q7L266	ASRGL1	-1.06119903135652	0.0020858628713734	No	No
Q7L311	ARMCX2	-3.05833866710526	3.60816486125195e-33	No	No
Q7L5N7	LPCAT2	-1.63200167659462	5.08377399398385e-29	No	No
Q7Z3B0	SMIM15	-2.93924044414048	5.82750397934929e-05	No	No
Q7Z3J2	VPS35L	-1.45571402148901	2.6860776661052097e-36	No	No
Q7Z7L1	SLFN11	-1.59491613376545	1.5405331370202702e-25	No	No
Q7Z7M9	GALNT5	-1.69378313049566	1.49673068432696e-08	No	No
Q86SQ0	PHLDB2	-1.6471510150808	4.69635725356007e-16	No	No
Q86TV6	TTC7B	-1.49319549321901	4.675083280493609e-11	No	No
Q86V88	MDP1	-1.33586468590383	4.63189655201221e-17	No	No
Q86WK9	PAQR7	-1.18412507460745	4.77008164143861e-05	No	No
Q86WN1	FCHSD1	-1.94021373701445	4.27258556956149e-23	No	No
Q86WV6	STING1	-3.4334140035841	5.59682207253594e-16	No	No
Q86YB8	ERO1B	-1.29093927680333	8.57179903115406e-27	No	No
Q8IVF2	AHNAK2	-3.56535346843196	4.1624113936901e-54	No	No
Q8IVT2	MISP	-2.0555359044893	2.64675758504855e-40	No	No
Q8IWZ6	BBS7	-1.17965554479913	4.86590719316286e-12	No	No
Q8IXK2	GALNT12	-1.70120571517582	0.0017710132473499	No	No
Q8IXL6	FAM20C	-1.06626418400831	1.72729149897161e-05	No	No
Q8IY21	DDX60	-1.49876916531327	5.63190159764276e-15	No	No
Q8IYM2	SLFN12	-1.3116125044501	8.33746316465812e-05	No	No
