Protein_Group	Genes	NF1_sg_1.1_2_Non Treated_vs_EV_Blast  _Non Treated_logFC	NF1_sg_1.1_2_Non Treated_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
Q8NFW9	MYRIP	-1.34007681299234	6.59577135293237e-05	No	No
Q8TAD7	OCC1	-1.77013826307566	4.00192258086402e-12	No	No
Q8TE58	ADAMTS15	-2.21093667230828	8.475981080889221e-21	No	No
Q8WWX9	SELENOM	-1.28285555448007	7.16780526911427e-18	No	No
Q8WX94	NLRP7	-1.47844001317322	0.0024912144476755	No	No
Q8WXE9	STON2	-1.38122068673419	3.91079647507415e-08	No	No
Q8WYQ3	CHCHD10	-1.00323615138486	0.0012166931861161	No	No
Q92478	CLEC2B	-2.38533511864721	5.86928816805314e-05	No	No
Q92633	LPAR1	-1.37130125935035	0.0003966610514321	No	No
Q92870	APBB2	-1.961785870785	1.70753289620524e-33	No	No
Q96A58	RERG	-1.16310415162871	8.0704119968766e-12	No	No
Q96AY3	FKBP10	-1.50836629147365	6.0775339316655995e-37	No	No
Q96D70	R3HDM4	-1.08915266928193	1.90900832290224e-05	No	No
Q96DX5	ASB9	-1.40592784729162	0.0022670783493811	No	No
Q96FL8	SLC47A1	-1.70521470188436	5.43990568178948e-08	No	No
Q96FZ5	CMTM7	-2.42604422251738	0.0021886535801839	No	No
Q96GV9	MACIR	-1.46491986760664	1.99409836613581e-13	No	No
Q96HM7	PCED1B	-1.14141972406003	8.46046427159381e-05	No	No
Q96J66	ABCC11	-1.32372423300276	1.42316506846452e-30	No	No
Q96L94	SNX22	-1.27407269329404	0.0019906295092366	No	No
Q96PD5	PGLYRP2	-2.86186689129089	1.14682469229314e-18	No	No
Q96PN7	TRERF1	-1.89685555891093	2.13565598138613e-13	No	No
Q96S53	TESK2	-1.6604142672935	4.0286456827641203e-19	No	No
Q99424	ACOX2	-1.07307402031563	1.58096629834693e-08	No	No
Q99704	DOK1	-2.4946679707848	0.0001524686499411	No	No
Q99835	SMO	-1.14992682331458	0.0034314700781626	No	No
Q9BRP7	FDXACB1	-1.0918622928115	0.0001468026405342	No	No
Q9BSW7	SYT17	-1.54016579551316	0.0004080324121238	No	No
Q9BX46	RBM24	-1.10180555055377	7.00008728544876e-20	No	No
Q9BY84	DUSP16	-1.71430299895408	3.40457997649584e-10	No	No
Q9BYG5	PARD6B	-1.53745628391017	6.45763556318714e-39	No	No
Q9BZF3	OSBPL6	-1.0870254914575	2.68177310052235e-10	No	No
Q9C0D0	PHACTR1	-2.69753197640036	6.4830387026900505e-46	No	No
Q9H3G5	CPVL	-2.8346712424806	4.02270824658627e-32	No	No
Q9H4F8	SMOC1	-1.26892630687989	0.0011461552615301	No	No
Q9H6L5	RETREG1	-1.51461734685845	6.21622244101776e-10	No	No
Q9H9H5	MAP6D1	-1.28830098547306	1.38056079784457e-24	No	No
Q9H9K5	ERVMER34-1	-1.73276726526333	4.26610586526736e-06	No	No
Q9H9R9	DBNDD1	-1.29939266712254	2.31240912263363e-07	No	No
Q9H9Z2	LIN28A	-1.23673296486371	5.18050871517781e-32	No	No
Q9HAN9	NMNAT1	-1.4674966640001	3.89343590304404e-15	No	No
Q9HBL0	TNS1	-1.89000670023542	1.00675469824868e-14	No	No
Q9HCK4	ROBO2	-3.57238114179035	6.17770532850612e-43	No	No
Q9HD67	MYO10	-1.4857588593493	4.37512574633524e-13	No	No
Q9NP50	SINHCAF	-1.16876526092836	2.37204676057798e-05	No	No
Q9NP59	SLC40A1	-2.44386788103242	1.8103408906186498e-26	No	No
Q9NPG1	FZD3	-1.05037395376742	6.03789390956316e-08	No	No
