Protein_Group	Genes	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
Q07654	TFF3	-1.48120743826854	7.30566377241984e-14	No	No
Q07954	LRP1	-1.4776917869703	2.07643909649614e-29	No	No
Q08495	DMTN	-2.05630304041668	1.0114867038141699e-12	No	No
Q0P5N6	ARL16	-1.66099225923856	0.0014794948451214	No	No
Q12805	EFEMP1	-1.37995219910323	4.30606484090081e-24	No	No
Q13009	TIAM1	-1.73462568446851	1.68384537924203e-13	No	No
Q13066	GAGE2C	-1.06142758880675	4.07670814587578e-07	No	No
Q13069;Q13070	GAGE5;GAGE6	-2.04317857633228	1.06072774564492e-10	No	No
Q13469	NFATC2	-2.91048205445565	1.39339849640799e-34	No	No
Q13636	RAB31	-2.35012919672963	2.13711746437159e-17	No	No
Q13671	RIN1	-1.86354140500327	1.2188663666530001e-21	No	No
Q14802	FXYD3	-1.45019747763541	5.450694446440881e-15	No	No
Q15742	NAB2	-1.04993410936907	4.92868956263488e-22	No	No
Q15746	MYLK	-1.1281126460904	0.0001148294463301	No	No
Q15847	ADIRF	-1.72838532223702	1.37400371092517e-06	No	No
Q16143	SNCB	-1.75521583223872	5.85032635039971e-08	No	No
Q16553	LY6E	-2.22639244883731	7.7967537351146e-15	No	No
Q16555	DPYSL2	-2.28856208946296	5.27691933030041e-37	No	No
Q16658	FSCN1	-1.38005112847735	4.77712432210861e-25	No	No
Q18PE1	DOK7	-2.90192204116192	9.5418565355355e-21	No	No
Q2M3G4	SHROOM1	-1.15851800619577	9.26377966450073e-06	No	No
Q30154	HLA-DRB5	-1.65817206751049	1.7970554975845e-07	No	No
Q3MIP1	ITPRIPL2	-1.65271268518313	9.300485410387591e-15	No	No
Q53FZ2	ACSM3	-2.28131685755434	8.78921884813446e-10	No	No
Q53GA4	PHLDA2	-1.14411428776817	2.80417944346866e-07	No	No
Q53GG5	PDLIM3	-1.19231059060218	0.0009559281864897	No	No
