Protein_Group	Genes	T47D_C_Non Treated_vs_T47D _Non Treated_logFC	T47D_C_Non Treated_vs_T47D _Non Treated_pval	Removed?	Contaminant?
Q8IVL6	P3H3	-1.27223975074171	1.3554364330781e-18	No	No
Q8IVS8	GLYCTK	-1.11040979429732	0.0028860471808528	No	No
Q8IWP9	CCDC28A	-1.07179823030258	3.00772605755776e-05	No	No
Q8IWU6	SULF1	-2.17011539568283	1.40442222140263e-05	No	No
Q8IXL7	MSRB3	-1.2326077068396	6.6675859260826796e-12	No	No
Q8IXU6	SLC35F2	-1.52351830952255	4.50767110100483e-16	No	No
Q8IZ13	ZBED8	-1.87660437347364	1.26920578119716e-05	No	No
Q8N114	SHISA5	-1.20376965235436	1.79237052455523e-06	No	No
Q8N142	ADSS1	-1.29787597600298	1.3908319090155e-15	No	No
Q8N3Y7	SDR16C5	-1.52674561580912	3.1275118359374e-23	No	No
Q8N957	ANKFN1	-1.466654033814	0.0016423010533946	No	No
Q8N9W5	DNAAF3	-1.12870660965469	3.63657754869185e-06	No	No
Q8NB16	MLKL	-1.17463327382732	2.3828645468663403e-20	No	No
Q8NBI5	SLC43A3	-1.22043265350019	4.61914696956845e-06	No	No
Q8NCC5	SLC37A3	-1.15101217507057	0.0018507967488717	No	No
Q8NEP3	DNAAF1	-2.15592650182516	2.49058286172116e-08	No	No
Q8NFR3	SPTSSB	-1.46642204974614	1.95352887337381e-07	No	No
Q8TCD5	NT5C	-1.1496142490801	1.730384202196e-20	No	No
Q8TD06	AGR3	-1.60225823063198	3.78697950992858e-29	No	No
Q8TD19	NEK9	-1.22315175461059	1.65046614768351e-30	No	No
Q8TDZ2	MICAL1	-1.81304496114108	2.84741225711567e-16	No	No
Q8TER5	ARHGEF40	-1.25590955073485	1.1634907504858101e-20	No	No
Q8WVC6	DCAKD	-1.33832450042868	9.94262856771888e-24	No	No
Q8WW22	DNAJA4	-1.28803120260893	2.1837537036078698e-29	No	No
Q8WW43	APH1B	-1.23850454162306	2.2832110992843402e-09	No	No
Q8WWY8	LIPH	-2.06747984300556	1.01543381272069e-15	No	No
Q8WWZ3	EDARADD	-1.65924066873993	6.84658985960302e-10	No	No
Q92478	CLEC2B	-4.01004432463505	2.0784585716074803e-09	No	No
Q92484	SMPDL3A	-1.02293531353185	2.96895514763532e-12	No	No
Q92817	EVPL	-1.0376580175442	4.62610830893886e-38	No	No
Q95460	MR1	-1.28077434803699	6.61891099973377e-08	No	No
Q969Q4	ARL11	-1.01725182858373	3.58683423087305e-05	No	No
Q96A19	CCDC102A	-1.02961131838011	1.6593537533021497e-11	No	No
Q96AP7	ESAM	-1.29485505400537	0.0076032320391771	No	No
Q96AY3	FKBP10	-2.41213530453655	4.70311328112467e-46	No	No
Q96AZ6	ISG20	-1.14634627932059	5.54862684334162e-05	No	No
Q96B21	TMEM45B	-1.0815740154792	8.85296257978714e-19	No	No
Q96BI1	SLC22A18	-1.06538183748264	1.23661792326909e-16	No	No
Q96C74	ROPN1L	-1.25170702783698	0.0011899174503942	No	No
Q96CM8	ACSF2	-1.07053988813748	8.73805904164567e-29	No	No
Q96DB2	HDAC11	-1.06147121653967	1.66763770591253e-22	No	No
Q96DR4	STARD4	-1.254946584046	0.0015252474402845	No	No
Q96DX5	ASB9	-2.59892488245052	3.21254183431194e-07	No	No
Q96EN8	MOCOS	-1.265238053291	5.72387670882952e-08	No	No
Q96EQ0	SGTB	-1.09669667912981	1.45869725980446e-13	No	No
Q96FE7	PIK3IP1	-1.14121016755364	0.0094840402741424	No	No
Q96FL8	SLC47A1	-1.7856644925909	1.89381270511265e-08	No	No
Q96FM1	PGAP3	-1.44285738137377	0.0001755064298991	No	No
Q96FN4	CPNE2	-1.29301027504823	1.4559739907941402e-09	No	No
Q96HH9	GRAMD2B	-1.08321268679812	1.04301962548559e-20	No	No
Q96J66	ABCC11	-1.66023263498806	7.36704103060216e-35	No	No
Q96JK9	MAML3	-1.89947646929532	0.0005145911469942	No	No
Q96K31	C8orf76	-1.22292782148118	0.0002354429897941	No	No
Q96M32	AK7	-1.94415890337074	1.26263545243409e-06	No	No
Q96MT1	RNF145	-1.1032678010672	2.99556047784437e-06	No	No
Q96QE2	SLC2A13	-1.34449867766891	4.78551945567654e-06	No	No
Q96R05	RBP7	-1.82115069118785	2.88958934459892e-19	No	No
Q96RU7	TRIB3	-1.38418541418473	2.91661112439211e-05	No	No
Q99424	ACOX2	-1.16319747980018	2.1967943713362102e-09	No	No
Q99735	MGST2	-1.15624499294728	7.770221547339631e-09	No	No
Q99959	PKP2	-1.14285370895593	3.87626859315012e-32	No	No
Q9BQG2	NUDT12	-1.2984084913585	1.3832852027018899e-28	No	No
Q9BRC7	PLCD4	-1.65878803200487	8.296045965569961e-15	No	No
Q9BSW7	SYT17	-1.32650698071868	0.0019615136406735	No	No
Q9BXC9	BBS2	-1.1631389506137	4.47331932083109e-13	No	No
