Protein_Group	Genes	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast  _Non Treated_logFC	PTEN_sg_1.1_6_Non Treated_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
Q6NT55	CYP4F22	-1.38360304201502	0.0018282399854278	No	No
Q6UWI4	SHISA2	-2.68893607091494	9.672444610769431e-19	No	No
Q6UWW8	CES3	-1.04763602286984	3.47358426794306e-10	No	No
Q6UX53	METTL7B	-2.88486427356583	5.4784960726471605e-21	No	No
Q6UX71	PLXDC2	-1.68392726434534	1.55285533315639e-15	No	No
Q6UXG2	ELAPOR1	-1.08941676442297	1.6823650175821701e-25	No	No
Q6UXI9	NPNT	-1.60424190714873	5.12653734910978e-08	No	No
Q6XZF7	DNMBP	-1.08270560260223	9.80025904728244e-05	No	No
Q6YHK3	CD109	-1.28955829112286	2.3880914679951e-07	No	No
Q6ZNL6	FGD5	-8.98833108658342	2.58081148759025e-40	No	No
Q76EJ3	SLC35D2	-1.20480121977576	0.0090024440613427	No	No
Q7L266	ASRGL1	-1.39908680769008	8.81151791831967e-05	No	No
Q7L5L3	GDPD3	-2.02043043850134	1.7838488863825198e-22	No	No
Q7L5N7	LPCAT2	-1.07110869906908	1.81705060019106e-21	No	No
Q7L9B9	EEPD1	-1.06670473131979	2.50217671317855e-09	No	No
Q7Z402	TMC7	-1.26473419384234	0.0013458861649557	No	No
Q7Z406	MYH14	-1.94820865567646	4.89291607286867e-41	No	No
Q7Z7M9	GALNT5	-1.0037598133298	0.0001838751123804	No	No
Q86SF2	GALNT7	-1.31690054025797	4.13456039701377e-40	No	No
Q86SJ2	AMIGO2	-1.10280921854392	6.28376682501813e-05	No	No
Q86SQ0	PHLDB2	-1.20084384846123	1.3167053145337099e-11	No	No
Q86UK0	ABCA12	-3.72464064216179	1.2465253389911901e-35	No	No
Q86UX6	STK32C	-1.90323511725998	3.87761072893545e-18	No	No
Q86V21	AACS	-1.10208523549947	3.27861387425096e-27	No	No
Q86VR7	VSIG10L	-1.72476415125836	1.46609235798482e-35	No	No
Q86WV6	STING1	-2.05967202697741	3.0643256737640604e-09	No	No
Q8IUX4	APOBEC3F	-1.72255154828779	1.97796905175471e-14	No	No
Q8IVF2	AHNAK2	-2.2165756462259	8.64776164000129e-45	No	No
Q8IVI9	NOSTRIN	-1.02482541612478	0.0003175408763897	No	No
Q8IVT2	MISP	-2.76878933680742	4.1990474070260305e-46	No	No
Q8IXK2	GALNT12	-2.33958092765559	3.74896048670506e-05	No	No
Q8IXL7	MSRB3	-1.00006943468995	2.1582736546816902e-09	No	No
Q8IXM2	BAP18	-1.0698747746877	1.83325624751824e-20	No	No
Q8IXU6	SLC35F2	-1.03721476161095	9.069010649117069e-11	No	No
Q8IY82	DRC7	-2.91048659468102	2.7384099914262103e-15	No	No
Q8IZV2	CMTM8	-2.13085260504018	2.82102786051403e-17	No	No
Q8N283	ANKRD35	-2.89836668272227	3.31127004590239e-06	No	No
Q8N3Y7	SDR16C5	-2.14027797126979	2.33666683946181e-29	No	No
Q8N4W6	DNAJC22	-1.37465493645784	7.11949481282833e-10	No	No
Q8N8E3	CEP112	-1.41851103259841	0.0003357754650685	No	No
Q8NA23	WDR31	-1.13344187851126	0.0021592665500141	No	No
Q8NBI5	SLC43A3	-2.44505607266979	1.25427874890393e-13	No	No
Q8NET8	TRPV3	-1.37515745273236	4.03762443530386e-16	No	No
Q8NFW9	MYRIP	-1.60847304755377	3.57665183207474e-06	No	No
Q8TAD7	OCC1	-1.11081465596892	5.0201650847196e-07	No	No
Q8TB45	DEPTOR	-1.57510739652687	4.30402165872176e-29	No	No
Q8TD06	AGR3	-1.26981877462235	6.701144857925411e-25	No	No
Q8TDN7	ACER1	-1.73195820676155	4.63995867839012e-08	No	No
Q8TDZ2	MICAL1	-1.26163492561713	3.37392815517887e-11	No	No
Q8TE58	ADAMTS15	-2.23218234292221	5.8284322717928e-21	No	No
Q8WUA8	TSKU	-1.42664968047738	9.112186673362981e-10	No	No
Q8WVV4	POF1B	-2.37843912308059	6.52301825678559e-22	No	No
Q8WWA1	TMEM40	-2.57928445785469	7.06167671223316e-33	No	No
Q8WWZ3	EDARADD	-1.46602655928019	1.51110299523883e-08	No	No
Q8WXF7	ATL1	-2.66543280532849	6.69785122287275e-07	No	No
Q92537	SUSD6	-1.13459135155383	1.19327210739388e-05	No	No
Q92633	LPAR1	-1.17504733982842	0.0020117861076419	No	No
Q92729	PTPRU	-2.55073071382006	1.3750095119699299e-11	No	No
Q92870	APBB2	-1.12234914215958	3.21510131323076e-23	No	No
Q969Q4	ARL11	-1.60272082207003	4.54982868429688e-09	No	No
Q969X0	RILPL2	-1.52044169473112	6.244453291372141e-14	No	No
Q96A58	RERG	-2.12816183378912	5.3779071089043805e-21	No	No
Q96AY3	FKBP10	-1.49032121992725	1.03504621486643e-36	No	No
Q96C19	EFHD2	-1.0866765646065	1.37958004048685e-25	No	No
Q96EG1	ARSG	-1.16998343106465	1.92082607325916e-08	No	No
Q96FL8	SLC47A1	-1.42231790691953	2.19034800547467e-06	No	No
Q96FX8	PERP	-1.80106702984894	0.0010877961718319	No	No
Q96FZ5	CMTM7	-2.55208427115424	0.0013459309607281	No	No
Q96J84	KIRREL1	-1.19372149224238	1.6102298811981502e-17	No	No
Q96JK9	MAML3	-1.63367746820819	0.0023945032882464	No	No
Q96M32	AK7	-1.16262664363317	0.0016927025326187	No	No
Q96MT1	RNF145	-1.18221619834585	8.18527218396563e-07	No	No
Q96MY1	NOL4L	-1.64803331504677	3.25098079802305e-13	No	No
Q96P15	SERPINB11	-1.03004126887178	0.0037608071604978	No	No
Q96PY5	FMNL2	-1.13875181608652	1.70155552335099e-07	No	No
Q99685	MGLL	-1.77540573113208	1.9316988170994302e-23	No	No
Q99708	RBBP8	-1.63044964955718	4.05675891609405e-23	No	No
Q99856	ARID3A	-1.18873992139482	8.22047425859383e-17	No	No
Q99990	VGLL1	-2.06870062024939	2.10931174792033e-05	No	No
Q9BPZ2	SPIN2B	-1.20047576972624	2.0194914253712e-08	No	No
Q9BRK3	MXRA8	-3.36448132518049	4.79624805530543e-32	No	No
Q9BSK0	MARVELD1	-1.75032999728135	2.30604620689018e-08	No	No
Q9BX66	SORBS1	-1.26679505731085	3.01317736225575e-16	No	No
Q9BXI9	C1QTNF6	-2.63970800457042	1.68754875054259e-17	No	No
Q9BY67	CADM1	-1.55592901634318	2.42910275970714e-32	No	No
Q9BYK8	HELZ2	-1.14474545265761	6.729070111673159e-26	No	No
Q9C035	TRIM5	-1.25430110316186	9.037811455972341e-20	No	No
Q9H098	FAM107B	-1.09773188176465	7.63657797314038e-12	No	No
Q9H0Z9	RBM38	-1.08071919940204	0.0002514821928906	No	No
Q9H3G5	CPVL	-4.35162660250836	2.46597604799856e-40	No	No
Q9H3M7	TXNIP	-1.85370346848731	2.7767136874626004e-16	No	No
Q9H4F1	ST6GALNAC4	-1.23030617092645	7.52913705382729e-05	No	No
Q9H4G0	EPB41L1	-1.37620762883354	1.44760034615505e-41	No	No
Q9H4G4	GLIPR2	-1.26145804685577	5.26214064409741e-12	No	No
Q9H902	REEP1	-1.43162541261696	0.0016405071256997	No	No
Q9HB15	KCNK12	-1.21867795973036	0.0074204315805688	No	No
Q9HBL0	TNS1	-2.07912996867732	3.74628174860499e-16	No	No
Q9HCY8	S100A14	-1.32851314308165	0.0031012112723594	No	No
Q9NP50	SINHCAF	-1.23809530971136	9.39104488216067e-06	No	No
Q9NQ36	SCUBE2	-3.21326241245873	4.69020659944066e-31	No	No
Q9NRJ5	PAPOLB	-1.28936413784596	0.0028729452491622	No	No
Q9NUC0	SERTAD4	-1.06831164872554	1.08532590853113e-06	No	No
Q9NUU6	OTULINL	-1.06418021902558	4.95732069786397e-10	No	No
Q9NVH6	TMLHE	-1.13187573694782	1.13413395821356e-14	No	No
Q9NW97	TMEM51	-1.06030128401135	0.0004547209468302	No	No
Q9NXL6	SIDT1	-1.26181629562239	2.1798811326239798e-22	No	No
Q9NYA1	SPHK1	-1.07107257644952	1.9638286385211e-06	No	No
Q9NZU0	FLRT3	-1.59362926661065	3.18340847354145e-07	No	No
Q9P291	ARMCX1	-2.04117377973292	1.52156943851635e-17	No	No
Q9P2F8	SIPA1L2	-1.65825067750636	5.6282963064054e-10	No	No
Q9UBN1	CACNG4	-1.15963490054229	1.82154621733529e-07	No	No
Q9UDV7	ZNF282	-4.31268659574461	5.770659486748751e-25	No	No
Q9UEW8	STK39	-1.38722775221264	1.9569461425307698e-22	No	No
Q9UGT4	SUSD2	-1.94820847511723	5.20881767960444e-23	No	No
Q9UH03	SEPTIN3	-1.03633236971141	4.21488539373503e-17	No	No
Q9UHF1	EGFL7	-1.68464094872208	1.17946570274201e-06	No	No
Q9UHN6	CEMIP2	-1.06521664360866	1.25721157847791e-24	No	No
Q9UJY1	HSPB8	-2.48594408184877	9.031980944748549e-28	No	No
Q9UKW4	VAV3	-1.48824406006807	7.13994846630685e-30	No	No
