Protein_Group	Genes	PTEN_sg_1.1_3_250nM Palbo_vs_PTEN_sg_1.1_3_Non Treated_logFC	PTEN_sg_1.1_3_250nM Palbo_vs_PTEN_sg_1.1_3_Non Treated_pval	Removed?	Contaminant?
Q5XXA6	ANO1	-1.38220711781187	3.01083607894177e-08	No	No
Q6PL18	ATAD2	-1.12115075024222	8.098083088710179e-28	No	No
Q6UWI4	SHISA2	-1.10352469092697	3.27453760638939e-07	No	No
Q6V1P9	DCHS2	-1.8984306149734	0.0034717558827351	No	No
Q6ZNG1	ZNF600	-1.34029745523601	0.0070612124620164	No	No
Q7L590	MCM10	-1.02498882681986	0.000714982839438	No	No
Q7Z7A3	CTU1	-1.00534728142203	1.81405365558136e-18	No	No
Q86XK3	SFR1	-1.58244517767496	7.49072274304581e-08	No	No
Q8IYW5	RNF168	-1.32615882472823	1.4834751853109302e-15	No	No
Q8NAB2	KBTBD3	-1.96796951278626	0.0007375773620978	No	No
Q8NG08	HELB	-1.00932259875706	0.0021524375324801	No	No
Q8TAT5	NEIL3	-1.20132173230019	0.0010157737155372	No	No
Q8TCN5	ZNF507	-1.10183984728925	0.0003341115347767	No	No
Q8WUU4	ZNF296	-1.43033485794548	0.0017699558752444	No	No
Q92522	H1-10	-1.03073655474315	3.73477688514648e-16	No	No
Q92837	FRAT1	-1.16128304449735	0.0097406085539442	No	No
Q96FF9	CDCA5	-1.24560090388482	8.192975747876261e-14	No	No
Q96GN5	CDCA7L	-1.19461115997852	3.05287696593822e-08	No	No
Q96I82	KAZALD1	-1.50833108669098	0.0070985603496503	No	No
Q96KB5	PBK	-1.13958566446582	4.45131824260067e-21	No	No
Q96MW7	TIGD1	-1.55380368520482	0.0003192070168623	No	No
Q96N20	ZNF75A	-1.19623794419264	0.0040108627053531	No	No
Q96S99	PLEKHF1	-1.15709210498696	3.38213857383996e-07	No	No
Q96T88	UHRF1	-1.04064355704489	1.12800920653359e-24	No	No
Q9BQI6	SLF1	-1.46608312279968	4.86044805574886e-05	No	No
Q9BW71	HIRIP3	-1.02131641750485	6.054878429956269e-22	No	No
Q9BWK5	CYREN	-1.06972188510265	5.69749736734584e-06	No	No
Q9BWT6	MND1	-1.32826253571581	0.0002477657168642	No	No
Q9BXS6	NUSAP1	-1.03177169100453	1.89746813043998e-16	No	No
Q9H211	CDT1	-1.29800218698885	1.51813351522538e-16	No	No
Q9H967	WDR76	-1.37257915059942	1.5881551232908001e-21	No	No
Q9H9A7	RMI1	-1.01245269472508	3.80004266449764e-10	No	No
Q9HB96	FANCE	-1.34161733274806	1.19626956365223e-06	No	No
Q9NPA3	MID1IP1	-1.07088164596287	1.29043875917263e-13	No	No
Q9NPD8	UBE2T	-1.32427338497842	1.14665865187486e-21	No	No
Q9NRZ9	HELLS	-1.25551761683149	4.52501940732823e-24	No	No
Q9NXG0	CNTLN	-1.69757776616834	1.1601960419862e-10	No	No
Q9NYG5	ANAPC11	-1.08255669035391	7.48659758253272e-06	No	No
Q9P021	CRIPT	-1.05536399159086	4.7589776581273e-08	No	No
Q9P2W1	PSMC3IP	-1.24847030407917	3.20203607304725e-06	No	No
Q9UIL1	SCOC	-1.16950799649421	0.0016779225224917	No	No
Q9UK05	GDF2	-1.56711981001232	0.0006859816500652	No	No
Q9UKT4	FBXO5	-1.27131598665502	4.96877059979228e-08	No	No
Q9UPY5	SLC7A11	-1.43065086321964	0.0024661952163503	No	No
Q9UQ84	EXO1	-1.21397506476566	1.62974022925284e-07	No	No
Q9Y330	ZBTB12	-1.60830825429154	2.14525027071197e-05	No	No
Q9Y5T4	DNAJC15	-1.13400277882582	6.608766149123509e-11	No	No
