Protein_Group	Genes	EV_Blast__250nM Palbo_set2_vs_EV_Blast__Non Treated_set2_logFC	EV_Blast__250nM Palbo_set2_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
P33991	MCM4	-1.23760799145897	3.51952427691725e-43	No	No
P33992	MCM5	-1.04831499081601	3.00554667542054e-38	No	No
P33993	MCM7	-1.15118372520552	1.76464537206682e-36	No	No
P35219	CA8	-1.06224428316075	9.78363753780779e-20	No	No
P35250	RFC2	-1.05193469659508	2.3062609276391197e-40	No	No
P35452	HOXD12	-3.53981895465163	2.92501970850788e-05	No	No
P35544	FAU	-1.20950670233086	0.0001216179233482	No	No
P36383	GJC1	-1.34428449024751	0.0055072696148814	No	No
P38398	BRCA1	-1.69630860265502	3.75389646451589e-26	No	No
P39748	FEN1	-1.2911982034632	1.03621935669683e-41	No	No
P40426	PBX3	-1.21896783113903	0.0017144835026272	No	No
P41002	CCNF	-2.33263465830412	1.34997202317667e-09	No	No
P42166	TMPO	-1.35158056030208	1.5411645272581699e-40	No	No
P42575	CASP2	-1.45484283440898	1.2950242342573801e-25	No	No
P42695	NCAPD3	-1.86832495279699	5.26436188649215e-39	No	No
P42773	CDKN2C	-1.06861690516755	1.46307560027823e-13	No	No
P43007	SLC1A4	-1.17966310689674	2.79956631203268e-27	No	No
P46013	MKI67	-3.38304484242183	9.378649236150071e-47	No	No
P49005	POLD2	-1.16720915963299	3.82400205338754e-34	No	No
P49454	CENPF	-2.97875894714406	1.6075743071863298e-42	No	No
P49638	TTPA	-1.71179374245676	3.44793595988354e-07	No	No
P49642	PRIM1	-2.01400610599082	9.703306647159219e-42	No	No
P49643	PRIM2	-1.61397984261112	2.1560721850263698e-34	No	No
P49736	MCM2	-1.2092728332688	7.45688955448193e-38	No	No
P50219	MNX1	-1.3554882396852	1.28537099466355e-10	No	No
P51530	DNA2	-2.09877221993558	1.1942491150119402e-19	No	No
P51587	BRCA2	-1.15661740311531	2.16783167270064e-10	No	No
P51955	NEK2	-2.53350273866363	4.75478589070351e-18	No	No
P52292	KPNA2	-1.11884122233966	3.49296250387336e-31	No	No
P52701	MSH6	-1.11653070449028	1.66229015494856e-35	No	No
P52732	KIF11	-2.76206338489323	3.1885982569357e-45	No	No
P52823	STC1	-1.38654073357162	0.0006673849514589	No	No
P53350	PLK1	-3.06206445918179	1.08622508032604e-41	No	No
P54132	BLM	-2.1007339679087	2.2277650818916802e-24	No	No
P56270	MAZ	-1.43931094662661	1.53098001394159e-16	No	No
P56282	POLE2	-1.79839474511567	2.5069837448598998e-23	No	No
P57073	SOX8	-1.21542939099343	3.32719946296152e-05	No	No
P59796	GPX6	-2.49627761794797	3.04124034449912e-12	No	No
P61024	CKS1B	-2.13902297157088	1.64308377611607e-20	No	No
P78415	IRX3	-1.10176061031056	9.052520204261539e-13	No	No
P78549	NTHL1	-1.87496392396844	2.15201862428896e-19	No	No
P81274	GPSM2	-1.01848777613512	2.55060196405199e-06	No	No
Q01664	TFAP4	-2.50476632245781	3.49800930971837e-10	No	No
Q01740	FMO1	-1.41982600596372	0.0001165700613379	No	No
Q02224	CENPE	-2.48693561662764	5.91159269934381e-23	No	No
Q02241	KIF23	-2.44194832196752	1.02138616410069e-41	No	No
