Protein_Group	Genes	TP53_sg_1.2_3_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	TP53_sg_1.2_3_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
O95994	AGR2	-1.48345982480516	3.38481496008397e-34	No	No
P00326	ADH1C	-2.12433094233719	0.0078675600911885	No	No
P00973	OAS1	-1.65566476279481	1.73400081367409e-06	No	No
P01033	TIMP1	-1.06905189620524	3.1236562647578e-05	No	No
P01920	HLA-DQB1	-4.27860817286691	1.5930381066184499e-18	No	No
P02649	APOE	-1.80601892116073	5.02104721723382e-41	No	No
P02751	FN1	-1.10495599154888	0.0001080246609351	No	No
P04155	TFF1	-1.67525009585386	2.89962132560004e-07	No	No
P04233	CD74	-2.52483809210891	4.9533916847690903e-17	No	No
P04637	TP53	-5.04261440962637	1.91986140654046e-48	No	No
P04798	CYP1A1	-1.49470530579227	0.0001951346266559	No	No
P06276	BCHE	-2.81548812665095	1.0222097211324201e-09	No	No
P06401	PGR	-1.0042386626442	1.81462072259757e-25	No	No
P07948	LYN	-2.38884146990027	4.50675971874137e-29	No	No
P08648	ITGA5	-2.00776259286763	2.46141624665455e-29	No	No
P09668	CTSH	-2.86816453979724	7.97495504960558e-41	No	No
P09914	IFIT1	-1.03388156710127	6.511501358953331e-09	No	No
P0DOY2;P0DOY3	IGLC2;IGLC3	-3.82207863222163	1.0129571481919298e-11	No	No
P0DPF2	NBPF20	-1.32154051945125	0.0001298119375536	No	No
P11532	DMD	-1.34929099988882	9.54084103642251e-07	No	No
P12109	COL6A1	-2.35393696448048	6.60697096002081e-12	No	No
P12273	PIP	-1.31264846481298	3.21953204784274e-17	No	No
P14543	NID1	-1.65057987711499	5.83264796696116e-05	No	No
P15391	CD19	-1.18888791377399	0.0042694751404243	No	No
P15514	AREG	-2.51294069611033	9.04454549549693e-08	No	No
P16070	CD44	-2.1673886690655	8.58079225899146e-20	No	No
P16219	ACADS	-1.85607023930941	3.9796221738077203e-25	No	No
