Protein_Group	Genes	cMyc_OE_5_Non Treated_vs_EV_Blast  _Non Treated_logFC	cMyc_OE_5_Non Treated_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
P78380	OLR1	-1.59906319261897	9.09145547580495e-08	No	No
P78559	MAP1A	-2.13317256700159	8.860376569428609e-30	No	No
P80217	IFI35	-1.08328054786632	3.03712168834677e-20	No	No
P84157	MXRA7	-1.23255872491344	3.5977354995569996e-13	No	No
P98082	DAB2	-1.30262244789775	4.20568306928768e-07	No	No
P98160	HSPG2	-1.10425634019184	2.61599457948891e-10	No	No
Q00534	CDK6	-1.89780226130658	1.25782375024295e-17	No	No
Q01628	IFITM3	-2.03505814666085	1.09543622427839e-12	No	No
Q02318	CYP27A1	-2.68119527225709	2.05137719466344e-11	No	No
Q05682	CALD1	-1.02602838326782	4.97051060204407e-21	No	No
Q07654	TFF3	-2.71512802680757	1.20287793830145e-23	No	No
Q07954	LRP1	-2.11814673111284	3.2003216257119004e-36	No	No
Q08380	LGALS3BP	-2.82399593923797	1.15751870416082e-39	No	No
Q08426	EHHADH	-1.04174882967428	2.37317781240732e-32	No	No
Q08495	DMTN	-1.46073723949175	1.23771537389511e-08	No	No
Q08AF3	SLFN5	-2.63668754451102	1.9090821019423297e-42	No	No
Q0IIM8	TBC1D8B	-1.09910635412654	1.27430717695293e-09	No	No
Q10587	TEF	-1.27362014419619	4.04075644460009e-05	No	No
Q12805	EFEMP1	-2.76707489841146	4.60820329809369e-37	No	No
Q12834	CDC20	-1.28655266840391	2.83368502366727e-16	No	No
Q12841	FSTL1	-2.13606798259618	3.34504079991581e-22	No	No
Q13287	NMI	-1.15697297367542	5.20005007226217e-20	No	No
Q13393	PLD1	-1.29011866860769	1.33674523796427e-28	No	No
Q13423	NNT	-1.65043923131012	1.17676050393705e-37	No	No
Q13636	RAB31	-1.33081316266975	1.3060243075785102e-09	No	No
Q14055	COL9A2	-1.03731396063115	6.44379555829054e-08	No	No
Q14142	TRIM14	-1.34728538180002	6.0458445324211e-09	No	No
Q14192	FHL2	-1.54954387491517	3.1432669826712697e-30	No	No
Q14249	ENDOG	-1.068589985999	1.91119493705033e-24	No	No
Q14934	NFATC4	-1.1143246264679	4.37604365760323e-09	No	No
Q14956	GPNMB	-1.01700043506163	1.7617486116614e-05	No	No
Q14D04	VEPH1	-1.41608129657369	9.00125275186092e-32	No	No
Q15004	PCLAF	-1.33028566459686	6.01622011963082e-13	No	No
Q15041	ARL6IP1	-2.11168464767541	7.52811576337524e-20	No	No
Q16270	IGFBP7	-1.66128048194529	3.758994641122e-07	No	No
Q16553	LY6E	-1.34581500893917	1.63090938872669e-08	No	No
Q16555	DPYSL2	-1.06750613820173	7.36919842871531e-23	No	No
Q16678	CYP1B1	-2.08234504552126	1.60727476379444e-20	No	No
Q18PE1	DOK7	-1.78418255106538	3.38933643073635e-13	No	No
Q30154	HLA-DRB5	-1.96307134923863	3.68212791896812e-09	No	No
Q3KR16	PLEKHG6	-1.33445810558713	1.46154471876778e-06	No	No
Q4G0X4	KCTD21	-1.12925972382015	1.6053134870739498e-12	No	No
Q4LDG9	DNAL1	-1.07025700994585	2.8647222600067797e-13	No	No
Q53FV1	ORMDL2	-1.0121926528378	1.5645361785068e-13	No	No
Q5EG05	CARD16	-1.20750902878397	1.54559466494819e-07	No	No
Q5FWF4	ZRANB3	-1.17699258291616	2.0378314478846802e-09	No	No
Q5H9M0	PWWP3B	-1.55604510788099	0.0002547273252269	No	No
Q5MNZ9	WIPI1	-1.29422558129489	2.06954154379585e-27	No	No
Q5MY95	ENTPD8	-1.25622963668546	0.0002039727762762	No	No
Q5T2W1	PDZK1	-1.71073646053141	6.70935577673552e-33	No	No
Q5T4B2	CERCAM	-1.44622410684423	3.49869911043121e-25	No	No
Q5U649	C12orf60	-1.14673274298461	0.0071858802939368	No	No
Q5VTJ3	KLHDC7A	-1.04768964829934	1.61459616096325e-21	No	No
Q5VUG0	SFMBT2	-1.27865168138706	5.56748281086925e-07	No	No
Q5VWC8	HACD4	-1.68687897112489	6.70459247832276e-11	No	No
Q5VYY1	ANKRD22	-1.24153512942443	7.91493623690804e-20	No	No
Q5W0B1	OBI1	-1.10686532571112	4.12183681637299e-07	No	No
Q641Q3	METRNL	-1.15457763338579	5.36929279745554e-06	No	No
Q68BL7	OLFML2A	-1.02927275897254	0.000183118399849	No	No
Q68CL5	TPGS2	-1.50528266535645	0.0032590624382841	No	No
Q6F5E8	CARMIL2	-1.72836569466919	2.91586576974624e-11	No	No
Q6NUT2	DPY19L2	-1.07220939331135	0.0018304921362469	No	No
Q6NZI2	CAVIN1	-2.84270720070114	8.95057754793721e-18	No	No
Q6PCE3	PGM2L1	-1.45314333448541	4.20319420358571e-13	No	No
Q6PEV8	FAM199X	-1.33795370835438	0.0001895620169503	No	No
Q6UWH4	GASK1B	-1.27360805652641	0.0015196060876591	No	No
Q6UWV6	ENPP7	-1.10107794384457	2.12336573950416e-08	No	No
Q6UXD7	SLC49A3	-1.49387279080467	2.91185078149323e-10	No	No
Q6UXI9	NPNT	-1.06134438776594	8.65680868396361e-05	No	No
Q6UXK5	LRRN1	-1.80424029464528	3.32945450973835e-08	No	No
Q6ZNL6	FGD5	-2.21705222971122	2.97341893772261e-15	No	No
Q6ZS17	RIPOR1	-1.00585364978542	1.5072778094801701e-24	No	No
Q6ZTW0	TPGS1	-1.04768075730473	2.09515743022618e-05	No	No
Q7L311	ARMCX2	-3.33278053509917	8.35720331493821e-35	No	No
Q7L5N7	LPCAT2	-2.00337843729397	7.247929365911419e-33	No	No
Q7Z3J2	VPS35L	-1.17198493664099	3.60887144093854e-32	No	No
Q7Z4H8	POGLUT3	-1.0113024861944	8.41241236284074e-30	No	No
Q7Z7L1	SLFN11	-1.87180979575532	1.83150323938909e-28	No	No
Q86WK9	PAQR7	-1.2900692480818	1.27063318163856e-05	No	No
Q86WN1	FCHSD1	-1.72764774496896	4.36743278077326e-21	No	No
Q86WV6	STING1	-2.62734822290379	3.6037284668000996e-12	No	No
Q86Y38	XYLT1	-1.41876507740857	3.16593778332595e-05	No	No
Q86YI8	PHF13	-1.22166312733781	0.000127976462014	No	No
Q8IVF2	AHNAK2	-3.23739120868938	3.2823115088780703e-52	No	No
Q8IVT2	MISP	-2.31278612315192	1.3586263862893e-42	No	No
Q8IWU6	SULF1	-1.20243808205764	0.009796366322168	No	No
Q8IWZ6	BBS7	-1.048930248662	1.44088515403948e-10	No	No
Q8IX29	FBXO16	-1.08115141141067	0.0001411273573069	No	No
Q8IXK2	GALNT12	-2.13342164624741	0.0001369631118132	No	No
Q8IXL6	FAM20C	-1.45975677539034	4.13265286124042e-08	No	No
Q8IYT4	KATNAL2	-1.37041665100644	0.0025373887051069	No	No
Q8IYT8	ULK2	-1.4332225302913	0.0001646251914092	No	No
Q8IZW8	TNS4	-1.0412557082068	6.24706766359373e-19	No	No
Q8N0T1	RBIS	-1.39110733639592	1.37891020979416e-21	No	No
Q8N118	CYP4X1	-4.49136235541933	7.37753512707263e-53	No	No
Q8N2H9	PELI3	-2.22624731397218	7.64409143990349e-10	No	No
Q8N370	SLC43A2	-1.1788219817421	7.13697761326288e-07	No	No
Q8N398	VWA5B2	-3.28558923144638	7.48187834212692e-22	No	No
Q8N3S3	PHTF2	-1.06593777184526	9.39101435062424e-09	No	No
Q8N3Y7	SDR16C5	-1.05704776514908	4.43609995627551e-17	No	No
