,parent,parentTerm,term,ES,NES,fdr,Gene %,Genes,description
71,GO:0090335,regulation of brown fat cell differentiation,GO:0090335,0.8026472464855364,1.68543818211374,0.7122696104825859,14.49%,METRNL;NAPEPLD;PTGS2;SIX1;SIRT1;RREB1;TFE3,GO_Biological_Process_2023__Regulation Of Brown Fat Cell Differentiation (GO:0090335)
72,GO:0032986,protein-DNA complex disassembly,GO:0032986,0.6373478093546524,1.4019590548608758,0.7142728640551752,15.40%,MYC;SET;GRWD1,GO_Biological_Process_2023__protein-DNA Complex Disassembly (GO:0032986)
73,GO:0032785,"negative regulation of DNA-templated transcription, elongation",GO:0032785,0.6704093596002193,1.5095848308973658,0.7147786320723148,27.17%,SIRT6;RNF8;NELFA;ZC3H4;SUPT4H1;HEXIM1;NELFE;TCERG1;NELFCD;RECQL5;NELFB;PARP1,"GO_Biological_Process_2023__Negative Regulation Of DNA-templated Transcription, Elongation (GO:0032785)"
74,GO:0046686,response to cadmium ion,GO:0046686,0.7392460173009895,1.5026629064389547,0.7176002093602966,5.52%,FOS;JUN,GO_Biological_Process_2023__Response To Cadmium Ion (GO:0046686)
75,GO:1903321,negative regulation of protein modification by small protein conjugation or removal,GO:1903321,0.5415535916822211,1.4534987257493666,0.717731741786952,5.79%,SPRY2;PER2;TNFAIP3;SH3RF2;SOX4;SQSTM1;CRY1,GO_Biological_Process_2023__Negative Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903321)
76,GO:0051492,regulation of stress fiber assembly,GO:0051492,0.5020786812056268,1.4020198724680697,0.7179966420869044,5.72%,PPM1E;PFN1;LIMCH1;SLC9A1;TGFB3;CCN2,GO_Biological_Process_2023__Regulation Of Stress Fiber Assembly (GO:0051492)
77,GO:0072337,modified amino acid transport,GO:0072337,0.6594469588469303,1.4610193166527672,0.7190616567825073,19.32%,SLC16A9;SLC7A2;SLC7A1;SLC19A1;SLC5A6;SLC7A6;SLC1A4,GO_Biological_Process_2023__Modified Amino Acid Transport (GO:0072337)
78,GO:0060211,regulation of nuclear-transcribed mRNA poly(A) tail shortening,GO:0060211,0.659908478047582,1.3561097970350908,0.7198766127623883,1.98%,TNRC6C,GO_Biological_Process_2023__Regulation Of Nuclear-Transcribed mRNA poly(A) Tail Shortening (GO:0060211)
79,GO:0035331,negative regulation of hippo signaling,GO:0035331,0.8112164099015529,1.6560992586730037,0.7205415949776951,3.31%,WWC3;VGLL4;WWC1,GO_Biological_Process_2023__Negative Regulation Of Hippo Signaling (GO:0035331)
80,GO:0050868,negative regulation of T cell activation,GO:0050868,0.70226549080365,1.4793173184010016,0.7217610845722628,20.84%,TNFRSF21;ILDR2;PDCD1LG2;SDC4;PAG1;CD274;CEBPB;GPNMB,GO_Biological_Process_2023__Negative Regulation Of T Cell Activation (GO:0050868)
81,GO:0043491,phosphatidylinositol 3-kinase/protein kinase B signal transduction,GO:0043491,0.6280417832123742,1.3525640520461857,0.7227838430453033,5.60%,NKX3-1;CCL2;TYRO3;KDR,GO_Biological_Process_2023__Protein Kinase B Signaling (GO:0043491)
82,GO:0070830,bicellular tight junction assembly,GO:0070830,0.6138886577326742,1.3561515485200475,0.7228987574410664,0.16%,POF1B,GO_Biological_Process_2023__Bicellular Tight Junction Assembly (GO:0070830)
83,GO:0001890,placenta development,GO:0001890,0.6640003856633103,1.3514369699529214,0.7237251850330748,7.42%,E2F8;E2F7;PHLDA2,GO_Biological_Process_2023__Placenta Development (GO:0001890)
84,GO:0070131,positive regulation of mitochondrial translation,GO:0070131,0.660310860395047,1.3933780512225995,0.7242381152736596,0.86%,NGRN,GO_Biological_Process_2023__Positive Regulation Of Mitochondrial Translation (GO:0070131)
85,GO:0000470,maturation of LSU-rRNA,GO:0000470,0.5876975114143339,1.361037417553447,0.7242915966183487,38.76%,ZNHIT6;ZNHIT3;URB1;NEDD4;NIFK;PES1;RPF2;RRP15;EIF6;MAK16;DDX18;RPL7L1;NSA2;NOP2;RPL7;WDR12,GO_Biological_Process_2023__Maturation Of LSU-rRNA (GO:0000470)
86,GO:0000302,response to reactive oxygen species,GO:0000302,0.4948712727773988,1.345756354484823,0.7251430933487526,9.69%,FOS;CAMKK2;APOE;GPX1;HBB;SQSTM1;JUN;MPV17;ERCC6L2;HMOX1,GO_Biological_Process_2023__Response To Reactive Oxygen Species (GO:0000302)
87,GO:0099601,regulation of neurotransmitter receptor activity,GO:0099601,0.6915031124413799,1.4620178956691234,0.7260083581313332,0.02%,NPTXR,GO_Biological_Process_2023__Regulation Of Neurotransmitter Receptor Activity (GO:0099601)
88,GO:0008156,negative regulation of DNA replication,GO:0008156,0.6841666557588103,1.3938672894671258,0.726488110814366,12.96%,GMNN;S100A11;TSPYL2,GO_Biological_Process_2023__Negative Regulation Of DNA Replication (GO:0008156)
89,GO:0045922,negative regulation of fatty acid metabolic process,GO:0045922,0.6152566118883499,1.3309884688768594,0.726597896188894,0.21%,APOC3,GO_Biological_Process_2023__Negative Regulation Of Fatty Acid Metabolic Process (GO:0045922)
90,GO:0055075,potassium ion homeostasis,GO:0055075,0.6897567816000161,1.38562317060234,0.7274645725124228,1.38%,KCNJ2,GO_Biological_Process_2023__Potassium Ion Homeostasis (GO:0055075)
91,GO:0033522,histone H2A ubiquitination,GO:0033522,0.6586466797301984,1.3635993496389982,0.728059666837959,24.97%,RNF8;BRCA2;UBE2A;UBR2;BRCA1;RAD51;RING1,GO_Biological_Process_2023__Histone H2A Ubiquitination (GO:0033522)
92,GO:0000122,negative regulation of transcription by RNA polymerase II,GO:0000122,0.3874444604581609,1.3900216035576156,0.7294836187455267,14.00%,DACT1;KLF2;WWC3;ATF3;MDM4;ZNF219;ZNF202;BHLHE41;FGFR2;PER2;ZNF224;ZNF239;E2F8;MDM2;MYC;PRDM5;E2F7;ZNF10;MCPH1;HMBOX1;NR0B1;ZMYM5;RITA1;MAFF;CCND1;NRIP1;ELK4;ZFPM1;WWC1;TBX2;ETS2;FOSB;ZNF764;JAZF1;KLF4;SOX4;ZBED6;HEXIM2;MED9;SIRT6;FOXC1;NFIL3;JUN;CRY1;KLF10;SMAD3;SIN3A;SREBF2;CITED2;TBX3;ZNF3;THAP1;RARB;ZNF124;ZNF268;DICER1;ZNF746;ZBTB45;GLIS3;MAGEA12;GATA6;DEAF1;MAFK;SOX3;IRF2BP2;RUNX1;YAP1;SIRT7;ZFP90;TCF3;NSMCE3;MIER3;FOXO3;HDAC10;TAF9B;ZBTB37;APBB2;PRDM2;ZBTB21;SIRT1;SP100;MIER2;LCOR;DNMT3B;ZNF205;NOTCH1;FHL2;ZNF440;IRF2BP1;IRF2BPL;TGIF1;SOX11;HES1;SINHCAF;DR1;JUND;ZEB1;ZBTB18;RREB1;EP300;NKX2-1;CBX6,GO_Biological_Process_2023__Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)
93,GO:0051960,regulation of nervous system development,GO:0051960,0.6339863676799556,1.5114047826300094,0.7297409416571902,1.93%,DLL1;BHLHE41;PER2;TENM4,GO_Biological_Process_2023__Regulation Of Nervous System Development (GO:0051960)
94,GO:1901532,regulation of hematopoietic progenitor cell differentiation,GO:1901532,0.623819355151205,1.3340240550225302,0.7304654826150231,15.61%,KITLG;FOXC1;PUS7;METTL14;METTL3,GO_Biological_Process_2023__Regulation Of Hematopoietic Progenitor Cell Differentiation (GO:1901532)
95,GO:0060043,regulation of cardiac muscle cell proliferation,GO:0060043,0.6868959673127664,1.5046517934806796,0.7305813062034554,15.63%,FGFR2;VGLL4;TBX2;TGFBR1;RUNX1;BMPR1A;NOTCH1;POLR2D;TP73,GO_Biological_Process_2023__Regulation Of Cardiac Muscle Cell Proliferation (GO:0060043)
