term,fdr,Odds Ratio,Combined Score,Genes,description
Signaling by CSF1 (M-CSF) in Myeloid Cells,0.5535007,2.382182,2.471664,INPP5D,Signaling by CSF1 (M-CSF) in Myeloid Cells
Interleukin-2 Family Signaling,0.5535007,2.382182,2.471664,INPP5D,Interleukin-2 Family Signaling
DAP12 Signaling,0.5535007,2.382182,2.471664,B2M,DAP12 Signaling
"Transport of Bile Salts and Organic Acids, Metal Ions and Amine Compounds",0.5535007,2.382182,2.471664,SLC39A10,"Transport of Bile Salts and Organic Acids, Metal Ions and Amine Compounds"
Metabolism of Lipids,0.5549369,1.209072,1.244837,FABP1;BCHE;FABP4;INPP5D;LTA4H;GC;SERPINA6;B4GALT5,Metabolism of Lipids
Inositol Phosphate Metabolism,0.5634015,2.278261,2.286799,INPP5D,Inositol Phosphate Metabolism
The Role of Nef in HIV-1 Replication and Disease Pathogenesis,0.5634015,2.278261,2.286799,B2M,The Role of Nef in HIV-1 Replication and Disease Pathogenesis
Glutathione Conjugation,0.5787057,2.183,2.121092,GSS,Glutathione Conjugation
Signaling by the B Cell Receptor (BCR),0.5989347,1.345841,1.254331,IGLV3-27;IGKV2D-30;IGKV2-30,Signaling by the B Cell Receptor (BCR)
Glycosphingolipid Metabolism,0.5997965,2.014462,1.837239,B4GALT5,Glycosphingolipid Metabolism
Keratan Sulfate Keratin Metabolism,0.5997965,2.014462,1.837239,B4GALT5,Keratan Sulfate Keratin Metabolism
Cellular Response to Chemical Stress,0.5997965,1.322812,1.199044,FABP1;BLVRB;HBB,Cellular Response to Chemical Stress
Transport of Small Molecules,0.5997965,1.164743,1.049654,CA1;AZGP1;CA2;MB;HBB;SLC39A10;A2M,Transport of Small Molecules
Antigen processing-Cross Presentation,0.5997965,1.456317,1.307864,MRC1;B2M,Antigen processing-Cross Presentation
Molecules Associated With Elastic Fibres,0.5997965,1.939556,1.715123,ITGB6,Molecules Associated With Elastic Fibres
"Antigen Presentation Folding, Assembly and Peptide Loading of Class I MHC",0.5997965,1.939556,1.715123,B2M,"Antigen Presentation Folding, Assembly and Peptide Loading of Class I MHC"
