Protein_Group	Genes	Protein_Names	HEK293T_WT_Avg_Peptide_Count	HEK293T_KI_Avg_Peptide_Count	U2OS_WT_Avg_Peptide_Count	U2OS_KI_Avg_Peptide_Count	Species	Intensity_HEK293T_WT_BR1_TR1	Intensity_HEK293T_KI_BR1_TR1	Intensity_U2OS_WT_BR1_TR1	Intensity_U2OS_KI_BR1_TR1
O43426	SYNJ1	SYNJ1_HUMAN	12.0	13.0	5.0	6.0	HUMAN	118726.44	82037.7	36533.62	60726.082
O43427	FIBP	FIBP_HUMAN	7.0	6.0	6.0	6.0	HUMAN	227618.98	258224.98	189244.73	220279.5
O43432	EIF4G3	IF4G3_HUMAN	12.0	12.0	9.0	11.0	HUMAN	177786.89	220030.83	162262.3	175451.72
O43435	TBX1	TBX1_HUMAN	2.0	3.0	0.0	0.0	HUMAN	197833.89	163202.27		
O43447	PPIH	PPIH_HUMAN	7.0	6.0	5.0	5.0	HUMAN	1678854.4	1627007.6	1661930.0	1075184.6
O43464	HTRA2	HTRA2_HUMAN	0.0	2.0	0.0	2.0	HUMAN		22530.486		27632.99
O43482	OIP5	MS18B_HUMAN	3.0	2.0	3.0	3.0	HUMAN	113241.98	76149.2	106712.44	98283.52
O43488	AKR7A2	ARK72_HUMAN	6.0	7.0	8.0	7.0	HUMAN	243557.89	297361.75	333699.22	211658.11
O43491	EPB41L2	E41L2_HUMAN	47.0	43.0	48.0	50.0	HUMAN	2128101.5	1928127.2	3619058.8	8565597.0
O43493	TGOLN2	TGON2_HUMAN	3.0	0.0	4.0	4.0	HUMAN	57656.316		223500.75	127217.945
O43502	RAD51C	RA51C_HUMAN	2.0	3.0	3.0	3.0	HUMAN	67966.63	66924.61	39014.176	51044.062
O43505	B4GAT1	B4GA1_HUMAN	2.0	3.0	0.0	0.0	HUMAN	221622.1	287203.53		
O43542	XRCC3	XRCC3_HUMAN	8.0	6.0	7.0	6.0	HUMAN	221986.86	174451.66	266097.53	362327.16
O43572	AKAP10	AKA10_HUMAN	4.0	0.0	4.0	3.0	HUMAN	104979.875		73150.6	90018.71
O43581	SYT7	SYT7_HUMAN	0.0	0.0	2.0	2.0	HUMAN			26039.002	37184.445
O43583	DENR	DENR_HUMAN	7.0	7.0	7.0	7.0	HUMAN	2958148.8	2478896.8	1866321.9	1680692.6
O43592	XPOT	XPOT_HUMAN	15.0	16.0	16.0	16.0	HUMAN	3907877.8	4160079.2	1868221.0	2233604.8
O43615	TIMM44	TIM44_HUMAN	27.0	26.0	26.0	22.0	HUMAN	7935683.0	6941679.0	4842233.0	3983747.8
O43617	TRAPPC3	TPPC3_HUMAN	6.0	6.0	6.0	6.0	HUMAN	529598.2	470015.4	368451.34	326450.88
O43633	CHMP2A	CHM2A_HUMAN	9.0	9.0	8.0	6.0	HUMAN	2580628.0	2603148.0	1220290.8	1543793.0
O43639	NCK2	NCK2_HUMAN	2.0	2.0	3.0	3.0	HUMAN	43281.0	38795.027	65404.332	73387.31
O43660	PLRG1	PLRG1_HUMAN	17.0	18.0	18.0	18.0	HUMAN	1709835.2	1773308.8	2068109.8	2240170.5
O43663	PRC1	PRC1_HUMAN	20.0	22.0	23.0	22.0	HUMAN	3492501.5	3865307.0	4342018.5	4339232.5
O43665	RGS10	RGS10_HUMAN	4.0	4.0	3.0	4.0	HUMAN	258641.6	171839.16	101228.84	130263.22
O43670	ZNF207	ZN207_HUMAN	9.0	7.0	9.0	8.0	HUMAN	1503854.9	1560656.9	1705537.1	2043127.4
O43674	NDUFB5	NDUB5_HUMAN	4.0	4.0	4.0	4.0	HUMAN	1642295.5	1623514.8	1783010.6	1346086.8
O43676	NDUFB3	NDUB3_HUMAN	4.0	4.0	4.0	4.0	HUMAN	845581.56	1363833.6	904676.25	963117.6
O43678	NDUFA2	NDUA2_HUMAN	4.0	3.0	3.0	3.0	HUMAN	453609.94	348645.38	431339.53	259182.36
O43681	GET3	GET3_HUMAN	4.0	3.0	4.0	4.0	HUMAN	382116.06	315685.5	323185.88	394094.7
