Protein_Group	Genes	48h_vs_0h_logFC	48h_vs_0h_pval	Removed?	Contaminant?
Q13332	PTPRS	-0.758020478361537	6.25032321576551e-16	No	No
Q3ZCX4	ZNF568	-3.37908804252045	2.1646361430318e-08	No	No
Q4U2R6	MRPL51	-0.802568145928191	5.08612048344643e-07	No	No
Q4V9L6	TMEM119	-0.714191819305118	1.84807255827793e-14	No	No
Q504Y2	PKDCC	-0.753563524690872	0.00297884955124155	No	No
Q5EB52	MEST	-1.08765607907774	6.22431557886261e-13	No	No
Q5H8C1	FREM1	-0.903326746417463	3.88710896116282e-05	No	No
Q5JS13	RALGPS1	-4.97636889382015	0.000618024249147798	No	No
Q68CJ9	CREB3L3	-1.43883085859322	3.8466456105516e-07	No	No
Q6N022	TENM4	-0.796999856939998	3.64080839568077e-12	No	No
Q6P1L8	MRPL14	-0.708409890732625	5.58473282256181e-09	No	No
Q6UWH4	GASK1B	-1.24013209873607	0.000106435449118077	No	No
Q6W3E5	GDPD4	-3.51482906080021	0.00250753698846322	No	No
Q6ZMB5	TMEM184A	-0.758670262958956	0.00672607369842499	No	No
Q6ZMW2	ZNF782	-1.21257985768104	0.00191569533937278	No	No
Q6ZVC0	NYAP1	-0.817647952055292	0.00257398455710626	No	No
Q7Z4V0	ZNF438	-0.746258036762622	0.000456322744033684	No	No
Q86TS9	MRPL52	-0.809779775055354	1.58802302710548e-06	No	No
Q86WV6	STING1	-0.980451260186532	9.34180585460656e-05	No	No
Q86Y39	NDUFA11	-0.91299660978315	7.5488789252769e-11	No	No
Q86YE8	ZNF573	-1.26197992962176	0.000442762319125224	No	No
Q8N0U7	C1orf87	-1.09808254493453	0.00681650095206736	No	No
Q8N111	CEND1	-0.734390390096745	4.06921599332758e-09	No	No
Q8N3G9	TMEM130	-1.2029363831511	3.6376068795314e-10	No	No
Q8N441	FGFRL1	-0.80492584031099	0.000278338610383781	No	No
Q8NA92	THAP8	-0.704480197325493	0.00506012281276349	No	No
Q8NC06	ACBD4	-0.820542811519566	0.000323151299777411	No	No
Q8TCC3	MRPL30	-0.806486115062164	1.55525162078787e-12	No	No
Q8TDW5	SYTL5	-0.94562942082756	6.76814035673047e-10	No	No
Q969I6	SLC38A4	-0.915546621715468	3.94971017092418e-05	No	No
Q96A25	TMEM106A	-0.850900966826297	0.000579765113880801	No	No
Q96BP2	CHCHD1	-0.84883278012919	1.83022858266855e-06	No	No
Q96E16	SMIM19	-0.757553075486477	0.000850921287946231	No	No
Q96MF6	COQ10A	-0.80457430321627	5.61324139092735e-10	No	No
Q96N77	ZNF641	-0.95159058063027	0.00317487009645177	No	No
Q96NT3	GUCD1	-0.852251698386468	0.0012437733624867	No	No
Q96SK3	ZNF607	-2.61652471206279	0.000926471589972298	No	No
Q9BQ48	MRPL34	-0.971341021222241	1.13646035758232e-09	No	No
Q9BQC6	MRPL57	-0.842773173465833	1.81166369772526e-11	No	No
Q9BWC9	CCDC106	-0.843513969657433	3.58162911611882e-06	No	No
Q9BY76	ANGPTL4	-1.03258405327111	5.89439145414743e-10	No	No
Q9BYD3	MRPL4	-0.741777177093955	8.80028962726484e-17	No	No
Q9H0U6	MRPL18	-0.735768441325011	5.89390415901198e-14	No	No
Q9H5Y7	SLITRK6	-0.825272049357892	2.09912811621702e-17	No	No
Q9NPD5	SLCO1B3	-0.930549826923937	0.00136974465662603	No	No
Q9NRD8	DUOX2	-0.741046770223322	0.00276589272239094	No	No
Q9NVM1	EVA1B	-0.751937698541667	0.000390248248330081	No	No
Q9NVS2	MRPS18A	-0.771177047065112	5.35588015514923e-12	No	No
Q9NX20	MRPL16	-0.800687473806285	1.59525260011377e-12	No	No
Q9NYZ4	SIGLEC8	-0.885412578623459	0.00123614422474018	No	No
Q9P015	MRPL15	-0.758599671195718	4.49466416763378e-18	No	No
Q9P0J0	NDUFA13	-0.752524757465704	2.05680759884244e-18	No	No
Q9P0L1	ZKSCAN7	-1.41513895527306	0.00659459404110151	No	No
Q9P1V8	SAMD15	-0.77332546946602	2.94663389445299e-05	No	No
Q9UI09	NDUFA12	-0.972068186843927	1.58931949816816e-11	No	No
Q9UKS7	IKZF2	-5.35209521188685	1.61738164289618e-27	No	No
Q9Y2H5	PLEKHA6	-1.09997442449473	9.45242267198105e-06	No	No
Q9Y3B7	MRPL11	-0.737204056378317	5.82428215034142e-17	No	No
Q9Y6H3	ATP23	-0.886977815794049	0.00371808119947568	No	No
Q9Y6M9	NDUFB9	-0.921363207085339	9.23488900228463e-16	No	No
Q9Y6N8	CDH10	-0.713139053944118	9.06913493706737e-14	No	No
