Protein_Group	Genes	WM793_vs_HIM-ST_logFC	WM793_vs_HIM-ST_pval	Removed?	Contaminant?
Q9Y5H4	PCDHGA1	2.00292115365395	1.35491793983041e-13	No	No
Q9Y5I1	PCDHA11	5.73354041416417	5.136981208020701e-10	No	No
Q9Y5I4	PCDHAC2	3.2104418241374	4.12818340191116e-08	No	No
Q9Y5J5	PHLDA3	2.27209165250283	5.2920619666642405e-17	No	No
Q9Y5W8	SNX13	2.85953903220428	4.33512606230045e-06	No	No
Q9Y5X0	SNX10	5.59382752745546	4.3144472232529495e-18	No	No
Q9Y5Z9	UBIAD1	2.83979796591794	1.00841445567962e-08	No	No
Q9Y625	GPC6	3.08804725639307	2.91406087899085e-12	No	No
Q9Y6D9	MAD1L1	2.11007312444816	0.000178005146958	No	No
Q9Y6E2	BZW2	2.18547765603369	4.84157028565924e-20	No	No
Q9Y6H1	CHCHD2	2.1359124467455	0.0006363799153753	No	No
Q9Y6Q2	STON1	2.52446891739445	4.20319747767783e-10	No	No
Q9Y6Q6	TNFRSF11A	4.84188199515715	5.6489114052931e-15	No	No
Q9Y6W8	ICOS	5.42272930042898	6.54589954488164e-09	No	No
Q9Y6Z7	COLEC10	2.7561486564563	1.69189745778331e-07	No	No
A0A7I2V3R4	RNF228	-4.60051119021259	6.08637420133479e-20	No	No
A0AV96	RBM47	-7.37222022028409	0.0003961514536239	No	No
A1A4S6	ARHGAP10	-2.2650638671443	3.04325366934758e-06	No	No
A1X283	SH3PXD2B	-2.06898790334425	1.5932615467750401e-19	No	No
A1Z1Q3	MACROD2	-3.03672217241961	3.63014077513811e-13	No	No
A3KMH1	VWA8	-3.96125314233782	4.06784071183405e-07	No	No
A4D1E9	GTPBP10	-2.71973045301303	0.0006622650861707	No	No
A6NGB9	WIPF3	-4.76607081668059	7.96691920689919e-17	No	No
A6NHR9	SMCHD1	-3.24971749129816	4.93783472432029e-08	No	No
A6NHX0	CASTOR2	-2.8193345417715	6.109592987608311e-09	No	No
A6NI28	ARHGAP42	-2.62540779900292	0.0058523111861477	No	No
A6NNN8	SLC38A8	-2.61388582804476	1.26920778456399e-12	No	No
A8MWY0	ELAPOR2	-3.35369056386156	1.3501721802815e-16	No	No
B2RUZ4	SMIM1	-2.40888218341699	2.98019340109262e-14	No	No
B4DYI2	SPATA31C2	-2.88077104843095	1.2250345325343099e-11	No	No
C4AMC7;Q6VEQ5	WASH2P;WASH3P	-2.35891484329154	1.49315526725101e-07	No	No
C9JH25	PRRT4	-4.03110688640093	1.4515333570687998e-13	No	No
C9JI98	TMEM238	-4.15023758108375	2.8604130532024296e-22	No	No
E5RHQ5	NPIPB11	-7.28504969388515	7.94783482459453e-26	No	No
O00165	HAX1	-2.84516105885317	5.05012516130017e-05	No	No
O00217	NDUFS8	-3.70035055038377	3.85696944981436e-10	No	No
O00219	HAS3	-3.83320182480587	7.90033833297979e-06	No	No
O00220	TNFRSF10A	-8.38550369392227	9.964027056511079e-30	No	No
O00238	BMPR1B	-2.26003787349304	1.30873299024353e-08	No	No
O00287	RFXAP	-4.52847999110804	5.4953063716973e-13	No	No
O00300	TNFRSF11B	-1.92556018896835	0.0004312351361146	No	No
O00339	MATN2	-3.55615840397815	5.23685212806984e-12	No	No
O00445	SYT5	-3.81436975657743	3.10031789960738e-19	No	No
O00519	FAAH	-6.8630951536052	7.41162624196409e-27	No	No
O00533	CHL1	-1.83228357942223	3.72995160406804e-07	No	No
O00534	VWA5A	-4.64513768254788	7.92450336654616e-16	No	No
O00562	PITPNM1	-3.41124124855029	7.57531159362368e-07	No	No
O00584	RNASET2	-3.02248475197181	2.27786311079899e-08	No	No
O00622	CCN1	-5.68518914205593	1.2063419138673501e-14	No	No
O00628	PEX7	-3.03100503575753	0.0065549843565396	No	No
O00712	NFIB	-3.9051591821931	1.26519286857169e-06	No	No
O14490	DLGAP1	-2.16534396181595	0.0013062539723761	No	No
O14521	SDHD	-2.30916921092495	5.92895222789109e-11	No	No
O14531	DPYSL4	-5.68679122458144	5.4118760341458e-11	No	No
O14556	GAPDHS	-6.38556849688773	4.16593151011971e-24	No	No
O14558	HSPB6	-8.05377700133601	1.2560401472806e-27	No	No
O14576	DYNC1I1	-2.90746712019955	4.77446212737305e-13	No	No
O14646	CHD1	-5.50836463147656	0.0005344887129304	No	No
O14647	CHD2	-2.19296982513177	1.4076261742947e-06	No	No
O14686	KMT2D	-2.87149112104128	3.141617052783e-05	No	No
O14795	UNC13B	-3.79313095182165	3.180859316785e-06	No	No
O14841	OPLAH	-5.52805491739565	1.43701351524635e-15	No	No
O14874	BCKDK	-6.51508520360248	2.7323163850067e-13	No	No
O14944	EREG	-5.59892685762119	1.01472181212148e-20	No	No
O14949	UQCRQ	-3.04518272611277	0.0033800073443781	No	No
O14994	SYN3	-6.71865803078088	3.4162997556369597e-22	No	No
O15041	SEMA3E	-7.14950162226674	3.22503597516627e-14	No	No
O15047	SETD1A	-5.13915064150836	1.38939617194966e-05	No	No
O15069	NACAD	-3.02944327821706	5.16611303218281e-07	No	No
O15075	DCLK1	-6.34995908004616	6.76425532390717e-20	No	No
O15091	PRORP	-3.61820060909446	1.7650235143644401e-09	No	No
O15173	PGRMC2	-1.82937935643855	9.8690681049849e-09	No	No
O15213	WDR46	-4.45466503541218	1.34369542837515e-07	No	No
O15235	MRPS12	-3.03621026213061	3.01192698574177e-07	No	No
O15247	CLIC2	-2.37374988937873	5.4254467855332496e-11	No	No
O15264	MAPK13	-6.53684450639544	2.72080910650501e-26	No	No
O15382	BCAT2	-3.06196849988851	5.52423116260212e-05	No	No
O15394	NCAM2	-4.10774118466793	6.1522808988717905e-15	No	No
O15400	STX7	-2.31293662139694	3.3488479248965697e-13	No	No
O15403	SLC16A6	-2.62579535965599	1.74274619945112e-05	No	No
O15488	GYG2	-8.42852280157947	2.3552997289092996e-31	No	No
O15523	DDX3Y	-6.71357918296522	8.0935588732227e-15	No	No
O15550	KDM6A	-2.26703222818489	0.00444082009983	No	No
O43147	SGSM2	-6.09813855173162	2.68507506396876e-16	No	No
O43173	ST8SIA3	-9.25054498518349	3.04352879059115e-26	No	No
O43182	ARHGAP6	-3.41122528483152	0.0006294141283521	No	No
O43189	PHF1	-4.1834637554659	6.31922843733374e-07	No	No
O43236	SEPTIN4	-2.29755741930778	0.0010636279053996	No	No
O43246	SLC7A4	-4.6028527861021	4.78069295893365e-19	No	No
O43278	SPINT1	-6.61273062988727	1.0241357126209401e-19	No	No
O43281	EFS	-7.63694568871455	6.6077834851018305e-15	No	No
O43290	SART1	-3.12430207969303	2.88774246689548e-05	No	No
O43291	SPINT2	-8.18841293399407	4.003255011705621e-31	No	No
O43301	HSPA12A	-3.00544452695142	1.16667858233308e-08	No	No
O43347	MSI1	-6.46706547050975	3.64263332202218e-14	No	No
O43374	RASA4	-2.20910082644824	7.12583921205578e-05	No	No
O43422	THAP12	-4.1034807026674	2.38025847211477e-06	No	No
O43426	SYNJ1	-2.36166257408535	4.65947454788379e-12	No	No
O43451	MGAM	-4.44024592283191	1.1784127725281001e-22	No	No
O43464	HTRA2	-3.05074375378128	1.27735951000026e-08	No	No
O43490	PROM1	-3.01745446885604	5.67522178824774e-09	No	No
O43520	ATP8B1	-6.0867865965501	5.7674839566698e-14	No	No
O43548	TGM5	-2.88900696228869	0.0009114052949942	No	No
O43581	SYT7	-3.04479977696023	2.3654079383408204e-09	No	No
O43602	DCX	-2.99080379538345	8.49391401961461e-13	No	No
O43615	TIMM44	-2.87330034073583	3.09738544035312e-08	No	No
O43676	NDUFB3	-2.19710494448834	5.03187822535803e-05	No	No
O43719	HTATSF1	-4.21642547262096	1.04014545110888e-15	No	No
O43736	ITM2A	-5.43264135429813	9.06585839195207e-21	No	No
O43772	SLC25A20	-2.25419397515426	5.709557820706241e-09	No	No
O43819	SCO2	-5.89699735559962	7.48784456069646e-17	No	No
O43823	AKAP8	-1.89850255872877	9.75317256570679e-06	No	No
O43824	GTPBP6	-4.46549966315372	0.0002555978927399	No	No
O43826	SLC37A4	-3.65288784243543	4.84783864447582e-05	No	No
O43837	IDH3B	-5.43504363400166	1.08260828968942e-14	No	No
O43920	NDUFS5	-3.34414567827016	0.0009869614269518	No	No
O60237	PPP1R12B	-3.04585402211576	3.47471279603669e-05	No	No
O60242	ADGRB3	-4.48997932533381	0.0028969125268899	No	No
O60244	MED14	-1.90970334241132	0.0076812247460205	No	No
O60256	PRPSAP2	-1.89346151533995	1.55701197665706e-17	No	No
O60268	KIAA0513	-2.79974727843992	1.58873946884064e-07	No	No
O60279	SUSD5	-2.20431759557638	9.11528590753567e-14	No	No
O60282	KIF5C	-3.98664629027051	1.5104413551123002e-16	No	No
O60296	TRAK2	-5.47399615533215	1.01498569267448e-10	No	No
O60307	MAST3	-3.09696755440982	7.09829741713199e-07	No	No
O60312	ATP10A	-8.23725280643208	8.736158637558211e-19	No	No
O60315	ZEB2	-4.72676292542564	1.00224780334045e-09	No	No
O60330	PCDHGA12	-2.22095494182049	0.0001931400160641	No	No
O60437	PPL	-5.00081104642642	1.21450344646824e-07	No	No
O60486	PLXNC1	-5.50159643653518	5.66858460111189e-18	No	No
O60518	RANBP6	-2.62946065258054	0.0006499614176737	No	No
O60565	GREM1	-5.69544152949521	4.0996461754866197e-13	No	No
O60583	CCNT2	-1.97567705117946	0.0019661110180179	No	No
O60603	TLR2	-7.49545825049349	2.5537466350026797e-12	No	No
O60641	SNAP91	-5.0118056574432	1.35028735103282e-12	No	No
O60662	KLHL41	-9.50315053278708	6.39384091686355e-22	No	No
O60687	SRPX2	-6.36589795602142	9.11027627813347e-15	No	No
O60706	ABCC9	-2.18615599063154	0.0057151380869278	No	No
O60711	LPXN	-2.85573055291198	0.0009831798294158	No	No
O60831	PRAF2	-1.94690932446888	1.11361912241837e-08	No	No
O60906	SMPD2	-3.10907753790605	3.39925011653178e-05	No	No
O60928	KCNJ13	-4.45506271193306	5.58136624192136e-19	No	No
O60939	SCN2B	-4.53512925386083	1.48225972660999e-20	No	No
O60942	RNGTT	-2.73768434684851	0.0018425099713878	No	No
O75027	ABCB7	-2.48956818124308	0.0023740350946927	No	No
O75074	LRP3	-2.68675672999978	0.0005719940728404	No	No
O75094	SLIT3	-6.32147462006459	9.47815955968026e-12	No	No
O75112	LDB3	-3.35675931104795	2.10568526742416e-06	No	No
O75140	DEPDC5	-4.10981641838436	7.12715631837085e-10	No	No
O75150	RNF40	-2.3145470630564	1.22191458807505e-05	No	No
O75151	PHF2	-3.73948153129153	0.0008128956891409	No	No
O75173	ADAMTS4	-9.32587366819952	5.97908015421364e-25	No	No
O75251	NDUFS7	-7.37167925287747	1.14587708652186e-08	No	No
O75298	RTN2	-3.45232202209898	7.02840632503194e-13	No	No
O75306	NDUFS2	-2.77926493017625	1.50494379168775e-05	No	No
O75323	NIPSNAP2	-1.94892803152634	3.02514475448139e-08	No	No
O75326	SEMA7A	-2.81637909280683	2.15616677109757e-07	No	No
O75334	PPFIA2	-3.0796641705248	1.75262743308684e-05	No	No
O75380	NDUFS6	-3.0922721990142	0.0003139176298666	No	No
O75390	CS	-2.03732640964676	1.82509971096601e-07	No	No
O75396	SEC22B	-1.89253854461167	7.57774321901892e-14	No	No
O75400	PRPF40A	-2.12475713557557	6.26105709676976e-06	No	No
O75431	MTX2	-2.55822857742255	7.23552688341786e-05	No	No
O75439	PMPCB	-4.35499630037522	3.7149690848224e-13	No	No
O75448	MED24	-2.11942941220663	0.0001206982177283	No	No
O75460	ERN1	-2.74745000539159	0.0006156421637933	No	No
O75475	PSIP1	-5.05026636655437	2.12709681653947e-09	No	No
O75489	NDUFS3	-4.52409209350962	5.3318617438536e-10	No	No
O75493	CA11	-4.09522756041633	3.50812221925678e-13	No	No
O75494	SRSF10	-2.26973736308942	2.0017508941133302e-09	No	No
O75508	CLDN11	-6.30826799784444	1.89271691474476e-17	No	No
O75521	ECI2	-3.28079456039887	6.06655580878065e-06	No	No
O75554	WBP4	-5.22770113236338	1.21623130660662e-05	No	No
O75569	PRKRA	-2.44794653601584	1.2615378571909701e-14	No	No
O75582	RPS6KA5	-2.69330707372687	8.34834886011089e-07	No	No
O75616	ERAL1	-3.35045652674374	4.1192833764644e-11	No	No
O75628	REM1	-1.89005844783148	7.82381454730374e-05	No	No
O75648	TRMU	-3.25534445997927	8.31479945885146e-06	No	No
O75746	SLC25A12	-3.91910476445027	1.42544964105603e-12	No	No
O75752	B3GALNT1	-1.88487157611663	2.49245336463132e-06	No	No
O75781	PALM	-4.18954391990173	4.09163119192164e-12	No	No
O75879	GATB	-7.15968823926801	2.38565034540374e-25	No	No
O75914	PAK3	-1.92192870991027	1.0911412201790098e-11	No	No
O75934	BCAS2	-2.07844611467499	4.5246953522615303e-10	No	No
O75943	RAD17	-2.37738006212462	0.0008651054038928	No	No
O75947	ATP5PD	-2.11384395578661	3.20440595092624e-09	No	No
O75964	ATP5MG	-2.91471205155183	3.56408165785414e-08	No	No
O76024	WFS1	-1.87581297284106	1.43013710359998e-09	No	No
O76031	CLPX	-5.81554392472012	9.31192634249126e-06	No	No
O76061	STC2	-5.32504277720272	3.79770857357079e-15	No	No
O94776	MTA2	-1.96200459907768	9.33753025220018e-08	No	No
O94788	ALDH1A2	-6.29394729082358	1.69719774283618e-13	No	No
O94806	PRKD3	-1.82581119749547	2.39449702417493e-05	No	No
O94812	BAIAP3	-5.16933420649465	3.16587721535563e-15	No	No
O94819	KBTBD11	-4.2172779194233	1.8367817862278102e-20	No	No
O94832	MYO1D	-5.70600537017778	5.84545991371918e-24	No	No
O94842	TOX4	-2.95733639475653	9.43769479194365e-05	No	No
O94887	FARP2	-2.01857978705509	1.31631182633094e-17	No	No
O94888	UBXN7	-2.08205506504965	9.07286668421423e-05	No	No
O94925	GLS	-3.50455471992797	7.53026402158176e-10	No	No
O94985	CLSTN1	-2.80235144001471	9.69324506825047e-06	No	No
O94992	HEXIM1	-3.15841049822708	4.44298683312533e-06	No	No
O95069	KCNK2	-2.21283448393705	0.001928485504073	No	No
O95182	NDUFA7	-3.24055828431167	2.6346087455612503e-09	No	No
O95199	RCBTB2	-2.23824541199735	0.0001946945086683	No	No
O95202	LETM1	-2.16605881128979	0.0006373809774536	No	No
O95210	STBD1	-2.23365344932272	0.0001300170027409	No	No
O95260	ATE1	-1.92648080944399	7.93578891523119e-10	No	No
O95299	NDUFA10	-3.09207670019123	0.0004294616997768	No	No
O95319	CELF2	-6.69210020348795	2.3381856884203002e-18	No	No
O95390	GDF11	-3.8662502251643	1.01808518225123e-06	No	No
O95407	TNFRSF6B	-2.26813274132192	0.0060427050648286	No	No
O95450	ADAMTS2	-8.19606215040881	2.67366909398669e-21	No	No
O95461	LARGE1	-2.48172203683021	0.0012381322827635	No	No
O95475	SIX6	-4.17619820336415	1.1673761775364e-05	No	No
O95484	CLDN9	-12.3883004490529	1.3312448327527299e-34	No	No
O95502	NPTXR	-5.30906441437433	4.5667622737113303e-10	No	No
O95563	MPC2	-4.76111859490629	1.4568703767590102e-20	No	No
O95639	CPSF4	-2.88947050053208	0.0071640015758276	No	No
O95670	ATP6V1G2	-5.81913871216409	3.2999203850892004e-10	No	No
O95671	ASMTL	-5.47686908990903	3.1009137168957904e-15	No	No
O95674	CDS2	-2.44649113766443	0.0002186872304523	No	No
O95707	POP4	-2.17885785644105	6.0761207350278e-05	No	No
O95759	TBC1D8	-3.5871771076952	8.95095751504972e-08	No	No
O95785	WIZ	-3.2329488769298	0.0012991825484807	No	No
O95810	CAVIN2	-4.16012616004404	3.41973445264083e-08	No	No
O95822	MLYCD	-2.27200811897701	0.0001115187582149	No	No
O95831	AIFM1	-2.69265901028998	1.42692795120096e-07	No	No
O95848	NUDT14	-3.25851655746029	2.11505180732677e-06	No	No
O95858	TSPAN15	-2.74513586370194	5.096398302981729e-13	No	No
O95864	FADS2	-6.3420181658275	1.1902589624934401e-19	No	No
O95967	EFEMP2	-3.14880008822308	1.33882217878626e-07	No	No
P00367	GLUD1	-3.30519913015554	4.61690259869836e-08	No	No
P00480	OTC	-2.12830791355842	0.0007156068501268	No	No
P00749	PLAU	-7.5977531179225	9.09091086571218e-17	No	No
P00750	PLAT	-4.03462093204396	1.21402292333608e-12	No	No
P00966	ASS1	-5.78370763533364	1.98932514820515e-13	No	No
P00973	OAS1	-2.3292383186177	0.0017451823120963	No	No
P01130	LDLR	-1.9449262803115	5.64725379191443e-12	No	No
P01236	PRL	-5.29375526583707	2.54585306381006e-24	No	No
P01909	HLA-DQA1	-4.37083610086597	1.0482793930063e-09	No	No
P02452	COL1A1	-5.52012767882079	7.72918328836801e-16	No	No
P02511	CRYAB	-2.2341312061216	2.7291873768256397e-11	No	No
P02649	APOE	-2.2771448680872	8.2044798323772e-14	No	No
P02654	APOC1	-4.2845758896969	7.59186166098506e-14	No	No
P02686	MBP	-4.11038817466663	1.38439401459544e-12	No	No
P03950	ANG	-6.88413856135224	9.67146562835608e-23	No	No
P04179	SOD2	-2.40066220147969	8.36153925300385e-10	No	No
P04216	THY1	-3.67863626511994	6.46206351877091e-13	No	No
P04637	TP53	-5.05471628956603	7.42960916931617e-19	No	No
P05090	APOD	-2.19021056981307	3.00603338162127e-05	No	No
P05091	ALDH2	-6.5131570147224	2.3750484256756003e-15	No	No
P05121	SERPINE1	-8.71383878831057	5.00633269954471e-14	No	No
P05161	ISG15	-3.07559093575492	8.039446376017259e-11	No	No
P05165	PCCA	-5.96767998172785	3.2341788220534e-16	No	No
P05186	ALPL	-2.49729741545718	0.0013567664295503	No	No
P05408	SCG5	-6.1506476479407	1.8822266774542402e-21	No	No
P05413	FABP3	-3.50790964619731	3.98343414149261e-11	No	No
P05538	HLA-DQB2	-1.8436006909719	1.52781465971645e-05	No	No
P05771	PRKCB	-7.54756352299929	1.36834454045108e-34	No	No
P05783	KRT18	-5.53246701913464	1.88251739175912e-16	No	No
P05997	COL5A2	-6.61489466351858	1.05505309345757e-14	No	No
P06576	ATP5F1B	-3.12747903899485	3.4330952291844798e-12	No	No
P06858	LPL	-2.46482383427066	3.94238764145525e-08	No	No
P07099	EPHX1	-2.48027941213942	2.95374034079873e-14	No	No
P07203	GPX1	-3.54565932373854	4.60996437789768e-16	No	No
P07204	THBD	-3.8307159800523	1.58441498086317e-16	No	No
P07225	PROS1	-4.08274084974603	1.08370028930794e-07	No	No
P07311	ACYP1	-2.03630790117412	6.685671698960159e-11	No	No
P07332	FES	-4.36336263913399	2.9543749404442e-11	No	No
P07585	DCN	-3.44120266018847	1.43124077799181e-15	No	No
P07910	HNRNPC	-2.98286086876585	4.2441358574297e-13	No	No
P07996	THBS1	-4.12155438734488	2.86472819784516e-14	No	No
P08123	COL1A2	-5.30790371421119	1.29238949299589e-13	No	No
P08133	ANXA6	-2.07125735389673	7.49642338565538e-17	No	No
P08473	MME	-3.83582937650919	2.90019937268883e-17	No	No
P08571	CD14	-3.75453078911377	1.69931457270852e-11	No	No
P08574	CYC1	-2.60976629588418	1.31073019447534e-09	No	No
P08603	CFH	-8.42358921495959	3.9648869341432e-22	No	No
P09038	FGF2	-2.27846073447341	1.91490896747888e-10	No	No
P09110	ACAA1	-2.51983012037504	5.86148244957477e-14	No	No
P09488	GSTM1	-4.75300065327349	2.12755834686179e-23	No	No
P09669	COX6C	-2.78802699703252	1.65586809960754e-07	No	No
P09758	TACSTD2	-7.73664735128268	9.77737633098594e-23	No	No
P09917	ALOX5	-2.72313188435356	4.666732521086771e-09	No	No
P09936	UCHL1	-6.7906809178988	1.1236607551224102e-15	No	No
P09960	LTA4H	-2.18583516814147	2.13013958644769e-18	No	No
P0C7M8	CLEC2L	-2.53754733696373	1.83054944290691e-07	No	No
P0C870	JMJD7	-5.04338213073714	7.13097858391915e-06	No	No
P0DPD8	EEF1AKMT4-ECE2	-5.52925086444577	1.89619017679414e-18	No	No
P0DPI2	GATD3	-1.99173935087538	4.37198928561323e-05	No	No
P10109	FDX1	-2.38293249302464	6.95470665405617e-11	No	No
P10620	MGST1	-2.27550510045698	5.05171547756594e-12	No	No
P10636	MAPT	-6.03192046800245	1.0846495892226102e-15	No	No
P10721	KIT	-7.1932690376578	1.42096548427853e-12	No	No
P10809	HSPD1	-2.5473797672606	1.93116997657261e-12	No	No
P10909	CLU	-2.14193108569251	0.0024655470962731	No	No
P11137	MAP2	-2.41247868825201	3.60493287190645e-08	No	No
P11177	PDHB	-2.50133287616819	7.8012877582127e-08	No	No
P11277	SPTB	-2.7202077099423	5.83065497946446e-06	No	No
P11310	ACADM	-2.7977609394369	1.2804195642301602e-09	No	No
P11498	PC	-2.8350493734249	0.0021169601593173	No	No
P11766	ADH5	-1.92381485956588	1.86849297084635e-13	No	No
P11802	CDK4	-2.22915671867262	6.443290827980021e-19	No	No
P12034	FGF5	-5.37009808780283	1.55808414535061e-10	No	No
P12107	COL11A1	-5.86889414663849	3.76530485553326e-17	No	No
P12277	CKB	-6.31583770923421	1.56478201585587e-14	No	No
P12830	CDH1	-6.1199012776755	3.37488477707514e-17	No	No
P13051	UNG	-8.3017834213603	2.1468200549473803e-09	No	No
P13497	BMP1	-2.03829627031085	0.0003100491677691	No	No
P13498	CYBA	-4.03447182505831	1.47244038629601e-05	No	No
P13584	CYP4B1	-1.90256643191662	0.0003589722484176	No	No
P13686	ACP5	-5.31092651534194	2.9888557980347e-13	No	No
P13688	CEACAM1	-3.28149198917818	2.5026931089267198e-12	No	No
P13747	HLA-E	-2.66874280988936	2.08638710930137e-12	No	No
P13804	ETFA	-3.03106538223	3.73624394771373e-12	No	No
P13995	MTHFD2	-5.24247882794698	9.02212857856988e-07	No	No
P14416	DRD2	-2.77590845632551	0.0084834686662853	No	No
P14679	TYR	-6.78938722822482	6.674155936916109e-22	No	No
P15104	GLUL	-2.53170378907668	1.95203021257347e-08	No	No
P15374	UCHL3	-1.90833645230076	8.807470707617121e-15	No	No
P15882	CHN1	-5.15091504377141	1.2883483646860902e-09	No	No
P15954	COX7C	-6.60742867547507	1.44316788242647e-27	No	No
P16035	TIMP2	-3.90823937690899	6.08172020963889e-20	No	No
P16083	NQO2	-2.17662299766084	2.05469899007892e-12	No	No
P16219	ACADS	-4.54942978395177	2.22683781077967e-06	No	No
P16234	PDGFRA	-1.82669238507317	2.50436383606807e-05	No	No
P16401	H1-5	-2.26690136778964	0.000940062268879	No	No
P16455	MGMT	-7.82942913549033	5.58999311652632e-29	No	No
P16519	PCSK2	-10.3673492786333	2.28712078412131e-32	No	No
P16870	CPE	-3.32521050131398	1.6248344024009802e-15	No	No
P17302	GJA1	-4.80713212395207	1.5085398286414598e-11	No	No
P17643	TYRP1	-9.22221600689431	4.70624669419243e-14	No	No
P17661	DES	-5.95898116764328	6.3036301915979795e-22	No	No
P17677	GAP43	-2.26272301527662	5.31063038445507e-05	No	No
P17706	PTPN2	-2.34782838653955	1.90252734870854e-08	No	No
P17931	LGALS3	-3.68692207255486	4.3803959119702395e-18	No	No
P18583	SON	-2.74236826646062	1.60140706883166e-05	No	No
P18615	NELFE	-1.86569681039797	0.0011811413712755	No	No
P18859	ATP5PF	-2.63179820081968	0.000236728097161	No	No
P19367	HK1	-2.86655092379558	1.08177504223582e-13	No	No
P19404	NDUFV2	-4.40668721845183	2.59801694136651e-11	No	No
P19474	TRIM21	-2.30844112445872	2.0213479556580799e-16	No	No
P19793	RXRA	-2.551340888925	1.52238531610662e-05	No	No
P19823	ITIH2	-2.26182866204866	2.60702628024525e-05	No	No
P19971	TYMP	-4.21628238669485	3.33732551715451e-08	No	No
P20062	TCN2	-2.26960638654416	0.0006670852599143	No	No
P20337	RAB3B	-2.51318771118735	1.00638455862544e-08	No	No
P20585	MSH3	-2.9610471467224	2.3216705497276e-08	No	No
P20591	MX1	-4.67814466592806	1.17416224788369e-14	No	No
P20592	MX2	-4.66373914384028	5.0211621673505594e-18	No	No
P20648	ATP4A	-3.17351338495421	0.0005077427947461	No	No
P20674	COX5A	-1.95554172521522	0.0045359749809419	No	No
P21397	MAOA	-2.12983326317446	0.0006379669634273	No	No
P21810	BGN	-3.13437128310009	2.08134857407516e-14	No	No
P21912	SDHB	-4.10129584426892	1.80560631954209e-12	No	No
P22033	MMUT	-6.45818739340858	2.4332422395612897e-11	No	No
P22083	FUT4	-2.56198503869313	0.0078696761818748	No	No
P22087	FBL	-1.91234209954636	5.543268327667029e-11	No	No
P22223	CDH3	-6.58496300980566	3.3367817887953298e-12	No	No
P22304	IDS	-2.7228314924129	1.01570441051056e-09	No	No
P22570	FDXR	-3.07710615761829	7.31289594778121e-07	No	No
P22670	RFX1	-2.38800517587622	0.0001024380785199	No	No
P22692	IGFBP4	-5.0919921709008	1.25373566661606e-14	No	No
P22695	UQCRC2	-2.50235631138453	7.43760463314207e-07	No	No
P22830	FECH	-5.54030601939107	1.69219272678918e-08	No	No
P23141	CES1	-4.94809659188223	9.789469264863739e-12	No	No
P23368	ME2	-4.10954183388585	5.05326493153081e-15	No	No
P23378	GLDC	-2.28053514864528	0.0003937833424966	No	No
P23786	CPT2	-3.21860856183928	1.05678288650165e-06	No	No
P24394	IL4R	-2.67434249628559	7.29417974091267e-05	No	No
P24539	ATP5PB	-3.09535114752351	1.73755764035072e-06	No	No
P24593	IGFBP5	-6.94129070603225	6.14167598236714e-27	No	No
P24723	PRKCH	-6.18084252345073	3.2962718017844096e-11	No	No
P24752	ACAT1	-1.82785940431119	5.21495188710862e-05	No	No
P25101	EDNRA	-3.4294382813973	2.63308399434583e-13	No	No
P25391	LAMA1	-6.87983781673969	3.96524332387478e-16	No	No
P25440	BRD2	-1.90029443724582	0.0072495631354707	No	No
P25490	YY1	-2.62465145552424	1.56295719177432e-07	No	No
P25705	ATP5F1A	-2.86682368926085	3.81670974620875e-11	No	No
P25942	CD40	-6.38363436535233	1.24405602285186e-19	No	No
P26022	PTX3	-7.10633437629157	2.4009868983017397e-12	No	No
P26378	ELAVL4	-4.1085640073451	9.85144311389334e-14	No	No
P26440	IVD	-2.38072144543596	5.63468233247945e-06	No	No
P26992	CNTFR	-2.54901653364758	9.18985956535917e-10	No	No
P27144	AK4	-3.5998893079532	2.17826981861971e-08	No	No
P27487	DPP4	-6.05315783791811	4.2634967835509e-20	No	No
P27544	CERS1	-4.83739865247623	1.08745715250748e-23	No	No
P27816	MAP4	-2.579839795616	4.724781219311149e-13	No	No
P27987	ITPKB	-3.00799298141806	3.4232211163565097e-12	No	No
P28161	GSTM2	-5.20576386789648	9.80050251672202e-19	No	No
P28222	HTR1B	-2.59133693838967	5.26368462263816e-09	No	No
P28300	LOX	-7.3237459129703	6.868989766337379e-22	No	No
P28330	ACADL	-5.2585213167343	3.02603545011456e-09	No	No
P28331	NDUFS1	-2.2411617369383	8.35451543887704e-08	No	No
P28472	GABRB3	-6.39220314655753	8.655439168624719e-12	No	No
P29120	PCSK1	-5.02558408919446	3.2487162360923803e-25	No	No
P29536	LMOD1	-7.82726662641895	1.9156293397974098e-28	No	No
P29728	OAS2	-5.85615623386871	7.62728024410558e-10	No	No
P30038	ALDH4A1	-3.72533075230309	1.1611537006223e-09	No	No
P30039	PBLD	-1.83116494935504	0.0011411078836199	No	No
P30048	PRDX3	-2.20475868619553	7.857238155515019e-11	No	No
P30049	ATP5F1D	-1.9953511548195	1.63758593160773e-05	No	No
P30084	ECHS1	-1.95473959289168	4.72502078969446e-07	No	No
P30405	PPIF	-2.15860643797073	8.3730595333045e-08	No	No
P30414	NKTR	-2.02165650747245	0.006501468923195	No	No
P30559	OXTR	-2.63512097222653	5.1457524172794505e-09	No	No
P30837	ALDH1B1	-5.46269901188391	2.424713177171e-09	No	No
P31040	SDHA	-3.99139633525373	1.98274866585493e-06	No	No
P31644	GABRA5	-3.97888848268624	2.9718540994696704e-09	No	No
