Protein_Group	Genes	SK-Mel-147_vs_WM793_logFC	SK-Mel-147_vs_WM793_pval	Removed?	Contaminant?
Q4G0J3	LARP7	2.51853936395085	1.11726254355398e-07	No	No
Q4VXU2	PABPC1L	7.18271070221375	2.8858550975829e-35	No	No
Q504Q3	PAN2	8.07409160205834	3.1666505439183094e-30	No	No
Q52LW3	ARHGAP29	2.32709286734575	3.25108846172459e-07	No	No
Q53EZ4	CEP55	2.80303858869517	3.97019275587985e-19	No	No
Q53G59	KLHL12	2.42554526607912	0.0027441477616956	No	No
Q53GS7	GLE1	7.33656179942515	5.859741004636831e-14	No	No
Q53LP3	SOWAHC	4.26281048192661	1.5522734393628102e-14	No	No
Q53S33	BOLA3	3.13465351356704	0.0031182179814758	No	No
Q569H4	PRR16	3.87230558769414	2.54681345190901e-07	No	No
Q58A45	PAN3	8.31149940743143	2.08690208947397e-33	No	No
Q58EX7	PLEKHG4	2.33897664862908	0.0057757403222513	No	No
Q58FF6	HSP90AB4P	4.56903725215894	1.99577440516454e-13	No	No
Q5BVD1	TTMP	4.53496520852771	3.71869381136824e-05	No	No
Q5D0E6	DALRD3	3.93279891722248	1.05315468065082e-05	No	No
Q5HYK7	SH3D19	4.20806653986052	4.01359559040502e-22	No	No
Q5JSZ5	PRRC2B	3.74422910352969	5.501782795156289e-13	No	No
Q5JY77	GPRASP1	3.88135358219193	5.67779472926573e-06	No	No
Q5RKV6	EXOSC6	3.34006297294951	5.1632966724719595e-18	No	No
Q5SQI0	ATAT1	2.7076526298796	2.84315678103324e-12	No	No
Q5SRE5	NUP188	3.10337287764093	8.55873827800084e-10	No	No
Q5SSJ5	HP1BP3	2.60527261557521	2.71823733144401e-11	No	No
Q5T0N5	FNBP1L	4.39175532135722	9.33678725986949e-27	No	No
Q5T6S3	PHF19	2.85833512918715	1.66468645998032e-08	No	No
Q5T749	KPRP	3.96672429076929	0.0065052165414394	No	No
Q5T9C2	EEIG1	2.59613395982098	1.0476218614616699e-11	No	No
Q5TDH0	DDI2	2.40699568459355	6.1747052792577204e-21	No	No
Q5U5Q3	MEX3C	5.16598070525746	1.42222896677348e-07	No	No
Q5VST6	ABHD17B	3.28787854799011	8.90286131928845e-19	No	No
Q5VU97	CACHD1	4.02609877882362	9.81035008221675e-19	No	No
Q5XG87	TENT4A	4.08192697306819	3.74757668911571e-06	No	No
Q659C4	LARP1B	7.57214396297337	5.3129862658487194e-11	No	No
Q68EM7	ARHGAP17	3.18043481395875	2.4087045186134902e-24	No	No
Q69YL0	NCBP2AS2	4.83275880864648	3.2341400650217e-11	No	No
Q6AI08	HEATR6	3.13033031706419	8.47958110488541e-22	No	No
Q6AZZ1	TRIM68	5.09011223248574	0.0007736258941183	No	No
Q6BCY4	CYB5R2	6.22730563525073	6.01184808579696e-17	No	No
Q6N022	TENM4	9.35935165330359	4.9809029634893603e-20	No	No
Q6NUS6	TCTN3	2.56271307939528	8.87358873828881e-06	No	No
Q6NW40	RGMB	5.96526363889181	1.48857844906668e-15	No	No
Q6P158	DHX57	3.99599851445103	5.69153880536994e-20	No	No
Q6P3X3	TTC27	3.15352752517433	4.90387613008505e-07	No	No
Q6P499	NIPAL3	3.53114528671816	9.82697005336596e-08	No	No
Q6P9G4	TMEM154	2.99867023335139	1.28814188199668e-10	No	No
Q6PCB8	EMB	8.65621257658885	8.27224058432342e-30	No	No
Q6PKG0	LARP1	4.37235799363448	5.67012373362394e-26	No	No
Q6PKX4	DOK6	3.9689244430698	1.03667584315708e-10	No	No
Q6RFH5	WDR74	2.38039121728968	3.85453219234786e-08	No	No
Q6SJ93	FAM111B	8.03523921430287	2.3024196485625e-08	No	No
Q6UWP8	SBSN	3.60048212201602	0.0008892328241628	No	No
Q6UX15	LAYN	16.0414511307838	8.48459942174211e-42	No	No
Q6UXN9	WDR82	3.36333311440497	8.90232170979259e-21	No	No
Q6W2J9	BCOR	3.46131259115787	6.44675645431406e-05	No	No
Q6XE24	RBMS3	4.1972724727544	3.63971848402365e-17	No	No
Q6XZF7	DNMBP	4.62726953378538	6.21429717462047e-24	No	No
Q6ZN04	MEX3B	4.50884087656524	6.29890149033537e-08	No	No
Q6ZTN6	ANKRD13D	2.71923851591906	2.5837903261098502e-20	No	No
Q6ZUT6	CCDC9B	3.10114303538636	8.67984039399173e-18	No	No
Q6ZVX7	NCCRP1	3.08464362586426	0.0003870404255962	No	No
Q6ZW31	SYDE1	3.60057641435134	0.0005989415936839	No	No
Q70EL1	USP54	6.20268933872126	2.26817827785362e-10	No	No
Q71H61	ILDR2	4.37847119019339	3.9613302485171394e-11	No	No
Q71RC2	LARP4	6.8996129176488	9.90067016661295e-25	No	No
Q76M96	CCDC80	3.14164979049598	3.76293149058349e-05	No	No
Q7L2E3	DHX30	2.66219148004234	2.15964181137458e-16	No	No
Q7L2K0	TEDC2	4.19775332425879	1.29300895765502e-09	No	No
Q7RTV0	PHF5A	4.14329684877475	3.27334721515555e-19	No	No
Q7Z2W4	ZC3HAV1	2.43625089703117	1.55543784976816e-21	No	No
Q7Z3B1	NEGR1	5.22484524865416	1.40634918506629e-25	No	No
Q7Z417	NUFIP2	5.01793926836945	2.28050358733682e-12	No	No
Q7Z553	MDGA2	2.66979482078108	7.20256853345649e-08	No	No
Q7Z6I6	ARHGAP30	6.52330384419999	5.464053293355419e-11	No	No
Q7Z6J0	SH3RF1	3.3487621677448	8.75882731183405e-13	No	No
Q7Z6M3	MILR1	3.14155146882259	7.077107733153429e-16	No	No
Q7Z739	YTHDF3	4.14088195830906	6.687234977409031e-25	No	No
Q86SJ2	AMIGO2	3.53323179706682	1.12036394962905e-13	No	No
