"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0072359","GO:0072359",36,"GO:0002040",0.750722865065016,1222,"circulatory system development","sprouting angiogenesis",0.892789687924016,0.300909090909091,0.751
"GO:0060191","GO:0060191",14,"GO:0051004",0.750722865065016,78,"regulation of lipase activity","regulation of lipoprotein lipase activity",0.934575305291723,0.292285714285714,0.91
"GO:0051151","GO:0051151",17,"GO:0051146",0.750722865065016,22,"negative regulation of smooth muscle cell differentiation","striated muscle cell differentiation",0.866489823609227,0.2918,0.753
"GO:1905063","GO:1905063",17,"GO:0051146",0.750722865065016,25,"regulation of vascular associated smooth muscle cell differentiation","striated muscle cell differentiation",0.865516960651289,0.2907,0.755
"GO:0120031","GO:0120031",27,"GO:0051491",0.750722865065016,578,"plasma membrane bounded cell projection assembly","positive regulation of filopodium assembly",0.885363636363636,0.28825,0.747
"GO:1905209","GO:1905209",43,"GO:1905209",0.750722865065016,18,"positive regulation of cardiocyte differentiation","positive regulation of cardiocyte differentiation",0.838073270013568,0.2872,0
"GO:2000727","GO:2000727",43,"GO:1905209",0.750722865065016,11,"positive regulation of cardiac muscle cell differentiation","positive regulation of cardiocyte differentiation",0.835792401628223,0.2856,0.97
"GO:0010977","GO:0010977",6,"GO:0120034",0.750722865065016,140,"negative regulation of neuron projection development","positive regulation of plasma membrane bounded cell projection assembly",0.77549118046133,0.28445,0.74
"GO:0048488","GO:0048488",28,"GO:0140238",0.750722865065016,71,"synaptic vesicle endocytosis","presynaptic endocytosis",0.935078697421981,0.279,0.999
"GO:0048714","GO:0048714",49,"GO:0048714",0.750722865065016,27,"positive regulation of oligodendrocyte differentiation","positive regulation of oligodendrocyte differentiation",0.836336499321574,0.2686,0
"GO:0050806","GO:0050806",9,"GO:0051966",0.750722865065016,174,"positive regulation of synaptic transmission","regulation of synaptic transmission, glutamatergic",0.868242876526459,0.266777777777778,0.749
"GO:0010591","GO:0010591",6,"GO:0120034",0.750722865065016,41,"regulation of lamellipodium assembly","positive regulation of plasma membrane bounded cell projection assembly",0.857089552238806,0.2658,0.847
"GO:0048699","GO:0048699",4,"GO:0007399",0.750722865065016,1485,"generation of neurons","nervous system development",0.872898236092266,0.25,0.862
"GO:0051153","GO:0051153",17,"GO:0051146",0.750722865065016,97,"regulation of striated muscle cell differentiation","striated muscle cell differentiation",0.873436906377205,0.2475,0.893
"GO:0048514","GO:0048514",36,"GO:0002040",0.750722865065016,707,"blood vessel morphogenesis","sprouting angiogenesis",0.893472184531886,0.239,0.862
"GO:0030198","GO:0030198",21,"GO:0043062",0.748064565949498,321,"extracellular matrix organization","extracellular structure organization",0.928276797829037,0.5015,0.997
"GO:0035357","GO:0035357",70,"GO:0035357",0.743099292511571,24,"peroxisome proliferator activated receptor signaling pathway","peroxisome proliferator activated receptor signaling pathway",0.91297829036635,1,0
