term,fdr,Odds Ratio,Combined Score,Genes,description
FCERI Mediated MAPK Activation,0.5441261,1.88456,2.295436,IGKV2D-30;IGHE,FCERI Mediated MAPK Activation
FCERI Mediated Ca+2 Mobilization,0.5459136,1.860114,2.23387,IGKV2D-30;IGHE,FCERI Mediated Ca+2 Mobilization
Extracellular Matrix Organization,0.5459136,1.471304,1.765932,CEACAM1;PLG;A2M;KLKB1,Extracellular Matrix Organization
Glycosphingolipid Metabolism,0.5577839,2.781488,3.238912,B4GALT5,Glycosphingolipid Metabolism
Keratan Sulfate Keratin Metabolism,0.5577839,2.781488,3.238912,B4GALT5,Keratan Sulfate Keratin Metabolism
FCGR3A-mediated IL10 Synthesis,0.562763,1.768293,2.007982,IGHG3;IGKV2D-30,FCGR3A-mediated IL10 Synthesis
Adipogenesis,0.562763,2.678063,3.038296,ADIPOQ,Adipogenesis
Signaling by ERBB4,0.562763,2.678063,3.038296,EGFR,Signaling by ERBB4
Signaling by ERBB2,0.5712028,2.582025,2.85529,EGFR,Signaling by ERBB2
Gene and Protein Expression by JAK-STAT Signaling After Interleukin-12 Stimulation,0.5712028,2.582025,2.85529,CA1,Gene and Protein Expression by JAK-STAT Signaling After Interleukin-12 Stimulation
Epigenetic Regulation by WDR5-containing Histone Modifying Complexes,0.5791972,2.492611,2.687855,ADIPOQ,Epigenetic Regulation by WDR5-containing Histone Modifying Complexes
Amyloid Fiber Formation,0.5791972,2.492611,2.687855,CST3,Amyloid Fiber Formation
Cell Surface Interactions at the Vascular Wall,0.5978647,1.441179,1.492853,PROCR;CEACAM1;IGKV2D-30,Cell Surface Interactions at the Vascular Wall
Signaling by EGFR,0.5978647,2.331088,2.392956,EGFR,Signaling by EGFR
Phase I - Functionalization of Compounds,0.5978647,2.331088,2.392956,AOC3,Phase I - Functionalization of Compounds
Diseases of Metabolism,0.6001953,1.412447,1.418756,EXT1;NAGLU;CFP,Diseases of Metabolism
O-linked Glycosylation of Mucins,0.6001953,2.257898,2.262687,B4GALT5,O-linked Glycosylation of Mucins
Cross-presentation of Soluble Exogenous Antigens (Endosomes),0.6001953,2.257898,2.262687,MRC1,Cross-presentation of Soluble Exogenous Antigens (Endosomes)
Constitutive Signaling by Aberrant PI3K in Cancer,0.6001953,2.189144,2.142308,EGFR,Constitutive Signaling by Aberrant PI3K in Cancer
Interleukin-12 Signaling,0.6001953,2.189144,2.142308,CA1,Interleukin-12 Signaling
Diseases Associated With O-glycosylation of Proteins,0.6001953,2.189144,2.142308,CFP,Diseases Associated With O-glycosylation of Proteins
Diseases of Glycosylation,0.6001953,1.556511,1.521232,EXT1;CFP,Diseases of Glycosylation
Adherens Junctions Interactions,0.6055096,2.124434,2.030832,NECTIN1,Adherens Junctions Interactions
Diseases Associated With Glycosaminoglycan Metabolism,0.6055096,2.124434,2.030832,EXT1,Diseases Associated With Glycosaminoglycan Metabolism
Potential Therapeutics for SARS,0.6335657,1.460831,1.318199,IGKV2D-30;IGHD,Potential Therapeutics for SARS
Hh Mutants Are Degraded by ERAD,0.6335657,1.951292,1.741683,SHH,Hh Mutants Are Degraded by ERAD
Transmission Across Chemical Synapses,0.6335657,1.446,1.28773,BCHE;CACNA2D1,Transmission Across Chemical Synapses
Parasitic Infection Pathways,0.6335657,1.299872,1.143725,IGHG3;CD163;IGKV2D-30,Parasitic Infection Pathways
Leishmania Infection,0.6335657,1.299872,1.143725,IGHG3;CD163;IGKV2D-30,Leishmania Infection
Hh Mutants Abrogate Ligand Secretion,0.6341782,1.899653,1.658144,SHH,Hh Mutants Abrogate Ligand Secretion
Interleukin-12 Family Signaling,0.6662958,1.75985,1.438601,CA1,Interleukin-12 Family Signaling
Hedgehog Ligand Biogenesis,0.667937,1.717687,1.374371,SHH,Hedgehog Ligand Biogenesis
Cell-cell Junction Organization,0.667937,1.717687,1.374371,NECTIN1,Cell-cell Junction Organization
FCERI Mediated NF-kB Activation,0.667937,1.324771,1.049216,IGKV2D-30;IGHE,FCERI Mediated NF-kB Activation
MITF-M-dependent Gene Expression,0.667937,1.677485,1.314021,CEACAM1,MITF-M-dependent Gene Expression
Signaling by PDGF,0.667937,1.639111,1.257244,PLG,Signaling by PDGF
FCGR3A-mediated Phagocytosis,0.667937,1.277089,0.9607617,IGHG3;IGKV2D-30,FCGR3A-mediated Phagocytosis
Parasite Infection,0.667937,1.277089,0.9607617,IGHG3;IGKV2D-30,Parasite Infection
Leishmania Phagocytosis,0.667937,1.277089,0.9607617,IGHG3;IGKV2D-30,Leishmania Phagocytosis
Extra-nuclear Estrogen Signaling,0.667937,1.602442,1.203766,EGFR,Extra-nuclear Estrogen Signaling
Gastrulation,0.667937,1.602442,1.203766,SHH,Gastrulation
Hedgehog 'On' State,0.667937,1.602442,1.203766,SHH,Hedgehog 'On' State
Regulation of Actin Dynamics for Phagocytic Cup Formation,0.6698514,1.265692,0.9400835,IGHG3;IGKV2D-30,Regulation of Actin Dynamics for Phagocytic Cup Formation
Metabolism of Carbohydrates,0.6721077,1.170118,0.8586434,EXT1;NAGLU;B4GALT5,Metabolism of Carbohydrates
Sphingolipid Metabolism,0.6798329,1.501603,1.060752,B4GALT5,Sphingolipid Metabolism
Interleukin-4 and Interleukin-13 Signaling,0.6798329,1.501603,1.060752,IGHE,Interleukin-4 and Interleukin-13 Signaling
Signaling by the B Cell Receptor (BCR),0.6798329,1.222034,0.8625741,IGKV2D-30;IGHD,Signaling by the B Cell Receptor (BCR)
Post-translational Protein Modification,0.6829048,1.041687,0.7249028,CST3;BST1;VNN1;SERPINC1;FUCA1;FUCA2;IGFBP7;CNTN4;CFP;ART3;B4GALT5,Post-translational Protein Modification
Bacterial Infection Pathways,0.6836771,1.441099,0.9779154,MRC1,Bacterial Infection Pathways
HCMV Early Events,0.6836771,1.441099,0.9779154,EGFR,HCMV Early Events
Cellular Senescence,0.6836771,1.441099,0.9779154,IGFBP7,Cellular Senescence
"Plasma Lipoprotein Assembly, Remodeling, and Clearance",0.6891794,1.412627,0.9397369,A2M,"Plasma Lipoprotein Assembly, Remodeling, and Clearance"
PI3K AKT Signaling in Cancer,0.7033423,1.358905,0.8691472,EGFR,PI3K AKT Signaling in Cancer
Metabolism of Proteins,0.7046083,1.00693,0.6341157,BCHE;CPB2;CPB1;SERPINC1;FUCA1;IGFBP2;FUCA2;PLG;CFP;PLA2G7;ART3;CST3;BST1;VNN1;IGFBP7;CNTN4;B4GALT5,Metabolism of Proteins
Respiratory Syncytial Virus Infection Pathway,0.7046083,1.333537,0.8364862,EGFR,Respiratory Syncytial Virus Infection Pathway
Fcgamma Receptor (FCGR) Dependent Phagocytosis,0.7207036,1.098558,0.6585427,IGHG3;IGKV2D-30,Fcgamma Receptor (FCGR) Dependent Phagocytosis
"PI5P, PP2A and IER3 Regulate PI3K AKT Signaling",0.7290982,1.240811,0.7209282,EGFR,"PI5P, PP2A and IER3 Regulate PI3K AKT Signaling"
Neuronal System,0.7290982,1.073466,0.6199457,BCHE;CACNA2D1,Neuronal System
Cell Junction Organization,0.7307182,1.219594,0.69536,NECTIN1,Cell Junction Organization
Regulation of mRNA Stability by Proteins That Bind AU-rich Elements,0.7347325,1.199084,0.6709634,ENPP2,Regulation of mRNA Stability by Proteins That Bind AU-rich Elements
Epigenetic Regulation of Gene Expression,0.7384899,1.16005,0.6254165,ADIPOQ,Epigenetic Regulation of Gene Expression
Negative Regulation of the PI3K AKT Network,0.7384899,1.16005,0.6254165,EGFR,Negative Regulation of the PI3K AKT Network
GPCR Ligand Binding,0.7384899,1.141462,0.6041438,SHH,GPCR Ligand Binding
Integration of Energy Metabolism,0.7384899,1.141462,0.6041438,ADIPOQ,Integration of Energy Metabolism
MITF-M-regulated Melanocyte Development,0.7384899,1.141462,0.6041438,CEACAM1,MITF-M-regulated Melanocyte Development
Transport to the Golgi and Subsequent Modification,0.7393271,1.011737,0.5293168,FUCA1;B4GALT5,Transport to the Golgi and Subsequent Modification
Fc Epsilon Receptor (FCERI) Signaling,0.745089,0.9973765,0.5091356,IGKV2D-30;IGHE,Fc Epsilon Receptor (FCERI) Signaling
Glycerophospholipid Biosynthesis,0.7484589,1.089078,0.5456802,BCHE,Glycerophospholipid Biosynthesis
Cargo Recognition for Clathrin-Mediated Endocytosis,0.7515284,1.072659,0.5278182,EGFR,Cargo Recognition for Clathrin-Mediated Endocytosis
HCMV Infection,0.767398,1.026217,0.4785275,EGFR,HCMV Infection
Antigen processing-Cross Presentation,0.778087,0.9835918,0.4349393,MRC1,Antigen processing-Cross Presentation
G Alpha (Q) Signalling Events,0.778087,0.9701515,0.4215327,EGFR,G Alpha (Q) Signalling Events
Signaling by Hedgehog,0.778087,0.9570696,0.4086421,SHH,Signaling by Hedgehog
L1CAM Interactions,0.778087,0.9570696,0.4086421,EGFR,L1CAM Interactions
ESR-mediated Signaling,0.778087,0.9570696,0.4086421,EGFR,ESR-mediated Signaling
Transport of Small Molecules,0.778087,0.8959818,0.379681,CA1;AZGP1;MB;A2M,Transport of Small Molecules
Cell-Cell Communication,0.8256558,0.8431803,0.303304,NECTIN1,Cell-Cell Communication
Biological Oxidations,0.8411905,0.8047907,0.2707237,AOC3,Biological Oxidations
