Protein_Group	Genes	SAX_vs_RAW_logFC	SAX_vs_RAW_pval	Removed?	Contaminant?
O55103	Prx	4.49565313067298	6.83908442900598e-08	No	No
O55106	Strn	8.64779629304479	4.81359700315845e-16	No	No
O55111	Dsg2	3.36264175741035	5.04392323588741e-11	No	No
O55126	Nipsnap2	7.14364588353438	7.621875300033709e-18	No	No
O55128	Sap18	3.67273209708819	1.21111002512308e-12	No	No
O55131	Septin7	5.24614703971625	6.48880654179838e-10	No	No
O55134	Pcdh12	3.45063417243899	8.53546773960697e-10	No	No
O55135	Eif6	3.99043091518818	6.076583651648141e-09	No	No
O55142	Rpl35a	3.91227171891168	6.094596703726351e-09	No	No
O55143	Atp2a2	7.19492857540624	9.00463621958894e-14	No	No
O55188	Dmp1	4.15349723766849	1.27702733065048e-14	No	No
O55189	Ambn	4.69474012331335	7.159986361753209e-12	No	No
O55201	Supt5h	3.21541132463303	0.0027169935739254	No	No
O55222	Ilk	3.69690087408602	2.68470567977471e-07	No	No
O55234	Psmb5	4.21182934977992	2.36359529872758e-13	No	No
O70133	Dhx9	5.8076248486086	1.15458416566676e-06	No	No
O70152	Dpm1	2.2071140429318	3.08683591670828e-05	No	No
O70161	Pip5k1c	4.13368189264059	3.47097621484334e-16	No	No
O70172	Pip4k2a	4.93310263098721	1.65827867290437e-11	No	No
O70194	Eif3d	5.82905184858901	5.88742564528783e-14	No	No
O70251	Eef1b	4.75897521421657	3.66266082737169e-12	No	No
O70252	Hmox2	7.23167069888359	4.51731933302467e-08	No	No
O70305	Atxn2	2.26318139872357	2.65726082116819e-06	No	No
O70309	Itgb5	3.74045296641868	2.68633004991988e-07	No	No
O70318	Epb41l2	6.7613362186469	9.07661167465621e-14	No	No
O70325	Gpx4	2.17415702302762	0.0002000784654754	No	No
O70378	Emc8	6.57535374239003	3.26535287930048e-08	No	No
O70400	Pdlim1	3.5673772135275	4.33029400905526e-06	No	No
O70404	Vamp8	4.93674415234845	1.50922444698152e-08	No	No
O70423	Aoc3	4.35589224467864	5.1112941140569196e-11	No	No
O70435	Psma3	3.79946558135401	1.6737776504792098e-12	No	No
O70439	Stx7	5.66820343620114	2.28171944396782e-12	No	No
O70443	Gnaz	5.6940636670558	4.94600815530396e-10	No	No
O70456	Sfn	5.03885552842608	2.5397765427023797e-11	No	No
O70469	Dok2	4.71540622390308	2.6745304182574e-08	No	No
O70475	Ugdh	1.52930816931713	1.75305915207844e-05	No	No
O70492	Snx3	2.41462253630052	0.0097898521366069	No	No
O70493	Snx12	1.69402826226773	8.7217479905893e-06	No	No
O70503	Hsd17b12	3.04881500660383	2.30161973489733e-05	No	No
O70570	Pigr	2.00920966996496	1.67809926585206e-07	No	No
O70591	Pfdn2	3.32935646120949	8.93448309255171e-08	No	No
O70624	Myoc	3.21047043735775	0.0013700591472471	No	No
O88186	Gp9	9.62074581624934	6.33683912486141e-18	No	No
O88199	Chst3	3.20875139321819	3.45263066100759e-05	No	No
O88200	Clec11a	4.45311233347688	2.75701987895068e-13	No	No
O88207	Col5a1	5.27180627309437	5.431588974265919e-11	No	No
O88307	Sorl1	6.14203977374257	9.38464366533303e-06	No	No
O88322	Nid2	5.47548718899493	7.74944173723504e-12	No	No
O88338	Cdh16	5.98090043938293	3.8025674230504095e-11	No	No
O88342	Wdr1	1.95689229941149	0.0002182766487173	No	No
O88351	Ikbkb	7.90469653925116	2.87478873086254e-09	No	No
O88441	Mtx2	2.44767274290955	2.9609134291397596e-11	No	No
O88447	Klc1	5.86367043873192	5.44604936853355e-08	No	No
O88448	Klc2	6.74989437231546	1.36318196450591e-14	No	No
O88456	Capns1	3.12376885083082	2.36251829506254e-09	No	No
O88487	Dync1i2	5.17037349357076	3.3047182069219603e-09	No	No
O88522	Ikbkg	2.50432925855467	1.7822882705325602e-09	No	No
O88543	Cops3	2.84044130155418	3.4497323406562e-05	No	No
O88544	Cops4	4.87266107052185	1.07795409625103e-10	No	No
O88545	Cops6	3.64840692208734	5.09299991925935e-08	No	No
O88569	Hnrnpa2b1	2.500005862592	0.0001031986800624	No	No
O88572	Lrp6	5.79307439746538	2.78868312894265e-09	No	No
O88597	Becn1	9.46619036983632	5.54362227648475e-15	No	No
O88643	Pak1	1.91558750461426	1.31290272460617e-05	No	No
O88673	Dgka	2.27716764524882	1.30091401878901e-12	No	No
O88685	Psmc3	5.07512781796841	3.18853815633759e-10	No	No
O88696	Clpp	7.73160142875022	4.08278087902671e-15	No	No
O88712	Ctbp1	2.02267800103688	1.00346306019886e-07	No	No
O88738	Birc6	7.15955938237966	1.66497687058525e-14	No	No
O88783	F5	1.96460973242465	1.20803371820995e-06	No	No
O88786	Il13ra2	3.98300768932119	2.22349705425368e-08	No	No
O88792	F11r	6.42893675438692	2.99719556982065e-14	No	No
O88811	Stam2	2.83176530646973	3.830836434043e-08	No	No
O88842	Fgd3	2.89057721228051	0.0001121481768269	No	No
O88845	Akap10	4.96117890035654	2.56489208527603e-13	No	No
O88879	Apaf1	4.15727514890887	1.31158905411515e-05	No	No
O88942	Nfatc1	3.03025961269644	1.82028849389077e-05	No	No
O88947	F10	3.9845674951562	3.57308593208683e-13	No	No
O88952	Lin7c	7.07221343222836	4.89657491238908e-20	No	No
O88983	Stx8	3.5761774195529	2.70127440117026e-06	No	No
O89051	Itm2b	3.1689052315477	5.37005658715258e-08	No	No
O89053	Coro1a	3.98501046172801	3.44605509211232e-09	No	No
O89079	Cope	3.5426767666559	8.81144197216415e-12	No	No
O89086	Rbm3	4.81075157190665	2.33584421182429e-09	No	No
O89094	Casp14	3.59159120647725	2.85127076401886e-07	No	No
O89100	Grap2	7.20129764125264	1.27980353279525e-12	No	No
O89103	Cd93	2.87586308948451	9.22235569344941e-10	No	No
O89110	Casp8	4.7913820666837	3.84723061162686e-06	No	No
O89116	Vti1a	3.39912874444861	4.422337847942381e-09	No	No
P00405	Mtco2	5.78033240588959	2.29282002959971e-10	No	No
P00416	mt-Co3	8.38926601287029	5.785251540942801e-22	No	No
P01029	C4b	1.98920147898776	7.86218583998443e-07	No	No
P01132	Egf	4.91773909702417	4.5503522230070195e-11	No	No
P01592	Jchain	2.58078636722871	1.2073711630961e-08	No	No
P01667	gene	9.02280577771488	1.7752148144326302e-15	No	No
P01749	Ighv1-61	1.28536844536546	0.0080366780321462	No	No
P01750	gene	1.03920422912508	0.0029294235107615	No	No
P01831	Thy1	2.8681838767512	9.90743414503298e-08	No	No
P01872	Ighm	1.16034618902997	0.0002605257784105	No	No
P01878	gene	1.63455007585979	4.16510491818851e-05	No	No
P01901	H2-K1	3.06678623461616	3.20366233693948e-06	No	No
P02301;P68433;P84228;P84244	H3-3b;H3-5;H3c11;H3c15	5.29072724053214	8.57514024072686e-08	No	No
P02468	Lamc1	3.76262330792939	1.31833242617224e-10	No	No
P02469	Lamb1	3.47730716222009	3.27889326752888e-10	No	No
P02816	Pip	5.01907817762016	9.74364214378758e-10	No	No
P03921	Mtnd5	1.9888433140968	2.17993733216374e-09	No	No
P03953	Cfd	4.0539412616125	2.17311573145935e-10	No	No
P04202	Tgfb1	3.57881469358163	8.26553729940787e-10	No	No
P04441	Cd74	4.7468990340912	5.24265902108559e-13	No	No
P04627	Araf	3.71905390107652	3.6156452791549e-09	No	No
P04919	Slc4a1	1.73105202078686	0.000178133705289	No	No
