Protein_Group	Genes	MoMacs_day15_vs_MoMacs_day30_logFC	MoMacs_day15_vs_MoMacs_day30_pval	Removed?	Contaminant?
P25976	Ubtf	-4.08051524977486	0.0026963393151515	No	No
P26040	Ezr	-3.07538076119124	0.0004282817901791	No	No
P26041	Msn	-2.35499813180654	0.0001180531208903	No	No
P26043	Rdx	-3.15501067210771	0.0058853128860659	No	No
P26350	Ptma	-2.0245502731345	0.0040202059713594	No	No
P26443	Glud1	-4.00612569346228	8.77255684237911e-05	No	No
P26645	Marcks	-2.699232996373	0.0053293127426297	No	No
P27005	S100a8	-5.25565929313546	2.84697628459818e-08	No	No
P27546	Map4	-4.77144141286946	0.0095864019938603	No	No
P27612	Plaa	-3.1417418364424	0.0058750912401062	No	No
P27773	Pdia3	-3.42340508292941	5.84820055791303e-05	No	No
P28063	Psmb8	-2.26470059233693	0.0001846605838475	No	No
P28076	Psmb9	-2.66722941736166	0.0001689298045042	No	No
P28271	Aco1	-2.63079152716035	0.000173575081038	No	No
P28293	Ctsg	-6.27906866703753	8.71825271821317e-09	No	No
P28352	Apex1	-4.78677571250704	0.0005390024851701	No	No
P28658	Atxn10	-3.59361617316316	0.0002654416157902	No	No
P28659	Celf1	-3.26684017972111	0.0012811930578744	No	No
P28665	Mug1	-8.7806305031626	1.30060051815391e-05	No	No
P28867	Prkcd	-2.96195701688551	0.0027864374527497	No	No
P29351	Ptpn6	-3.6289518976058	1.94822401033883e-05	No	No
P29391	Ftl1	-2.08560362016906	0.003076416673795	No	No
P29758	Oat	-5.12974817825913	5.09189213298728e-07	No	No
P29788	Vtn	-6.010226604205	5.83345812684141e-08	No	No
P30681	Hmgb2	-2.23189741231772	0.0065424031126276	No	No
P31230	Aimp1	-3.34657643142018	0.0069917930452488	No	No
P31725	S100a9	-5.74163858604843	1.80104130368555e-07	No	No
P31750	Akt1	-5.89956696779994	0.0001459686014907	No	No
P32067	Ssb	-3.42936499340415	0.003226882535895	No	No
P32921	Wars1	-4.69792313592716	0.0009656196543832	No	No
P33267	Cyp2f2	-4.7105089733584	0.0021475320851911	No	No
