,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
107,GO:0006465,signal peptide processing,GO:0006465,0.2312659,10.81928,25.2899,PCSK5,Signal Peptide Processing (GO:0006465)
108,GO:0048566,embryonic digestive tract development,GO:0048566,0.2387392,9.916667,22.42705,PCSK5,Embryonic Digestive Tract Development (GO:0048566)
109,GO:0006895,Golgi to endosome transport,GO:0006895,0.2484303,9.152919,20.05905,SORT1,Golgi To Endosome Transport (GO:0006895)
110,GO:0045740,positive regulation of DNA replication,GO:0045740,0.2484303,9.152919,20.05905,DNA2,Positive Regulation Of DNA Replication (GO:0045740)
111,GO:0098901,regulation of cardiac muscle cell action potential,GO:0098901,0.2565386,8.498279,18.07288,DSG2,Regulation Of Cardiac Muscle Cell Action Potential (GO:0098901)
112,GO:0016192,vesicle-mediated transport,GO:0016192,0.2565386,1.995545,4.248584,HOOK2;SORT1;KIF5A;CHML;PRSS12,Vesicle-Mediated Transport (GO:0016192)
113,GO:0072595,maintenance of protein localization in organelle,GO:0072595,0.2565386,8.498279,18.07288,BBS4,Maintenance Of Protein Localization In Organelle (GO:0072595)
114,GO:0000076,DNA replication checkpoint signaling,GO:0000076,0.2565386,8.498279,18.07288,DNA2,DNA Replication Checkpoint Signaling (GO:0000076)
115,GO:0090305,nucleic acid phosphodiester bond hydrolysis,GO:0090305,0.2635628,7.930924,16.38692,DNA2,Nucleic Acid Phosphodiester Bond Hydrolysis (GO:0090305)
116,GO:0016050,vesicle organization,GO:0016050,0.2660788,3.235003,6.495183,HOOK2;SORT1,Vesicle Organization (GO:0016050)
117,GO:0043153,entrainment of circadian clock by photoperiod,GO:0043153,0.2660788,7.434488,14.94086,PER3,Entrainment Of Circadian Clock By Photoperiod (GO:0043153)
118,GO:0007286,spermatid development,GO:0007286,0.2672924,6.996456,13.68921,BBS4,Spermatid Development (GO:0007286)
119,GO:0048706,embryonic skeletal system development,GO:0048706,0.2672924,6.996456,13.68921,PCSK5,Embryonic Skeletal System Development (GO:0048706)
120,GO:0001895,retina homeostasis,GO:0001895,0.2672924,6.996456,13.68921,BBS4,Retina Homeostasis (GO:0001895)
121,GO:0045747,positive regulation of Notch signaling pathway,GO:0045747,0.2693999,6.607095,12.59709,ROBO1,Positive Regulation Of Notch Signaling Pathway (GO:0045747)
122,GO:0015908,fatty acid transport,GO:0015908,0.2693999,6.607095,12.59709,FABP7,Fatty Acid Transport (GO:0015908)
123,GO:0045022,early endosome to late endosome transport,GO:0045022,0.2693999,6.607095,12.59709,HOOK2,Early Endosome To Late Endosome Transport (GO:0045022)
124,GO:0009952,anterior/posterior pattern specification,GO:0009952,0.2731453,6.258719,11.63732,PCSK5,Anterior/Posterior Pattern Specification (GO:0009952)
125,GO:0008625,extrinsic apoptotic signaling pathway via death domain receptors,GO:0008625,0.2731453,6.258719,11.63732,SORT1,Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:0008625)
126,GO:0048545,response to steroid hormone,GO:0048545,0.2731453,6.258719,11.63732,TGFB3,Response To Steroid Hormone (GO:0048545)
127,GO:0030041,actin filament polymerization,GO:0030041,0.2731453,6.258719,11.63732,MSRB2,Actin Filament Polymerization (GO:0030041)
128,GO:0007224,smoothened signaling pathway,GO:0007224,0.2790878,5.945181,10.78843,B9D1,Smoothened Signaling Pathway (GO:0007224)
129,GO:0007010,cytoskeleton organization,GO:0007010,0.2790878,2.881575,5.27183,PLCE1;FGD1,Cytoskeleton Organization (GO:0007010)
130,GO:0071705,nitrogen compound transport,GO:0071705,0.2790878,2.881575,5.27183,TXNIP;NRG1,Nitrogen Compound Transport (GO:0071705)
131,GO:0009891,positive regulation of biosynthetic process,GO:0009891,0.2846643,5.661503,10.03326,TGFB3,Positive Regulation Of Biosynthetic Process (GO:0009891)
132,GO:0150063,visual system development,GO:0150063,0.2892653,5.403614,9.35794,FREM2,Visual System Development (GO:0150063)
133,GO:2000772,regulation of cellular senescence,GO:2000772,0.2994361,4.952309,8.203508,NUAK1,Regulation Of Cellular Senescence (GO:2000772)
134,GO:0080171,lytic vacuole organization,GO:0080171,0.3031533,4.753735,7.707315,HOOK2,Lytic Vacuole Organization (GO:0080171)
135,GO:0090304,nucleic acid metabolic process,GO:0090304,0.3031533,4.753735,7.707315,DNA2,Nucleic Acid Metabolic Process (GO:0090304)
