Protein_Group	Genes	WM793_vs_FMC29_logFC	WM793_vs_FMC29_pval	Removed?	Contaminant?
Q08828	ADCY1	2.65906702390132	1.57662625102674e-06	No	No
Q0P6H9	TMEM62	2.77843644545482	0.0058067427708762	No	No
Q0ZGT2	NEXN	3.55723282749112	1.21632553120555e-14	No	No
Q10472	GALNT1	4.35657200994438	5.604458709495439e-18	No	No
Q10589	BST2	2.55865131213902	9.5996592043294e-05	No	No
Q11206	ST3GAL4	2.88134937194848	1.67019460844165e-07	No	No
Q12809	KCNH2	4.52991159697808	3.94213859875792e-06	No	No
Q12836	ZP4	10.0351050166416	1.19327074960549e-22	No	No
Q12894	IFRD2	2.47862148622324	2.45874148783404e-08	No	No
Q12983	BNIP3	4.52148539182872	6.424037126131031e-15	No	No
Q12999	TSPAN31	3.01814201051889	1.6463297972673002e-10	No	No
Q13002	GRIK2	4.27090309664151	3.13923059577982e-08	No	No
Q13007	IL24	5.57130114298198	1.8000360266496702e-14	No	No
Q13093	PLA2G7	5.66913011906179	1.3862827651451e-18	No	No
Q13094	LCP2	5.55260189429265	1.50801274422373e-08	No	No
Q13214	SEMA3B	5.49221648135411	8.09051717960178e-10	No	No
Q13239	SLA	4.74379068148032	1.28514175916608e-09	No	No
Q13287	NMI	3.1141678135638	1.3214563071560501e-14	No	No
Q13322	GRB10	2.57847128114868	0.0007131240490731	No	No
Q13336	SLC14A1	4.21940295783743	1.2074581121497202e-15	No	No
Q13438	OS9	4.91700499731634	0.0020720054397659	No	No
Q13442	PDAP1	2.39863076020252	1.30736587076429e-14	No	No
Q13454	TUSC3	2.59665227591047	1.51244066600501e-12	No	No
Q13469	NFATC2	3.42204117595293	6.58918782353598e-11	No	No
Q13478	IL18R1	8.72678649598772	4.27452373716047e-18	No	No
Q13508	ART3	12.2763841148117	1.7391961471413098e-30	No	No
Q13530	SERINC3	2.39499782963214	2.69271946196575e-17	No	No
Q13535	ATR	5.36392953303941	3.42738561756242e-05	No	No
Q13571	LAPTM5	6.9441285163031	2.7825134092668004e-32	No	No
Q13608	PEX6	3.17498391491334	0.0071499393203677	No	No
Q13635	PTCH1	3.78544340889678	2.13660270631295e-14	No	No
Q13641	TPBG	2.53504410549663	3.50922300141439e-18	No	No
Q13772	NCOA4	4.38289028126722	5.38077989851803e-13	No	No
Q13794	PMAIP1	6.34272596268205	2.31560008356521e-22	No	No
Q13797	ITGA9	3.22385226890968	1.2581354413667901e-10	No	No
Q13889	GTF2H3	3.71658697459599	3.75166204192828e-06	No	No
