Protein_Group	Genes	SK-Mel-147_vs_HIM-ST_logFC	SK-Mel-147_vs_HIM-ST_pval	Removed?	Contaminant?
Q07157	TJP1	2.73618652232496	8.03512739231885e-23	No	No
Q07352	ZFP36L1	4.40682480896516	5.72106828586355e-21	No	No
Q07817	BCL2L1	2.62010794470881	3.06871552548723e-05	No	No
Q07820	MCL1	3.08401477804611	2.48650069590721e-07	No	No
Q07912	TNK2	4.25465289143837	1.56608288485276e-17	No	No
Q08174	PCDH1	3.19047269255024	1.0304870060628501e-14	No	No
Q08188	TGM3	3.95393062701983	0.0065984289281775	No	No
Q08554	DSC1	3.64308965769805	0.0002609755857887	No	No
Q0JRZ9	FCHO2	2.74676708427151	4.35093660598076e-19	No	No
Q0VAA5	PLCXD2	2.77080342617743	5.43995946160045e-08	No	No
Q0VAQ4	SMAGP	3.79610561683474	2.5694821587500602e-15	No	No
Q0ZGT2	NEXN	4.51098450618335	2.17682042683292e-17	No	No
Q12834	CDC20	5.45828807879378	1.8509535413151502e-19	No	No
Q12874	SF3A3	2.81765882572307	6.958092110233471e-14	No	No
Q12891	HYAL2	4.32925131310054	3.39450349195315e-20	No	No
Q12894	IFRD2	3.29748699109899	5.3161865179515297e-11	No	No
Q12899	TRIM26	5.67286466656782	4.00560150248801e-25	No	No
Q12905	ILF2	3.40263209486882	6.09916373266196e-20	No	No
Q12906	ILF3	4.30746640271506	4.32664449720295e-24	No	No
Q12926	ELAVL2	7.40928078322721	1.3606780229213699e-11	No	No
Q12965	MYO1E	3.2823094956921	1.04426095921281e-27	No	No
Q13007	IL24	5.59277385321679	1.62965456839126e-14	No	No
Q13064	MKRN3	9.50997476151852	1.09678779428566e-38	No	No
Q13123	IK	2.62232232004775	1.28256753573139e-12	No	No
Q13219	PAPPA	11.3503965104396	8.039876559953e-28	No	No
Q13239	SLA	7.11368225459928	8.98627331488708e-14	No	No
Q13242	SRSF9	4.22725163437489	1.36312263417795e-17	No	No
Q13296	SCGB2A2	4.32083647333955	6.57567197333545e-12	No	No
Q13310	PABPC4	6.08881792287653	6.287762125051431e-31	No	No
