Protein_Group	Genes	HIM-ST_vs_FMC29_logFC	HIM-ST_vs_FMC29_pval	Removed?	Contaminant?
Q14142	TRIM14	3.14369490740467	1.83309025610649e-11	No	No
Q14146	URB2	5.15634954155966	1.12012638894261e-06	No	No
Q14197	MRPL58	3.59992979682783	2.4513925357774e-05	No	No
Q14202	ZMYM3	2.14215401710651	0.0032221274124339	No	No
Q14392	LRRC32	5.71597550826425	2.55915387169374e-12	No	No
Q14439	GPR176	3.01493451643256	1.0633381829648e-09	No	No
Q14524	SCN5A	3.45436970667737	1.00679140108207e-05	No	No
Q14534	SQLE	1.95499789656683	0.0038868644096953	No	No
Q14554	PDIA5	3.79803448676543	0.0016756891918377	No	No
Q14676	MDC1	1.93484508702823	3.0686762656723e-09	No	No
Q14684	RRP1B	4.60997171608344	2.85024381079128e-05	No	No
Q14690	PDCD11	4.48220423554585	1.70125584606925e-05	No	No
Q14692	BMS1	3.7570574236224	2.54698463977297e-05	No	No
Q14739	LBR	2.19323040731326	3.05981464132987e-06	No	No
Q14764	MVP	2.27120783360612	5.6836607448770395e-11	No	No
Q14766	LTBP1	1.85015160542092	1.4302135276329e-05	No	No
Q14767	LTBP2	5.76266833748815	9.10977763417001e-06	No	No
Q15022	SUZ12	3.002106429492	0.0004888354165919	No	No
Q15050	RRS1	3.03636738411792	1.71941736655028e-06	No	No
Q15113	PCOLCE	2.8705640869413	3.65414202349815e-12	No	No
Q15198	PDGFRL	3.21141087452513	3.21601668525397e-16	No	No
Q15269	PWP2	1.97402654656075	2.64015615786268e-07	No	No
Q15389	ANGPT1	4.24819624173768	1.75527942831082e-05	No	No
Q15392	DHCR24	2.65257020905232	1.0113292331916401e-09	No	No
Q15397	PUM3	2.03614982185548	0.0001558441716756	No	No
Q15582	TGFBI	6.46966683425128	2.5222382942621397e-18	No	No
Q15646	OASL	7.04241393887031	6.58974744774545e-13	No	No
Q15760	GPR19	2.37746426140724	2.8337458564059103e-10	No	No
Q16394	EXT1	3.23813496948045	1.04321890666445e-05	No	No
Q16610	ECM1	3.06952591561318	7.08501739357645e-10	No	No
Q16678	CYP1B1	3.67190025999469	6.73355499879484e-06	No	No
Q16762	TST	2.73185140004684	1.28086342655091e-05	No	No
Q16795	NDUFA9	3.5844661788652	4.59309482216331e-07	No	No
Q16891	IMMT	1.91356368610762	0.0006547515838948	No	No
Q2M3G4	SHROOM1	3.48059646161308	0.0013708123836391	No	No
Q2T9K0	TMEM44	3.30121108476312	3.63473363628072e-09	No	No
Q2TB18	ASTE1	6.12565713191644	1.3145205655420602e-09	No	No
Q2VWP7	PRTG	6.98629255749855	0.0005424447799342	No	No
Q30154	HLA-DRB5	2.4326293337938	2.20168854625011e-10	No	No
Q30201	HFE	2.28392946615955	6.0387819539631e-09	No	No
Q32NB8	PGS1	2.46713681329692	5.02960758103629e-05	No	No
Q32P28	P3H1	2.21318235567217	1.20486617116654e-07	No	No
Q32P41	TRMT5	3.88199845608947	0.0036352661315329	No	No
