term,ES,NES,fdr,Gene %,Genes,description
GO:1903593,0.7154482373994694,1.6191833355302827,0.4077396256223027,18.01%,SNX6;VAMP7;VAMP8;VAMP3,GO_Biological_Process_2025__Regulation of Histamine Secretion by Mast Cell (GO:1903593)
GO:0061025,0.5158951826974365,1.616259285033785,0.4136892547812436,18.01%,VAPA;STX11;SNAP23;NSF;USO1;SNAP29;NAPG;VAMP3,GO_Biological_Process_2025__Membrane Fusion (GO:0061025)
GO:0045922,0.6165092060656615,1.6124222495736416,0.4184049055254981,6.25%,APPL2;ACADVL;UBR4,GO_Biological_Process_2025__Negative Regulation of Fatty Acid Metabolic Process (GO:0045922)
GO:0043485,0.6515784282318093,1.6093925856229794,0.415276062351107,10.50%,AP1M1;CD63;RAB32;AP3D1,GO_Biological_Process_2025__Endosome to Pigment Granule Transport (GO:0043485)
GO:0035646,0.6515784282318093,1.6093925856229794,0.415276062351107,10.50%,AP1M1;CD63;RAB32;AP3D1,GO_Biological_Process_2025__Endosome to Melanosome Transport (GO:0035646)
GO:0046457,0.5665826685212059,1.607987680929435,0.4157294770685479,2.89%,TBXAS1;PTGS1;PLA2G4A;PTGES3,GO_Biological_Process_2025__Prostanoid Biosynthetic Process (GO:0046457)
GO:0072657,0.3931030865981839,1.6076548757996785,0.4126210153458855,37.92%,FYB1;ROCK2;RAB10;SPTBN1;FLOT1;FLOT2;CPE;ROCK1;RAB32;RAB6B;RAP1A;LAMTOR1;RAB6A;TNIK;SLMAP;AP3D1;ATP1B3;TMED2;ARF6;CD53;PACS1;ACTN2;SH3GLB1;GAS6;RAB13;EHD4;TSPAN14;EHD2;NRXN1;ANK1;BID;TM9SF2;RAB11A;EHD3;EHD1;FLNA;MYO5A;EPB41L3;F11R;RAB11FIP3;RELN;HSP90B1;SEC16A;TESC;TSPAN15;AGRN;ITGA4;RDX;MADCAM1;TM9SF3;GAK;TSPAN33;C2CD5;ITGAL;IKBKB;HGS;RAB38,GO_Biological_Process_2025__Protein Localization to Membrane (GO:0072657)
GO:0034498,0.5712161921158714,1.6059560573445018,0.414096919704001,39.78%,SNX2;LMAN1;RAB6A;TMED9;SNX1;RUFY1;EHD3;SURF4;RAB14;RAB4B,GO_Biological_Process_2025__Early Endosome to Golgi Transport (GO:0034498)
GO:0048704,0.7207325348750862,1.5995334972526498,0.4274850956741098,12.63%,FGFR2;PDGFRA;EIF4A3,GO_Biological_Process_2025__Embryonic Skeletal System Morphogenesis (GO:0048704)
GO:0019934,0.6351383262621398,1.598295005468598,0.4275124878232064,33.01%,GUCY1B1;PDE3A;IRAG1;GUCY1A1;CD36;THBS1,GO_Biological_Process_2025__cGMP-mediated Signaling (GO:0019934)
GO:0003229,0.6114785990286811,1.5981331723808965,0.4237652051280696,19.09%,FGFR2;BMP10;TPM1;MYH7;TGFB1,GO_Biological_Process_2025__Ventricular Cardiac Muscle Tissue Development (GO:0003229)
GO:0140238,0.5983337510182356,1.5944446744819991,0.432670082257687,28.23%,AP2B1;AP2M1;CANX;STON2;SNCA;AP2S1;PIP5K1C,GO_Biological_Process_2025__Presynaptic Endocytosis (GO:0140238)
GO:0009060,0.4154075090471149,1.5917000123624905,0.4335898220784737,47.27%,NNT;UQCRC2;UQCRC1;ATP5F1C;LDLR;SUCLA2;SDHA;NDUFS1;NDUFS3;NDUFA8;SDHB;NDUFS2;UQCRB;OGDH;NDUFA13;SUCLG1;IDH3A;NDUFV2;NDUFB3;NDUFV1;NDUFA11;NDUFA7;NDUFA10;SUCLG2;MDH2;BLOC1S1;NDUFA6;NDUFA5;NDUFAB1;NDUFS8;NDUFS4;NDUFS5;NIPSNAP2;MFN2;NDUFA9;SURF1;NDUFB1;NDUFA2;IDH3B,GO_Biological_Process_2025__Aerobic Respiration (GO:0009060)
GO:0042776,0.4352663748886741,1.5901652022802673,0.4346729239776559,46.93%,ATP5PB;ATP5PD;ATP5MG;ATP5F1C;SDHA;NDUFS1;ATP5PF;NDUFS3;ATP5MF;NDUFA8;SDHB;NDUFS2;ATP5ME;NDUFA13;NDUFV2;NDUFB3;NDUFV1;NDUFA11;NDUFA7;NDUFA10;ATP5PO;NDUFA6;NDUFA5;NDUFAB1;NDUFS8;NDUFS4;NDUFS5;NDUFA9;NDUFB1;NDUFA2,GO_Biological_Process_2025__Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)
