,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
65,GO:0001656,metanephros development,GO:0001656,0.1501245,22.48073,67.78176,GDF6,Metanephros Development (GO:0001656)
66,GO:0010526,retrotransposon silencing,GO:0010526,0.1542414,20.23061,59.11867,TUT7,Retrotransposon Silencing (GO:0010526)
67,GO:0071243,cellular response to arsenic-containing substance,GO:0071243,0.1542414,20.23061,59.11867,MAPK13,Cellular Response To Arsenic-Containing Substance (GO:0071243)
68,GO:0042908,xenobiotic transport,GO:0042908,0.1542414,20.23061,59.11867,ABCB1,Xenobiotic Transport (GO:0042908)
69,GO:0032103,positive regulation of response to external stimulus,GO:0032103,0.1542414,5.70081,16.75258,EMILIN2;MAPK13,Positive Regulation Of Response To External Stimulus (GO:0032103)
70,GO:0006812,monoatomic cation transport,GO:0006812,0.1606886,18.38961,52.18361,PIEZO1,Monoatomic Cation Transport (GO:0006812)
71,GO:0045717,negative regulation of fatty acid biosynthetic process,GO:0045717,0.1606886,18.38961,52.18361,APOC3,Negative Regulation Of Fatty Acid Biosynthetic Process (GO:0045717)
72,GO:0033137,negative regulation of peptidyl-serine phosphorylation,GO:0033137,0.1606886,18.38961,52.18361,DKK1,Negative Regulation Of Peptidyl-Serine Phosphorylation (GO:0033137)
73,GO:0042659,regulation of cell fate specification,GO:0042659,0.1609009,16.85544,46.52211,DKK1,Regulation Of Cell Fate Specification (GO:0042659)
74,GO:0030705,cytoskeleton-dependent intracellular transport,GO:0030705,0.1609009,16.85544,46.52211,HOOK2,Cytoskeleton-Dependent Intracellular Transport (GO:0030705)
75,GO:0090497,mesenchymal cell migration,GO:0090497,0.1609009,16.85544,46.52211,RADIL,Mesenchymal Cell Migration (GO:0090497)
76,GO:0051965,positive regulation of synapse assembly,GO:0051965,0.1609009,16.85544,46.52211,SLITRK2,Positive Regulation Of Synapse Assembly (GO:0051965)
77,GO:0071044,histone mRNA catabolic process,GO:0071044,0.1653812,15.5573,41.82415,TUT7,Histone mRNA Catabolic Process (GO:0071044)
78,GO:2000272,negative regulation of signaling receptor activity,GO:2000272,0.1712103,14.44461,37.8714,GPRC5A,Negative Regulation Of Signaling Receptor Activity (GO:2000272)
79,GO:0030279,negative regulation of ossification,GO:0030279,0.1712103,14.44461,37.8714,DKK1,Negative Regulation Of Ossification (GO:0030279)
80,GO:1902175,regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,GO:1902175,0.1712103,14.44461,37.8714,VNN1,Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902175)
81,GO:0007097,nuclear migration,GO:0007097,0.1748566,13.48027,34.50588,SYNE3,Nuclear Migration (GO:0007097)
82,GO:1901223,negative regulation of non-canonical NF-kappaB signal transduction,GO:1901223,0.1777303,12.63648,31.61065,C1QTNF3,Negative Regulation Of NIK/NF-kappaB Signaling (GO:1901223)
83,GO:0001934,positive regulation of protein phosphorylation,GO:0001934,0.1777303,3.087329,7.715846,GDF15;GDF6;THBS4,Positive Regulation Of Protein Phosphorylation (GO:0001934)
84,GO:0001706,endoderm formation,GO:0001706,0.1847778,11.23016,26.89816,LAMB3,Endoderm Formation (GO:0001706)
85,GO:0045022,early endosome to late endosome transport,GO:0045022,0.1847778,11.23016,26.89816,HOOK2,Early Endosome To Late Endosome Transport (GO:0045022)
86,GO:0031327,negative regulation of cellular biosynthetic process,GO:0031327,0.1847778,4.22079,10.26119,C1QTNF3;APOC3,Negative Regulation Of Cellular Biosynthetic Process (GO:0031327)
87,GO:0045765,regulation of angiogenesis,GO:0045765,0.1964725,3.82243,8.672047,EMILIN2;THBS4,Regulation Of Angiogenesis (GO:0045765)
88,GO:0071985,multivesicular body sorting pathway,GO:0071985,0.1982966,9.184601,20.33297,SYTL4,Multivesicular Body Sorting Pathway (GO:0071985)
89,GO:0070301,cellular response to hydrogen peroxide,GO:0070301,0.2086117,8.417517,17.97363,MAPK13,Cellular Response To Hydrogen Peroxide (GO:0070301)
90,GO:0080171,lytic vacuole organization,GO:0080171,0.2130903,8.08,16.95555,HOOK2,Lytic Vacuole Organization (GO:0080171)
91,GO:0043604,amide biosynthetic process,GO:0043604,0.2271925,7.212099,14.39891,SAMD8,Amide Biosynthetic Process (GO:0043604)
92,GO:0032526,response to retinoic acid,GO:0032526,0.230183,6.962702,13.68171,MICB,Response To Retinoic Acid (GO:0032526)
93,GO:0031122,cytoplasmic microtubule organization,GO:0031122,0.2424512,6.116265,11.31172,HOOK2,Cytoplasmic Microtubule Organization (GO:0031122)
94,GO:0031123,RNA 3'-end processing,GO:0031123,0.2439712,5.935774,10.82008,TUT7,RNA 3'-End Processing (GO:0031123)
95,GO:0045664,regulation of neuron differentiation,GO:0045664,0.2622236,5.308808,9.153554,DKK1,Regulation Of Neuron Differentiation (GO:0045664)
96,GO:0010232,vascular transport,GO:0010232,0.2623051,5.172161,8.799353,ABCB1,Vascular Transport (GO:0010232)
97,GO:0071347,cellular response to interleukin-1,GO:0071347,0.2623051,5.172161,8.799353,MAPK13,Cellular Response To Interleukin-1 (GO:0071347)
98,GO:0044272,sulfur compound biosynthetic process,GO:0044272,0.2623544,5.042347,8.466029,SLC35D2,Sulfur Compound Biosynthetic Process (GO:0044272)
99,GO:0043588,skin development,GO:0043588,0.2664477,4.918865,8.151904,COL3A1,Skin Development (GO:0043588)
100,GO:0007032,endosome organization,GO:0007032,0.2744001,4.689131,7.575377,HOOK2,Endosome Organization (GO:0007032)
101,GO:0001938,positive regulation of endothelial cell proliferation,GO:0001938,0.2749098,4.582096,7.31039,THBS4,Positive Regulation Of Endothelial Cell Proliferation (GO:0001938)
102,GO:1902075,cellular response to salt,GO:1902075,0.3073185,3.800539,5.451625,MAPK13,Cellular Response To Salt (GO:1902075)
103,GO:0032091,negative regulation of protein binding,GO:0032091,0.3143746,3.661596,5.136437,DKK1,Negative Regulation Of Protein Binding (GO:0032091)
104,GO:1901566,organonitrogen compound biosynthetic process,GO:1901566,0.3989715,2.449228,2.626248,SAMD8,Organonitrogen Compound Biosynthetic Process (GO:1901566)
105,GO:0034976,response to endoplasmic reticulum stress,GO:0034976,0.4032318,2.362065,2.465243,THBS4,Response To Endoplasmic Reticulum Stress (GO:0034976)
106,GO:0010628,positive regulation of gene expression,GO:0010628,0.4507971,1.467305,1.327281,C1QTNF3;DKK1,Positive Regulation Of Gene Expression (GO:0010628)
107,GO:0010468,regulation of gene expression,GO:0010468,0.9778155,0.2769636,0.008066087,DKK1,Regulation Of Gene Expression (GO:0010468)
