Protein_Group	Genes	AURKA_dox+_vs_IgG_dox+_logFC	AURKA_dox+_vs_IgG_dox+_pval	Removed?	Contaminant?
Q2M296	MTHFSD	2.63066952843417	7.80229894474657e-06	No	No
Q2NL82	TSR1	2.74183133418032	0.0092570062091627	No	No
Q2TAL8	QRICH1	6.72665555372059	1.94054488270222e-18	No	No
Q2TB10	ZNF800	3.18222226811183	1.77887293859422e-07	No	No
Q2V2M9	FHOD3	3.16996557558578	2.42258156172796e-07	No	No
Q32NB8	PGS1	2.43121029585424	0.0080798682493362	No	No
Q49A26	GLYR1	2.39012262917759	1.21164766584074e-07	No	No
Q4G0F5	VPS26B	3.30685019939613	5.451814925725651e-09	No	No
Q4G0J3	LARP7	4.08498887422043	1.2407638753363e-06	No	No
Q4U2R6	MRPL51	3.73626915984005	3.73427860637206e-09	No	No
Q52LR7	EPC2	2.49979570232968	0.0002590888389515	No	No
Q53ET0	CRTC2	4.05545679247982	0.0003133499768589	No	No
Q53F19	NCBP3	3.70331498135673	2.10863419508498e-05	No	No
Q53GL0	PLEKHO1	2.69351709397339	0.0001352026348682	No	No
Q53GS9	USP39	2.08172659962018	0.0022023007592497	No	No
Q53HL2	CDCA8	3.38384049495152	4.69853950459674e-06	No	No
Q5BJH7	YIF1B	3.98365979459219	4.14595440398787e-05	No	No
Q5H9R7	PPP6R3	3.90841918734171	1.21290324754576e-13	No	No
Q5H9U9	DDX60L	3.21426602569515	0.0016217956701586	No	No
Q5JSZ5	PRRC2B	3.84670507255379	2.47391688273332e-17	No	No
Q5JTD0	TJAP1	3.10697261812144	9.21018924988627e-05	No	No
Q5JTH9	RRP12	2.71920646371484	1.10944199639323e-06	No	No
Q5PRF9	SAMD4B	4.77329728896193	3.9857256118164706e-09	No	No
Q5QJE6	DNTTIP2	4.03894072383207	6.26255657631281e-08	No	No
Q5RKV6	EXOSC6	2.11515585751107	7.11195091806263e-07	No	No
Q5SSJ5	HP1BP3	2.22913920068289	4.56659740157786e-06	No	No
Q5SYE7	NHSL1	4.45939570890246	9.829201440726761e-09	No	No
Q5T280	SPOUT1	2.99135709430941	1.62997959903107e-06	No	No
Q5T3I0	GPATCH4	3.8581479672206	2.14441793287397e-06	No	No
Q5T5Y3	CAMSAP1	4.1231287261374	7.122619153625061e-09	No	No
Q5T653	MRPL2	3.32732156514301	1.24377635557536e-10	No	No
Q5T6F2	UBAP2	2.283306316763	3.0912786985389e-09	No	No
Q5T8D3	ACBD5	2.43802496946374	0.0046020316586316	No	No
Q5TAQ9	DCAF8	2.21449670076999	0.0048225719732628	No	No
Q5TAT6	COL13A1	5.55825528886922	5.76440757643209e-09	No	No
Q5TC82	RC3H1	2.50880965913147	0.0005208534509007	No	No
Q5TCZ1	SH3PXD2A	4.31142227093332	4.41383713869417e-07	No	No
Q5TEC6	H3-7	2.40035778516486	0.0037783073420383	No	No
Q5TGY3	AHDC1	2.37968096221327	0.0009650360565584	No	No
Q5VWQ0	RSBN1	3.4841170584256	2.25180250163132e-06	No	No
Q5VYS8	TUT7	3.49011955279132	0.0001356785487775	No	No
Q5W0B1	OBI1	2.56575836127714	3.81104080724903e-11	No	No
Q64LD2	WDR25	2.94945475811816	9.34634111403973e-08	No	No
Q659A1	ICE2	3.61449476128677	4.69950433351886e-07	No	No
Q68CP9	ARID2	3.30312826130527	1.24236842061007e-13	No	No
Q68D10	SPTY2D1	3.44619125862499	9.26828566928362e-10	No	No
Q693B1	KCTD11	3.68220781223361	1.54508822999197e-11	No	No
Q6DKI1	RPL7L1	2.48572174875483	1.17513106314043e-05	No	No
